Series Name                                            ,Series Code      ,Country Name                                        ,Country Code,education
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan                                         ,AFG         ,3.2558
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania                                             ,ALB         ,3.43797
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria                                             ,DZA         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa                                      ,ASM         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra                                             ,AND         ,3.25368
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola                                              ,AGO         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda                                 ,ATG         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina                                           ,ARG         ,5.77611
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia                                             ,ARM         ,2.80591
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Aruba                                               ,ABW         ,6.48175
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Australia                                           ,AUS         ,5.31196
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Austria                                             ,AUT         ,5.45675
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Azerbaijan                                          ,AZE         ,2.95168
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Bahamas, The"                                      ,BHS         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bahrain                                             ,BHR         ,2.66808
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh                                          ,BGD         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Barbados                                            ,BRB         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belarus                                             ,BLR         ,4.78752
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belgium                                             ,BEL         ,6.53944
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belize                                              ,BLZ         ,6.76618
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Benin                                               ,BEN         ,4.35643
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bermuda                                             ,BMU         ,1.6986
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bhutan                                              ,BTN         ,7.32193
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bolivia                                             ,BOL         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bosnia and Herzegovina                              ,BIH         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Botswana                                            ,BWA         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brazil                                              ,BRA         ,6.24106
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,British Virgin Islands                              ,VGB         ,5.13479
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Brunei Darussalam                                   ,BRN         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bulgaria                                            ,BGR         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burkina Faso                                        ,BFA         ,4.16607
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Burundi                                             ,BDI         ,6.37054
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cabo Verde                                          ,CPV         ,5.26691
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cambodia                                            ,KHM         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cameroon                                            ,CMR         ,2.76805
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Canada                                              ,CAN         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cayman Islands                                      ,CYM         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central African Republic                            ,CAF         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chad                                                ,TCD         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Channel Islands                                     ,CHI         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Chile                                               ,CHL         ,4.87531
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,China                                               ,CHN         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Colombia                                            ,COL         ,4.47039
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Comoros                                             ,COM         ,2.48708
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Dem. Rep."                                  ,COD         ,2.17044
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Congo, Rep."                                       ,COG         ,4.56147
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Costa Rica                                          ,CRI         ,7.08254
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cote d'Ivoire                                       ,CIV         ,4.82988
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Croatia                                             ,HRV         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cuba                                                ,CUB         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Curacao                                             ,CUW         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cyprus                                              ,CYP         ,6.3753
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Czech Republic                                      ,CZE         ,5.78885
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Denmark                                             ,DNK         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Djibouti                                            ,DJI         ,5.3407
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominica                                            ,DMA         ,3.38688
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominican Republic                                  ,DOM         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ecuador                                             ,ECU         ,4.9987
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Egypt, Arab Rep."                                  ,EGY         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,El Salvador                                         ,SLV         ,3.90988
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Equatorial Guinea                                   ,GNQ         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eritrea                                             ,ERI         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Estonia                                             ,EST         ,5.13904
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eswatini                                            ,SWZ         ,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ethiopia                                            ,ETH         ,4.73792
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Faroe Islands                                       ,FRO         ,..
