Series Name                             ,Series Code   ,Country Name                                        ,Country Code,exp
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan                                         ,AFG         ,7.11956906405987
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania                                             ,ALB         ,27.2674002764765
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria                                             ,DZA         ,23.1716000406876
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa                                      ,ASM         ,64.5990922844176
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra                                             ,AND         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola                                              ,AGO         ,29.7545994933756
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda                                 ,ATG         ,45.0510131418897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina                                           ,ARG         ,10.7056520504538
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia                                             ,ARM         ,29.7279964768255
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba                                               ,ABW         ,73.5170302334481
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia                                           ,AUS         ,19.984845509759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria                                             ,AUT         ,53.0890605587958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan                                          ,AZE         ,37.7947774917249
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The"                                      ,BHS         ,35.1003633331348
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain                                             ,BHR         ,82.9063889562962
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh                                          ,BGD         ,17.3366737865485
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados                                            ,BRB         ,41.443178154825
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus                                             ,BLR         ,58.0107665670743
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium                                             ,BEL         ,77.8052821516798
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize                                              ,BLZ         ,58.8154658313029
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin                                               ,BEN         ,24.7204512110389
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda                                             ,BMU         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan                                              ,BTN         ,34.4356493984662
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia                                             ,BOL         ,30.8682958840268
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina                              ,BIH         ,34.8710711054333
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana                                            ,BWA         ,49.8155289755406
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil                                              ,BRA         ,12.9001914177405
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands                              ,VGB         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam                                   ,BRN         ,52.2105973675329
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria                                            ,BGR         ,63.9907324535864
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso                                        ,BFA         ,26.1076455357024
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi                                             ,BDI         ,5.73296859108573
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde                                          ,CPV         ,44.9074423095252
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia                                            ,KHM         ,61.7184237585908
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon                                            ,CMR         ,22.2596662186221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada                                              ,CAN         ,31.8499609634443
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands                                      ,CYM         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic                            ,CAF         ,17.0676606236635
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad                                                ,TCD         ,30.0017608897127
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands                                     ,CHI         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile                                               ,CHL         ,29.3763486014303
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China                                               ,CHN         ,21.3540804423373
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia                                            ,COL         ,15.6502115094968
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros                                             ,COM         ,10.1361983069761
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep."                                  ,COD         ,27.7255678009958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep."                                       ,COG         ,69.2755673871794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica                                          ,CRI         ,30.8249404773106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire                                       ,CIV         ,27.3556079398512
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia                                             ,HRV         ,46.3797042061137
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba                                                ,CUB         ,17.1473494542825
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao                                             ,CUW         ,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus                                              ,CYP         ,70.3258965023065
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czech Republic                                      ,CZE         ,81.0493010657814
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark                                             ,DNK         ,55.4181749794426
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti                                            ,DJI         ,141.458459067973
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica                                            ,DMA         ,47.6339906437715
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic                                  ,DOM         ,23.7615822994205
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador                                             ,ECU         ,21.2582213779601
