Series Name                          ,Series Code      ,Country Name                                        ,Country Code,health
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan                                         ,AFG         ,10.1053476333618
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania                                             ,ALB         ,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria                                             ,DZA         ,6.97847604751587
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa                                      ,ASM         ,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra                                             ,AND         ,10.2527126669884
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola                                              ,AGO         ,2.60579492896795
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda                                 ,ATG         ,4.70175370573998
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina                                           ,ARG         ,8.78850445151329
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia                                             ,ARM         ,10.1176336407661
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba                                               ,ABW         ,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia                                           ,AUS         ,9.31473970413208
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria                                             ,AUT         ,10.3677898645401
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan                                          ,AZE         ,6.7139521241188
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The"                                      ,BHS         ,5.71438558399677
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bahrain                                             ,BHR         ,4.97506633400917
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bangladesh                                          ,BGD         ,2.46311463415623
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Barbados                                            ,BRB         ,6.96714371442795
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belarus                                             ,BLR         ,6.06533326208591
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belgium                                             ,BEL         ,10.2801322937012
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Belize                                              ,BLZ         ,5.90320862829685
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Benin                                               ,BEN         ,3.99181954562664
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bermuda                                             ,BMU         ,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bhutan                                              ,BTN         ,3.65807972848415
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bolivia                                             ,BOL         ,6.61701411008835
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bosnia and Herzegovina                              ,BIH         ,9.33953672647476
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Botswana                                            ,BWA         ,5.72629943490028
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil                                              ,BRA         ,8.87020379304886
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,British Virgin Islands                              ,VGB         ,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam                                   ,BRN         ,2.38708909600973
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Bulgaria                                            ,BGR         ,8.20273160934448
