Series Name                             ,Series Code   ,Country Name                                        ,Country Code,imp
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Afghanistan                                         ,AFG         ,42.5058388897863
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Albania                                             ,ALB         ,44.5336293946429
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Algeria                                             ,DZA         ,36.5237214812687
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,American Samoa                                      ,ASM         ,99.5461422087746
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Andorra                                             ,AND         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Angola                                              ,AGO         ,33.1339212916755
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Antigua and Barbuda                                 ,ATG         ,50.1547074454084
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Argentina                                           ,ARG         ,11.7805740385254
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Armenia                                             ,ARM         ,41.8652688700677
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Aruba                                               ,ABW         ,74.1484883275928
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Australia                                           ,AUS         ,21.5095275701541
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Austria                                             ,AUT         ,49.3382548303838
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Azerbaijan                                          ,AZE         ,34.806730415594
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Bahamas, The"                                      ,BHS         ,37.8998153552922
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bahrain                                             ,BHR         ,71.6506085452675
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bangladesh                                          ,BGD         ,24.7493225204896
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Barbados                                            ,BRB         ,43.0882205726405
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belarus                                             ,BLR         ,57.9040596348719
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belgium                                             ,BEL         ,76.3872643576431
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Belize                                              ,BLZ         ,66.2613441234482
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Benin                                               ,BEN         ,32.0358619739087
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bermuda                                             ,BMU         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bhutan                                              ,BTN         ,67.7560787387541
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bolivia                                             ,BOL         ,37.0645490574389
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bosnia and Herzegovina                              ,BIH         ,53.3272298316422
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Botswana                                            ,BWA         ,56.1192417415927
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brazil                                              ,BRA         ,14.0534511983164
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,British Virgin Islands                              ,VGB         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Brunei Darussalam                                   ,BRN         ,37.6831924288446
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Bulgaria                                            ,BGR         ,63.0345227902482
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burkina Faso                                        ,BFA         ,32.9815357744638
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Burundi                                             ,BDI         ,26.8089855450836
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cabo Verde                                          ,CPV         ,59.1586466717918
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cambodia                                            ,KHM         ,66.1456432379888
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cameroon                                            ,CMR         ,27.6095407796239
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Canada                                              ,CAN         ,34.3149411035338
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cayman Islands                                      ,CYM         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central African Republic                            ,CAF         ,36.0774871532986
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chad                                                ,TCD         ,36.5624034599938
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Channel Islands                                     ,CHI         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Chile                                               ,CHL         ,29.595926695772
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,China                                               ,CHN         ,18.1100899269382
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Colombia                                            ,COL         ,22.7105526089485
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Comoros                                             ,COM         ,27.6687537644801
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Dem. Rep."                                  ,COD         ,31.6068631633129
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Congo, Rep."                                       ,COG         ,96.3702955606306
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Costa Rica                                          ,CRI         ,31.6933559215415
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cote d'Ivoire                                       ,CIV         ,25.360174849508
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Croatia                                             ,HRV         ,46.1600960859121
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cuba                                                ,CUB         ,14.4663904605603
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Curacao                                             ,CUW         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Cyprus                                              ,CYP         ,67.7013249828294
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Czech Republic                                      ,CZE         ,75.0505626571141
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Denmark                                             ,DNK         ,48.6300543390148
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Djibouti                                            ,DJI         ,122.644565890695
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominica                                            ,DMA         ,60.9544585921821
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Dominican Republic                                  ,DOM         ,28.4094954177751
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ecuador                                             ,ECU         ,23.9856557706229
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Egypt, Arab Rep."                                  ,EGY         ,21.6620974671631
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,El Salvador                                         ,SLV         ,47.0741403791411
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Equatorial Guinea                                   ,GNQ         ,42.2195853462674
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eritrea                                             ,ERI         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Estonia                                             ,EST         ,72.9681600349145
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Eswatini                                            ,SWZ         ,40.8404009434444
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ethiopia                                            ,ETH         ,30.2928105475922
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Faroe Islands                                       ,FRO         ,50.3922320927899
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fiji                                                ,FJI         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Finland                                             ,FIN         ,35.9755895640656
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,France                                              ,FRA         ,31.1590715564548
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,French Polynesia                                    ,PYF         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gabon                                               ,GAB         ,27.9177729544577
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Gambia, The"                                       ,GMB         ,32.6453626439573
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Georgia                                             ,GEO         ,57.9065861205245
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Germany                                             ,DEU         ,39.2865511357823
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ghana                                               ,GHA         ,43.6275984155246
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gibraltar                                           ,GIB         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greece                                              ,GRC         ,31.5018900612515
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greenland                                           ,GRL         ,45.5215358812404
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Grenada                                             ,GRD         ,50.8600213958699
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guam                                                ,GUM         ,53.2749562171629
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guatemala                                           ,GTM         ,30.0635454198109
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea                                              ,GIN         ,50.945854990371
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea-Bissau                                       ,GNB         ,32.238492837062
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guyana                                              ,GUY         ,46.6530400196296
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Haiti                                               ,HTI         ,50.5443249520824
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Honduras                                            ,HND         ,62.097647897982
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Hong Kong SAR, China"                              ,HKG         ,193.508347649149
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Hungary                                             ,HUN         ,79.9918724064404
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Iceland                                             ,ISL         ,44.6710044976348
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India                                               ,IND         ,22.1097246755215
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Indonesia                                           ,IDN         ,20.7774609817235
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Iran, Islamic Rep."                                ,IRN         ,19.2739145319547
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Iraq                                                ,IRQ         ,41.4177606177606
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ireland                                             ,IRL         ,93.1716019053451
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Isle of Man                                         ,IMN         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Israel                                              ,ISR         ,28.1780705819999
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Italy                                               ,ITA         ,26.7021937892476
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Jamaica                                             ,JAM         ,46.1998924998132
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Japan                                               ,JPN         ,18.0300451818283
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Jordan                                              ,JOR         ,59.6534355638568
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kazakhstan                                          ,KAZ         ,24.5330208000299
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kenya                                               ,KEN         ,27.6050852673033
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kiribati                                            ,KIR         ,107.39062671496
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Korea, Dem. People’s Rep."                         ,PRK         ,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Korea, Rep."                                       ,KOR         ,36.142932861381
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kosovo                                              ,XKX         ,50.3926295849836
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kuwait                                              ,KWT         ,44.9333252111054
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kyrgyz Republic                                     ,KGZ         ,75.7719702273738
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lao PDR                                             ,LAO         ,51.8460643955753
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latvia                                              ,LVA         ,61.6288228437622
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lebanon                                             ,LBN         ,48.689587131754
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lesotho                                             ,LSO         ,86.3702325196745
