MonthYear,FightCountries
202003   ,112
201704   ,78
201604   ,86
201509   ,84
201806   ,69
201901   ,83
201608   ,85
201902   ,75
201906   ,75
201603   ,80
201507   ,85
201907   ,69
201612   ,86
201703   ,93
201804   ,85
201601   ,81
201511   ,76
201508   ,75
201710   ,74
201706   ,83
201705   ,81
201801   ,91
201810   ,82
201909   ,71
202004   ,97
201908   ,78
201809   ,81
201912   ,70
202002   ,88
201501   ,7
201702   ,87
201707   ,85
201708   ,78
201803   ,75
201709   ,75
201506   ,79
201606   ,87
201807   ,86
201808   ,83
201510   ,69
201711   ,72
201712   ,69
201805   ,85
201512   ,76
201903   ,82
201812   ,76
201610   ,106
201505   ,73
202006   ,40
202001   ,74
201811   ,77
201502   ,48
201701   ,86
201605   ,98
201911   ,64
201910   ,74
201504   ,70
201905   ,66
202005   ,93
201602   ,75
201802   ,71
201904   ,73
201607   ,91
201611   ,80
201609   ,86
201503   ,74
