MonthYear,Actor2CountryCode,Count
202003   ,SLV              ,25
202005   ,ARG              ,6
201707   ,MUS              ,41
201707   ,LUX              ,58
201707   ,IDN              ,196
201704   ,SGP              ,24
201704   ,CHL              ,53
201704   ,AUS              ,286
201602   ,KOR              ,194
201608   ,CYP              ,31
201608   ,HUN              ,208
201608   ,IRQ              ,377
201608   ,MLI              ,17
201608   ,PRY              ,3
201612   ,AUS              ,267
201701   ,DZA              ,55
201703   ,AIA              ,60
201703   ,FJI              ,10
201703   ,CAN              ,356
201705   ,TUR              ,5076
201611   ,GBR              ,2470
201610   ,JAM              ,13
201708   ,ABW              ,23
201701   ,COL              ,164
201604   ,IRL              ,222
201609   ,SAS              ,1
201612   ,LUX              ,95
201612   ,LAO              ,1
201611   ,MOZ              ,7
201705   ,MEX              ,261
201705   ,GUY              ,2
201701   ,LAO              ,7
201701   ,ZMB              ,18
201709   ,IDN              ,42
201709   ,CRI              ,2
201503   ,                 ,40999
201601   ,BOL              ,156
201510   ,BRA              ,124
201605   ,BLR              ,248
201506   ,CZE              ,206
201506   ,NGA              ,297
201507   ,CHE              ,292
201801   ,GBR              ,1710
201801   ,POL              ,839
201801   ,MUS              ,40
201712   ,IRN              ,362
201801   ,PRK              ,53
201705   ,TGO              ,5
201710   ,USA              ,3950
201710   ,CHL              ,46
201710   ,SGP              ,45
201710   ,MKD              ,28
201510   ,WST              ,71
201504   ,DNK              ,221
201504   ,IDN              ,45
201802   ,ZAF              ,32
201505   ,LUX              ,95
201711   ,VAT              ,25
201603   ,PSE              ,107
201506   ,UZB              ,19
201601   ,KAZ              ,39
201803   ,SAS              ,3
201805   ,LKA              ,13
201510   ,LVA              ,42
201507   ,HRV              ,93
201804   ,UKR              ,1120
201710   ,SDN              ,17
201906   ,SWE              ,129
201906   ,GHA              ,17
201906   ,MAR              ,52
201906   ,SVK              ,32
201804   ,VEN              ,10
201712   ,ESP              ,389
201712   ,MLT              ,33
201803   ,BRB              ,4
201802   ,BMU              ,6
201511   ,CRI              ,18
201507   ,MDA              ,19
201807   ,IND              ,61
201909   ,USA              ,3470
202003   ,DOM              ,10
201512   ,BHR              ,12
201802   ,LBR              ,1
201710   ,TZA              ,1
201601   ,HTI              ,29
201709   ,ZWE              ,10
201605   ,AGO              ,7
201901   ,BGD              ,54
201808   ,ZWE              ,76
201808   ,JPN              ,235
201808   ,JOR              ,101
201808   ,KEN              ,27
201606   ,HRV              ,82
201805   ,OMN              ,10
201712   ,ERI              ,5
201803   ,SLE              ,1
201811   ,HRV              ,46
201604   ,URY              ,30
201603   ,LCA              ,16
201908   ,KAZ              ,44
201908   ,PRT              ,156
201504   ,GTM              ,4
201809   ,CHE              ,293
201508   ,BMU              ,3
201510   ,BTN              ,1
201607   ,RWA              ,15
201603   ,SSD              ,8
201711   ,KHM              ,12
201812   ,DNK              ,137
201812   ,IRQ              ,288
201605   ,MWI              ,2
201910   ,MLI              ,40
201910   ,MWI              ,12
201502   ,KAZ              ,11
202002   ,LIE              ,11
202002   ,KAZ              ,23
202002   ,YEM              ,9
201811   ,SLV              ,6
202001   ,IRQ              ,1086
201805   ,PGS              ,2
201801   ,MDG              ,1
201907   ,CAN              ,253
201907   ,NGA              ,116
202001   ,MKD              ,65
201903   ,IRN              ,325
201911   ,JPN              ,198
201506   ,TON              ,3
201605   ,BRB              ,6
201905   ,LBY              ,89
201911   ,MLI              ,19
201911   ,IRQ              ,141
201911   ,MEX              ,108
201909   ,MNG              ,2
201807   ,MOZ              ,3
201910   ,BGD              ,47
201810   ,YEM              ,30
201902   ,GIN              ,1
201902   ,BFA              ,28
201810   ,SEA              ,16
201902   ,SYC              ,3
201904   ,PAK              ,92
201904   ,YEM              ,32
201902   ,CUB              ,3
201809   ,ETH              ,19
202001   ,BRB              ,1
201507   ,MRT              ,1
201806   ,VAT              ,89
201508   ,HKG              ,1
201508   ,PGS              ,2
201906   ,HND              ,1
202004   ,COD              ,4
201606   ,STP              ,2
201905   ,MOZ              ,4
202003   ,SYC              ,3
202001   ,BHR              ,5
202004   ,UGA              ,7
201510   ,SAF              ,1
202004   ,ISL              ,35
202004   ,PRY              ,3
202003   ,SAU              ,87
202005   ,NPL              ,10
202005   ,MDA              ,15
201704   ,CHE              ,405
201604   ,DEU              ,10633
201704   ,IRQ              ,345
201701   ,DEU              ,11300
201608   ,RUS              ,2753
201608   ,ARG              ,116
201703   ,KWT              ,23
201603   ,FRA              ,2856
201703   ,SAU              ,85
201603   ,RUS              ,2235
201604   ,EGY              ,787
201610   ,AFG              ,426
201604   ,POL              ,567
201704   ,SEN              ,7
201708   ,AFR              ,184
201708   ,BRA              ,119
201706   ,PRT              ,94
201706   ,ISR              ,499
201606   ,                 ,48163
201706   ,MCO              ,27
201510   ,CHN              ,1824
201609   ,NZL              ,40
201609   ,MDV              ,111
201708   ,LKA              ,4
201612   ,IRL              ,259
201612   ,SDN              ,23
201611   ,TGO              ,8
201510   ,LBY              ,95
201601   ,MAR              ,353
201610   ,BLZ              ,2
201705   ,BHS              ,4
201605   ,POL              ,615
201605   ,                 ,45698
201704   ,BTN              ,3
201709   ,AZE              ,74
201709   ,KOR              ,385
201711   ,AFR              ,191
201709   ,VEN              ,230
201511   ,AUS              ,498
201510   ,ZWE              ,171
201505   ,AUT              ,499
201510   ,RWA              ,25
201505   ,MLT              ,74
201604   ,BEL              ,851
201603   ,SOM              ,15
201602   ,PAK              ,87
201710   ,CHN              ,816
201710   ,IRQ              ,413
201710   ,WST              ,103
201710   ,BOL              ,11
201605   ,KAZ              ,26
201802   ,CHN              ,648
201802   ,SYC              ,20
201802   ,AFG              ,182
201506   ,KNA              ,93
201602   ,KAZ              ,15
201505   ,MAR              ,82
201711   ,MKD              ,54
201512   ,BLR              ,197
201510   ,BLZ              ,5
201805   ,NAM              ,62
201601   ,CHL              ,37
201604   ,PRY              ,6
201805   ,CMR              ,19
201804   ,JOR              ,106
201804   ,AFR              ,200
201906   ,RUS              ,2044
201712   ,EGY              ,188
201712   ,ZAF              ,32
201712   ,BGD              ,25
201712   ,SLE              ,3
201605   ,FIN              ,65
201803   ,BWA              ,5
201803   ,CUB              ,15
201502   ,QAT              ,21
201807   ,FIN              ,381
202002   ,CHN              ,2094
201503   ,MNG              ,49
202005   ,NOR              ,11
201512   ,VAT              ,33
201509   ,CMR              ,15
201605   ,RWA              ,19
201712   ,QAT              ,19
201505   ,DOM              ,6
201605   ,URY              ,5
201606   ,PAK              ,313
201606   ,VAT              ,28
201606   ,PER              ,57
201606   ,PSE              ,66
201606   ,LKA              ,13
201712   ,SLV              ,4
201811   ,LTU              ,60
201704   ,GMB              ,1
201907   ,                 ,31357
201506   ,AIA              ,11
201604   ,ZWE              ,12
201701   ,PLW              ,4
201806   ,FRA              ,4302
201809   ,LKA              ,38
201809   ,BHR              ,13
201508   ,LIE              ,6
201510   ,FJI              ,4
201710   ,BLZ              ,1
201506   ,SOM              ,22
201608   ,SLV              ,2
201812   ,CHE              ,221
201812   ,WST              ,91
201812   ,PAK              ,132
201804   ,TTO              ,10
201705   ,SUR              ,1
202002   ,LUX              ,27
201602   ,NAM              ,13
202001   ,COG              ,31
201909   ,BOL              ,4
201509   ,SEN              ,6
201907   ,PAN              ,10
201907   ,MDA              ,65
201912   ,EUR              ,1353
201903   ,BEL              ,447
201903   ,FRA              ,2274
201903   ,TUR              ,722
201912   ,VAT              ,51
201912   ,PER              ,28
201911   ,PSE              ,69
201905   ,LTU              ,53
201802   ,DMA              ,3
201801   ,LAO              ,3
201807   ,NER              ,5
201907   ,TWN              ,4
201907   ,FJI              ,2
201904   ,HUN              ,113
201904   ,IDN              ,33
201810   ,BMU              ,10
201909   ,SLE              ,1
202002   ,CIV              ,3
202002   ,STP              ,1
201711   ,WSM              ,5
201702   ,PGS              ,6
201907   ,TUV              ,1
201911   ,OMN              ,3
201807   ,COG              ,1
202003   ,SOM              ,6
201906   ,BDI              ,7
201903   ,MAC              ,1
201905   ,BRB              ,13
201508   ,NPL              ,1
201809   ,GTM              ,1
201608   ,PGS              ,1
201805   ,GNQ              ,1
202004   ,CUB              ,19
201904   ,IRN              ,283
202004   ,SAU              ,31
202003   ,UKR              ,307
202003   ,IRL              ,75
202005   ,TWN              ,11
202005   ,UGA              ,2
201707   ,MDA              ,54
201602   ,MAR              ,386
201701   ,                 ,48312
201602   ,USA              ,3908
201608   ,TUR              ,5122
201608   ,FRA              ,2786
201508   ,IRN              ,1353
201703   ,IRQ              ,273
201611   ,MUS              ,4
201610   ,ECU              ,41
201610   ,ARM              ,298
201610   ,PHL              ,187
201708   ,JPN              ,186
201708   ,KAZ              ,6
201701   ,ALB              ,167
201701   ,THA              ,33
201708   ,MUS              ,9
201511   ,IRN              ,407
201511   ,PSE              ,105
201610   ,STP              ,5
201708   ,LIE              ,2
201609   ,BGR              ,175
201612   ,RUS              ,3188
201612   ,MDV              ,112
201612   ,ARG              ,62
201612   ,AIA              ,9
201601   ,JAM              ,18
