MonthYear,FightCountries
201701   ,84
201605   ,84
201911   ,71
201910   ,71
201908   ,73
201912   ,62
202004   ,74
201809   ,80
202002   ,71
201501   ,10
201610   ,87
201712   ,75
201805   ,80
201512   ,70
201502   ,60
201903   ,78
202001   ,81
201812   ,73
201711   ,85
201505   ,74
201811   ,73
202006   ,22
201705   ,74
201801   ,79
201909   ,75
201706   ,86
201810   ,78
202005   ,74
201611   ,86
201503   ,87
201504   ,76
201602   ,80
201609   ,90
201904   ,78
201905   ,79
201802   ,73
201607   ,101
202003   ,55
201703   ,91
201704   ,85
201612   ,101
201508   ,78
201507   ,83
201603   ,71
201509   ,85
201710   ,73
201906   ,73
201511   ,86
201608   ,86
201902   ,75
201604   ,81
201601   ,73
201901   ,75
201907   ,81
201806   ,75
201804   ,84
201702   ,88
201707   ,87
201709   ,80
201510   ,88
201606   ,87
201506   ,76
201803   ,88
201808   ,82
201708   ,75
201807   ,73
