MonthYear,Actor2Name                        ,Count
202004   ,DORTMUND                          ,90
201904   ,ANGELA MERKEL                     ,1055
201702   ,WEIMAR                            ,52
201701   ,ANGELA MERKEL                     ,2077
201608   ,THOMAS DE MAIZIERE                ,134
201611   ,BAVARIA                           ,546
201603   ,GERMAN                            ,18061
201703   ,ILSE AIGNER                       ,5
201904   ,FRANKFORT                         ,210
201706   ,BUNDESTAG                         ,798
201610   ,BONN                              ,84
201712   ,MANNHEIM                          ,44
201601   ,GERHARD SCHROEDER                 ,25
201503   ,DER SPIEGEL                       ,194
201805   ,NECKAR                            ,15
201706   ,DUESSELDORF                       ,4
201607   ,LEIPZIG                           ,150
201505   ,DEUTSCHE BANK                     ,241
201605   ,WOLFGANG CLEMENT                  ,2
201803   ,DANAU                             ,2
201604   ,DEUTSCHLAND                       ,30
201509   ,ROSTOCK                           ,46
201712   ,WURZBURG                          ,5
201910   ,BRAUNSCHWEIG                      ,5
201509   ,MANNHEIM                          ,28
201806   ,HANOVER                           ,458
201507   ,HAMELIN                           ,6
201707   ,GERHARD SCHROEDER                 ,2
201811   ,PALATINATE                        ,15
201811   ,DUSSELDORF                        ,46
201811   ,RUHR                              ,31
202002   ,LOWER SAXONY                      ,21
201701   ,WOLFGANG SCHAEUBLE                ,99
201701   ,KOLN                              ,11
201912   ,FRANKFORT                         ,241
201912   ,NUREMBERG                         ,120
201912   ,LEIPZIG                           ,111
201510   ,ROMAN HERZOG                      ,2
201603   ,DANAU                             ,5
201905   ,DER SPIEGEL                       ,55
201908   ,AACHEN                            ,17
201901   ,DER SPIEGEL                       ,51
201508   ,THURINGIA                         ,12
201903   ,FRANKFORT                         ,324
201811   ,HAMELN                            ,4
201603   ,LAKE CONSTANCE                    ,4
201912   ,WEIMAR                            ,21
201810   ,BREMEN                            ,169
201605   ,HAMELIN                           ,7
201503   ,WALTER ULBRICHT                   ,2
201908   ,WOLFGANG SCHAEUBLE                ,3
201809   ,RHEINLAND                         ,4
201507   ,SABINE LEUTHEUSSER SCHNARRENBERGER,2
201502   ,RICHARD VON WEIZSACKER            ,1
201612   ,PFALZ                             ,1
201505   ,GUIDO WESTERWELLE                 ,2
201609   ,HAMELIN                           ,3
201809   ,ERICH HONECKER                    ,2
201603   ,KOELN                             ,1
201804   ,HAMELIN                           ,2
201710   ,ANNETTE SCHAVAN                   ,1
201805   ,PETER WITTIG                      ,2
201501   ,DUSSELDORF                        ,1
201602   ,DANAU                             ,1
202005   ,GERMANY                           ,5063
201608   ,DEUTSCHE BANK                     ,331
201606   ,GERMAN                            ,23568
201611   ,THOMAS DE MAIZIERE                ,24
201709   ,HAMBURG                           ,743
201706   ,THURINGIA                         ,46
201706   ,WEIMAR                            ,31
201610   ,PALATINATE                        ,27
201712   ,GERMAN                            ,11103
201612   ,BAVARIA                           ,379
201605   ,COMMERZBANK                       ,204
201505   ,BRUNSWICK                         ,273
201503   ,BERLIN                            ,4969
