MonthYear,EventRootCode,Count
202003   ,12           ,1476
202005   ,02           ,911
202004   ,04           ,11373
201602   ,18           ,1534
201707   ,16           ,1397
201706   ,13           ,1740
201612   ,13           ,2962
201712   ,09           ,1886
201605   ,09           ,1827
201605   ,08           ,3938
201505   ,12           ,2424
201907   ,12           ,2316
201906   ,02           ,4962
201806   ,11           ,5298
201808   ,02           ,5717
202001   ,17           ,2060
201902   ,09           ,1471
201904   ,18           ,658
201810   ,09           ,1621
201501   ,06           ,32
201701   ,14           ,757
201703   ,12           ,5579
201705   ,01           ,13901
201603   ,16           ,1028
201609   ,04           ,24444
201601   ,16           ,1058
201805   ,05           ,10132
201801   ,16           ,766
201605   ,15           ,254
201502   ,06           ,702
201907   ,02           ,6181
201807   ,19           ,3784
201808   ,01           ,10422
201811   ,05           ,7578
201806   ,06           ,1786
202002   ,17           ,2258
201602   ,05           ,8490
201701   ,07           ,3113
201511   ,03           ,7135
201706   ,05           ,9175
201707   ,20           ,25
201608   ,03           ,6820
201610   ,10           ,1070
201601   ,09           ,2260
201605   ,20           ,34
201503   ,01           ,13687
201502   ,11           ,1950
201503   ,13           ,1361
201902   ,03           ,5111
201901   ,03           ,4813
201901   ,13           ,1230
201501   ,14           ,5
201903   ,07           ,2097
201904   ,04           ,17013
201611   ,01           ,13871
201707   ,19           ,4839
201607   ,09           ,2584
201706   ,12           ,2979
201709   ,06           ,1736
201710   ,19           ,3312
201711   ,15           ,133
201804   ,14           ,743
201504   ,06           ,1755
201809   ,02           ,5674
202001   ,13           ,1120
201912   ,10           ,483
201911   ,11           ,3653
201602   ,03           ,9586
201511   ,07           ,4054
201706   ,11           ,6269
201612   ,14           ,899
201610   ,13           ,2910
201510   ,04           ,29321
201510   ,19           ,4230
201512   ,02           ,5585
201512   ,10           ,528
201503   ,17           ,2724
201508   ,14           ,860
201907   ,18           ,790
201910   ,14           ,785
201904   ,20           ,13
201911   ,01           ,9079
201904   ,12           ,2042
201511   ,04           ,23377
201607   ,02           ,8921
201608   ,09           ,2063
201508   ,13           ,1185
201609   ,06           ,1791
201609   ,18           ,1312
201711   ,12           ,2468
201804   ,18           ,1333
201511   ,15           ,491
201907   ,19           ,3000
202001   ,07           ,1851
201505   ,20           ,27
201810   ,05           ,7385
202004   ,01           ,7286
201706   ,19           ,4310
201610   ,11           ,6352
201608   ,05           ,7661
201509   ,03           ,10701
201612   ,12           ,3421
201709   ,18           ,1083
201802   ,13           ,1105
201505   ,14           ,674
201507   ,10           ,1210
201906   ,19           ,3836
201811   ,04           ,21149
201910   ,05           ,5400
201812   ,03           ,4294
201912   ,16           ,668
202004   ,03           ,3289
201904   ,02           ,5139
201701   ,04           ,23544
201611   ,18           ,1462
201607   ,19           ,11726
201607   ,12           ,3347
