MonthYear,EventRootCode,Count,SumAvgTone         ,AvgAvgTone
201706   ,03           ,301  ,-453.439234177061  ,-1.5064426384619967
201805   ,17           ,52   ,-167.89917214626442,-3.2288302335820087
201705   ,16           ,42   ,-170.79754518684021,-4.0666082187342916
201603   ,19           ,63   ,-142.36099498032195,-2.2596983330209834
201804   ,12           ,40   ,-106.98764489258016,-2.674691122314504
201809   ,01           ,302  ,-855.41785986119282,-2.8325094697390485
201808   ,12           ,78   ,-129.62472412865023,-1.6618554375467978
201910   ,11           ,58   ,-196.17928636431895,-3.3824014890399821
201804   ,20           ,2    ,-15.75037147102524 ,-7.87518573551262
201703   ,02           ,225  ,-358.48675093725967,-1.5932744486100432
201611   ,12           ,82   ,-138.13771083261284,-1.6846062296660103
201701   ,10           ,35   ,-83.974728497875859,-2.399277957082167
201703   ,14           ,17   ,-28.391974140784459,-1.670116125928498
201606   ,05           ,358  ,-817.0022337580034 ,-2.2821291445754293
201507   ,13           ,28   ,-22.670221244953144,-0.80965075874832648
201810   ,10           ,11   ,-38.554528713782759,-3.5049571557984329
201810   ,18           ,16   ,-55.575167551635609,-3.473447971977226
201905   ,17           ,64   ,-254.05112996822473,-3.9695489057535114
201912   ,18           ,122  ,-648.2564565305297 ,-5.3135775125453257
201901   ,06           ,20   ,-25.428902034689131,-1.2714451017344566
201901   ,17           ,43   ,-144.157572031986  ,-3.3525016751624648
201810   ,15           ,2    ,-3.47868582979763  ,-1.7393429148988151
202002   ,16           ,28   ,-98.764088959591476,-3.5272888914139813
201702   ,13           ,102  ,-336.44055322394553,-3.2984367963131915
201703   ,08           ,61   ,-124.58669719992398,-2.0424048721299011
201611   ,08           ,61   ,-114.59732406345626,-1.878644656777972
201608   ,06           ,41   ,-95.311385246495036,-2.3246679328413422
201706   ,04           ,891  ,-1109.8747367171616,-1.2456506584928861
201609   ,13           ,44   ,-172.94234722841372,-3.930507891554857
201605   ,02           ,133  ,-428.31945533915456,-3.220447032625223
201511   ,08           ,72   ,-223.12600640352244,-3.0989723111600354
201604   ,18           ,19   ,-65.779073270986572,-3.4620564879466622
201806   ,02           ,116  ,-156.64804906821843,-1.3504142161053316
201811   ,16           ,99   ,-404.36428585353531,-4.084487735894295
201809   ,12           ,60   ,-147.39918785545854,-2.4566531309243085
201911   ,17           ,53   ,-187.28715047764479,-3.5337198203329194
201903   ,19           ,119  ,-303.82129887416249,-2.553120158606407
201903   ,11           ,109  ,-544.76785205365718,-4.9978702023271309
201904   ,10           ,7    ,-23.814059464143639,-3.4020084948776632
201906   ,14           ,16   ,-95.565102363788611,-5.97281889773679
202004   ,10           ,4    ,-1.37993072816186  ,-0.344982682040465
202004   ,09           ,18   ,-44.321407903894809,-2.4623004391052667
201706   ,17           ,41   ,-275.00545131178853,-6.7074500319948429
201706   ,10           ,17   ,-61.9458388595313  ,-3.6438728740900768
201606   ,03           ,218  ,-446.95386119232842,-2.0502470696895796
201603   ,04           ,714  ,-1957.5224159249465,-2.741628033508329
201710   ,01           ,239  ,-390.76160597880829,-1.6349857990745118
201508   ,04           ,559  ,-848.29639381197308,-1.5175248547620261
201511   ,06           ,50   ,-101.30726393724925,-2.0261452787449858
201804   ,02           ,327  ,-973.9927561974024 ,-2.9785711198697329
201909   ,19           ,206  ,-789.036872027241  ,-3.8302760778021407
201908   ,06           ,34   ,-40.307520162216228,-1.1855152988887125
201902   ,19           ,151  ,-525.49763675705708,-3.4801167997156095
201809   ,18           ,32   ,-114.25804649047372,-3.5705639528273037
201808   ,13           ,74   ,-355.37202538042652,-4.8023246673030613
201903   ,18           ,24   ,-138.72239250698215,-5.7800996877909236
202002   ,01           ,206  ,-499.46619282400064,-2.4245931690485465
202004   ,04           ,300  ,-742.02725312739017,-2.4734241770913
202003   ,12           ,21   ,-52.396903463516807,-2.4950906411198481
202005   ,02           ,39   ,-210.4193453794831 ,-5.3953678302431571
201602   ,18           ,67   ,-435.47083091753609,-6.4995646405602381
201707   ,16           ,90   ,-293.7346089056731 ,-3.2637178767297006
201706   ,13           ,42   ,-136.7194698137732 ,-3.2552254717565043
201612   ,13           ,198  ,-696.81885123424172,-3.5192871274456654
201712   ,09           ,26   ,-48.581749705211955,-1.8685288348158438
201605   ,08           ,184  ,-644.44549488270513,-3.5024211678407897
201505   ,12           ,200  ,-622.64151081720286,-3.1132075540860122
201605   ,09           ,51   ,-202.93820424276535,-3.9791804753483397
201501   ,06           ,3    ,-6.9315789352316193,-2.3105263117438732
201806   ,11           ,111  ,-309.69629158979643,-2.7900566809891569
201902   ,09           ,46   ,-42.305519677033523,-0.91968521037029416
201810   ,09           ,18   ,-37.07829493793124 ,-2.0599052743295139
201808   ,02           ,260  ,-414.46375195285344,-1.5940913536648209
201907   ,12           ,41   ,-98.571579930560816,-2.4041848763551417
202001   ,17           ,68   ,-328.20216777061455,-4.8265024672149188
201904   ,18           ,15   ,-59.591492658909971,-3.9727661772606648
201906   ,02           ,132  ,-370.71072691506242,-2.8084145978413813
202004   ,01           ,128  ,-277.82380037287226,-2.1704984404130641
201608   ,05           ,303  ,-582.3774911286315 ,-1.9220379245169357
201706   ,19           ,161  ,-622.09474281372593,-3.8639425019486096
201610   ,11           ,322  ,-1165.0583063558327,-3.6181934979994819
201612   ,12           ,55   ,-141.2611662387057 ,-2.56838484070374
201509   ,03           ,432  ,-761.52637724697627,-1.7627925399235571
201709   ,18           ,17   ,-63.200973895233034,-3.7177043467784134
201802   ,13           ,38   ,-111.22927641005769,-2.9270862213173072
201505   ,14           ,46   ,-214.13189663773184,-4.6550412312550407
201507   ,10           ,29   ,-117.76135646933832,-4.0607364299771822
201912   ,16           ,156  ,-786.20350379230331,-5.0397660499506625
201812   ,03           ,204  ,-435.70027551617818,-2.1357856642949917
201811   ,04           ,1025 ,-2584.968944440318 ,-2.521920921405187
201910   ,05           ,139  ,-233.56470654791246,-1.6803216298410961
201906   ,19           ,162  ,-440.37130600043918,-2.7183413950644386
201703   ,04           ,917  ,-1317.4247021666306,-1.4366681593965436
201611   ,14           ,5    ,-22.851362672003852,-4.57027253440077
201705   ,17           ,74   ,-151.95609773934183,-2.0534607802613762
201803   ,14           ,14   ,-12.73637075984162 ,-0.90974076856011576
201712   ,06           ,44   ,-132.56923303942312,-3.0129371145323445
201603   ,08           ,161  ,-541.59611946961263,-3.3639510526062919
201711   ,16           ,13   ,-10.690708568258207,-0.82236219755832352
201505   ,17           ,146  ,-403.51002076301387,-2.7637672655000944
201508   ,10           ,12   ,-42.874650363841482,-3.5728875303201235
201510   ,15           ,12   ,-38.929250492724805,-3.2441042077270672
201807   ,03           ,458  ,-632.41855393069363,-1.38082653696658
201810   ,04           ,641  ,-1078.6168546709523,-1.6827096016707526
201810   ,06           ,25   ,-12.752149880876111,-0.51008599523504439
