MonthYear,FightCountries
202003   ,63
201710   ,52
201907   ,53
201604   ,51
201507   ,56
201509   ,56
201902   ,52
201901   ,55
201601   ,62
201704   ,51
201804   ,50
201508   ,53
201806   ,55
201612   ,54
201703   ,62
201608   ,59
201603   ,53
201906   ,69
201511   ,51
201805   ,55
201811   ,46
202001   ,90
201610   ,56
201711   ,51
201512   ,52
201505   ,49
201502   ,33
201903   ,50
201712   ,50
201812   ,44
202006   ,14
201809   ,59
201501   ,6
202002   ,51
201908   ,46
201912   ,44
202004   ,44
202005   ,39
201609   ,60
201503   ,47
201607   ,68
201504   ,56
201611   ,51
201602   ,52
201905   ,45
201904   ,46
201802   ,49
201911   ,46
201910   ,48
201701   ,56
201605   ,61
201706   ,56
201810   ,52
201705   ,63
201909   ,58
201801   ,50
201708   ,48
201709   ,50
201707   ,49
201510   ,48
201606   ,53
201808   ,55
201807   ,51
201702   ,67
201803   ,41
201506   ,49
