MonthYear,Actor1Name             ,Count
202003   ,KATOWICE               ,49
201611   ,POLAND                 ,12947
201708   ,GDANSK                 ,244
201708   ,CRACOW                 ,128
201708   ,LECH KACZYNSKI         ,10
201803   ,POLE                   ,3151
201710   ,JAROSLAW KACZYNSKI     ,143
201711   ,WROCLAW                ,86
201802   ,KRAKOW                 ,79
201612   ,CZESTOCHOWA            ,22
201610   ,LESZEK BALCEROWICZ     ,5
201603   ,LUBLIN                 ,124
201512   ,CRACOW                 ,176
201605   ,LUBLIN                 ,129
201502   ,DONALD TUSK            ,211
201511   ,POLEN                  ,5
201508   ,LUBLIN                 ,77
201506   ,BRONISLAW KOMOROWSKI   ,136
201503   ,JAROSLAW KACZYNSKI     ,31
201511   ,WOJCIECH JARUZELSKI    ,10
201507   ,LECH WALESA            ,9
201508   ,POLEN                  ,2
201508   ,ELZBIETA BIENKOWSKA    ,4
201809   ,POLISH                 ,5586
201811   ,WARSAW                 ,1560
201810   ,CZESTOCHOWA            ,17
201809   ,ALEKSANDER KWASNIEWSKI ,3
201812   ,CZESTOCHOWA            ,22
201903   ,LECH KACZYNSKI         ,2
201602   ,ZABRZE                 ,1
201912   ,KRAKOW                 ,48
202003   ,BROMBERG               ,19
201911   ,ALEKSANDER KWASNIEWSKI ,5
201803   ,WARSAW                 ,2058
201710   ,GDANSK                 ,205
201802   ,CZESTOCHOWA            ,28
201601   ,POLISH                 ,6979
201604   ,DONALD TUSK            ,455
201504   ,POLAND                 ,11800
201508   ,BRONISLAW KOMOROWSKI   ,160
201805   ,BRONISLAW KOMOROWSKI   ,5
201503   ,DONALD TUSK            ,644
201505   ,LESZEK BALCEROWICZ     ,5
201504   ,KRAKOW                 ,99
201510   ,BYDGOSZCZ              ,84
201505   ,EWA KOPACZ             ,142
201506   ,RADOSLAW SIKORSKI      ,20
201503   ,POLLAND                ,2
201902   ,LODZ                   ,51
201509   ,TADEUSZ MAZOWIECKI     ,1
201905   ,LUBLIN                 ,113
201909   ,LECH WALESA            ,14
201909   ,ZABRZE                 ,4
201909   ,LESZEK BALCEROWICZ     ,2
201911   ,JAROSLAW KACZYNSKI     ,62
201511   ,JERZY BUZEK            ,1
201909   ,POLEN                  ,6
202003   ,LESZEK MILLER          ,1
201906   ,BOGDAN ZDROJEWSKI      ,1
201906   ,TOMASZ ARABSKI         ,6
201703   ,WITOLD SOBKOW          ,5
201709   ,KATOWICE               ,76
201710   ,CZESTOCHOWA            ,19
201609   ,KRAKOW                 ,109
201611   ,KAZIMIERZ MARCINKIEWICZ,1
201711   ,POLLAND                ,2
201701   ,GDANSK                 ,222
201708   ,CZESTOCHOWA            ,42
201801   ,POLLAND                ,1
201602   ,CRACOW                 ,176
201503   ,CRACOW                 ,182
201606   ,POLEN                  ,7
201508   ,CZESTOCHOWA            ,24
201807   ,KRAKOW                 ,101
201602   ,LESZEK MILLER          ,3
201812   ,POLE                   ,2579
201612   ,ELZBIETA BIENKOWSKA    ,7
201603   ,JACEK ROSTOWSKI        ,10
201901   ,CZESTOCHOWA            ,17
201906   ,CZESTOCHOWA            ,22
202002   ,CRACOW                 ,139
201906   ,TADEUSZ MAZOWIECKI     ,2
201506   ,TADEUSZ MAZOWIECKI     ,1
201704   ,POLISH                 ,6656
201604   ,POLISH                 ,6296
201709   ,POLAND                 ,13057
201709   ,POLSKA                 ,27
201709   ,DANZIG                 ,26
201803   ,KRAKOW                 ,102
201706   ,POLISH                 ,5537
201701   ,LUBLIN                 ,161
201701   ,BRESLAU                ,20
201706   ,CZESTOCHOWA            ,15
201710   ,LECH WALESA            ,2
201603   ,GDANSK                 ,132
201804   ,BROMBERG               ,11
201804   ,ZABRZE                 ,18
201804   ,BRESLAU                ,2
201502   ,WARSAW                 ,583
201506   ,GDANSK                 ,134
201511   ,CZESTOCHOWA            ,29
201901   ,LUBLIN                 ,75
201607   ,ZABRZE                 ,6
201502   ,POLSKA                 ,3
201905   ,JAROSLAW KACZYNSKI     ,142
201806   ,ELZBIETA BIENKOWSKA    ,1
201509   ,CZESLAW KISZCZAK       ,1
202001   ,JERZY BUZEK            ,1
201509   ,DANZIG                 ,6
201705   ,POLAND                 ,11625
201705   ,ELZBIETA BIENKOWSKA    ,6
201802   ,POLEN                  ,11
201703   ,ZABRZE                 ,11
201603   ,KATOWICE               ,51
201712   ,KAZIMIERZ MARCINKIEWICZ,3
201602   ,LODZ                   ,52
201505   ,WROCLAW                ,56
201504   ,ZABRZE                 ,8
201605   ,BRONISLAW KOMOROWSKI   ,17
201604   ,LECH WALESA            ,10
201511   ,MAREK BELKA            ,2
201808   ,LUBLIN                 ,78
