MonthYear,Actor2CountryCode,Count
202003   ,ISR              ,58
202003   ,GBR              ,167
202003   ,ARE              ,4
201904   ,GBR              ,474
201611   ,TUN              ,22
201611   ,SYR              ,35
201703   ,AUS              ,101
201702   ,OMN              ,22
201702   ,KWT              ,3
201702   ,EGY              ,153
201702   ,ARE              ,33
201707   ,MKD              ,8
201708   ,BEL              ,154
201708   ,SYR              ,7
201610   ,BGR              ,63
201610   ,THA              ,19
201706   ,ARG              ,18
201706   ,KOR              ,13
201706   ,PRY              ,1
201706   ,HTI              ,5
201704   ,MDA              ,23
201704   ,MDV              ,12
201609   ,MDA              ,20
201612   ,ESP              ,86
201706   ,MLT              ,5
201612   ,SRB              ,14
201612   ,BEL              ,117
201612   ,BOL              ,2
201609   ,QAT              ,30
201707   ,TJK              ,7
201707   ,ARE              ,2
201610   ,QAT              ,4
201705   ,BLR              ,68
201701   ,CIV              ,1
201609   ,DOM              ,2
201512   ,GBR              ,571
201609   ,ARE              ,1
201702   ,GIN              ,1
201709   ,OMN              ,3
201709   ,VAT              ,5
201708   ,ARG              ,1
201710   ,PHL              ,11
201710   ,MCO              ,3
201711   ,BHS              ,1
201712   ,MEX              ,21
201712   ,LBR              ,2
201712   ,NLD              ,19
201802   ,IRQ              ,5
201802   ,MDA              ,16
201801   ,SEN              ,1
201803   ,QAT              ,19
201802   ,MCO              ,1
201805   ,CHN              ,98
201805   ,LUX              ,17
201606   ,BRA              ,30
201607   ,ARM              ,59
201606   ,NOR              ,109
201605   ,HUN              ,220
201504   ,AUS              ,41
201511   ,MDG              ,3
201504   ,MLT              ,6
201508   ,CHL              ,10
201508   ,CAN              ,88
201509   ,FIN              ,32
201602   ,PRK              ,27
201509   ,CRI              ,6
201509   ,SYR              ,103
201511   ,DNK              ,24
201511   ,CYP              ,26
201511   ,PAK              ,4
201603   ,IND              ,8
201604   ,MAR              ,7
201503   ,KHM              ,2
201506   ,MLI              ,3
201502   ,TCD              ,1
201504   ,COG              ,2
201603   ,ETH              ,1
201807   ,HUN              ,165
201807   ,DNK              ,58
201810   ,NZL              ,7
201810   ,FRA              ,292
201806   ,AFG              ,5
201808   ,AGO              ,2
201812   ,DEU              ,444
201812   ,BRA              ,32
201812   ,USA              ,1202
201806   ,TCD              ,2
201811   ,WST              ,53
201812   ,BLR              ,55
201908   ,SGP              ,1
201807   ,NIC              ,5
201806   ,CUB              ,2
201902   ,JPN              ,23
201812   ,TUV              ,1
201905   ,THA              ,10
201909   ,NLD              ,38
201909   ,SVK              ,71
201901   ,KOR              ,2
201902   ,BDI              ,1
201904   ,VEN              ,1
201909   ,PAK              ,37
201911   ,LTU              ,180
201904   ,GEO              ,4
201903   ,PHL              ,6
201812   ,ZAF              ,1
201809   ,MEA              ,12
201911   ,CHL              ,12
201810   ,CMR              ,7
202001   ,NZL              ,7
201809   ,MDG              ,2
202001   ,NLD              ,48
201910   ,TUN              ,2
201905   ,TWN              ,1
202004   ,MAR              ,7
202001   ,PHL              ,6
201901   ,JAM              ,3
201502   ,SGP              ,1
202003   ,TUR              ,19
202001   ,KOR              ,6
201801   ,UGA              ,1
201911   ,GTM              ,1
202003   ,BTN              ,1
202003   ,TWN              ,2
202003   ,MAR              ,11
201703   ,CHL              ,29
201703   ,SYR              ,67
201608   ,                 ,14463
201610   ,IDN              ,49
201706   ,ARM              ,24
201706   ,MDA              ,13
201706   ,BRA              ,21
201708   ,DZA              ,3
201509   ,                 ,15027
201612   ,AFR              ,16
201701   ,ESP              ,72
201703   ,AGO              ,11
201608   ,PRT              ,20
201706   ,BFA              ,2
201705   ,KHM              ,4
201705   ,LVA              ,98
201705   ,FRA              ,488
201601   ,NGA              ,8
201701   ,YEM              ,3
201608   ,PAN              ,49
201709   ,USA              ,1087
201709   ,THA              ,12
201709   ,IRL              ,39
201709   ,BGD              ,3
201710   ,ARE              ,14
201709   ,SRB              ,3
201712   ,NMR              ,4
201801   ,FRA              ,230
201801   ,CHN              ,57
201802   ,ZMB              ,2
201803   ,ARM              ,36
201803   ,NGA              ,16
201804   ,SYR              ,106
201803   ,CYP              ,11
201804   ,KAZ              ,9
201805   ,AUS              ,65
201805   ,AFG              ,18
201806   ,SDN              ,6
201805   ,BOL              ,3
201608   ,PRK              ,4
201506   ,                 ,9974
201606   ,SRB              ,233
201504   ,GRC              ,24
201603   ,VAT              ,25
201505   ,CUB              ,10
201505   ,LIE              ,3
201507   ,QAT              ,1
201507   ,ARG              ,9
201601   ,ARE              ,6
201512   ,SWE              ,45
201603   ,CUB              ,8
201602   ,TUR              ,58
201510   ,CHL              ,34
201502   ,IRL              ,12
201512   ,ARM              ,11
201603   ,COL              ,3
201504   ,BRA              ,6
201601   ,SAU              ,4
201509   ,BDI              ,2
201506   ,PRK              ,10
201506   ,AND              ,6
201510   ,BGD              ,8
201505   ,ALB              ,6
201509   ,ALB              ,1
201807   ,VEN              ,8
201809   ,ISL              ,3
201810   ,ARG              ,6
201810   ,JPN              ,61
201808   ,HND              ,1
201812   ,MAR              ,35
