MonthYear,FightCountries
201910   ,38
201911   ,36
201701   ,51
201605   ,44
201706   ,39
201801   ,35
201909   ,32
201705   ,41
201810   ,38
201912   ,34
201809   ,39
201908   ,47
202002   ,33
202004   ,29
201501   ,1
201702   ,48
201708   ,40
201803   ,49
201510   ,42
201808   ,36
201606   ,54
201807   ,45
201506   ,41
201707   ,46
201709   ,36
201508   ,47
201704   ,47
201703   ,35
201603   ,47
201509   ,46
201507   ,43
201902   ,49
201901   ,51
201612   ,48
201710   ,49
201511   ,39
201601   ,43
201806   ,46
201804   ,45
201604   ,42
201906   ,38
202003   ,37
201608   ,47
201907   ,33
201610   ,46
201711   ,48
201712   ,40
201805   ,40
201903   ,39
201505   ,43
202001   ,38
201512   ,37
201812   ,42
201811   ,32
201502   ,19
201611   ,47
201602   ,40
201904   ,34
201607   ,54
202005   ,30
201905   ,46
201504   ,43
201802   ,46
201503   ,41
201609   ,40
