MonthYear,Actor2Name             ,Count
201510   ,BYDGOSZCZ              ,78
201601   ,POLISH                 ,4654
201604   ,DONALD TUSK            ,388
201710   ,GDANSK                 ,187
201803   ,WARSAW                 ,1373
201802   ,CZESTOCHOWA            ,16
201805   ,BRONISLAW KOMOROWSKI   ,3
201504   ,POLAND                 ,9512
201504   ,KRAKOW                 ,98
201503   ,DONALD TUSK            ,485
201505   ,EWA KOPACZ             ,136
201508   ,BRONISLAW KOMOROWSKI   ,102
201505   ,LESZEK BALCEROWICZ     ,6
201506   ,RADOSLAW SIKORSKI      ,9
201509   ,TADEUSZ MAZOWIECKI     ,1
201511   ,JERZY BUZEK            ,1
201906   ,TOMASZ ARABSKI         ,5
201504   ,MAREK SAWICKI          ,1
201902   ,LODZ                   ,37
201905   ,LUBLIN                 ,66
201909   ,ZABRZE                 ,4
201909   ,LECH WALESA            ,6
201909   ,POLEN                  ,3
201911   ,JAROSLAW KACZYNSKI     ,25
201909   ,LESZEK BALCEROWICZ     ,2
201906   ,BOGDAN ZDROJEWSKI      ,1
201704   ,BYDGOSZCZ              ,48
201609   ,KATOWICE               ,65
201701   ,MAREK BELKA            ,2
201705   ,LECH WALESA            ,2
201803   ,KATOWICE               ,94
201802   ,BROMBERG               ,38
201805   ,POLISH                 ,4079
201508   ,WARSAW                 ,918
201606   ,JAN OLSZEWSKI          ,2
201511   ,EWA KOPACZ             ,22
201509   ,WARSZAWA               ,2
201806   ,POLE                   ,2659
201509   ,POLSKA                 ,14
201507   ,BYDGOSZCZ              ,31
201601   ,WALDEMAR PAWLAK        ,6
201807   ,POLAND                 ,9158
201812   ,JAROSLAW KACZYNSKI     ,22
201502   ,LESZEK MILLER          ,3
201905   ,LESZEK MILLER          ,2
201911   ,GDANSK                 ,131
202002   ,POLAND                 ,6459
202002   ,ZABRZE                 ,3
201912   ,LUBLIN                 ,40
201912   ,CZESTOCHOWA            ,4
202002   ,BRESLAU                ,1
201702   ,WARSAW                 ,1479
201602   ,LUBLIN                 ,35
201704   ,ELZBIETA BIENKOWSKA    ,2
201707   ,LECH WALESA            ,61
201509   ,POLAND                 ,10615
201610   ,TADEUSZ MAZOWIECKI     ,2
201709   ,BRONISLAW KOMOROWSKI   ,6
201612   ,WOJCIECH JARUZELSKI    ,7
201605   ,WARSAW                 ,2009
201705   ,RADOSLAW SIKORSKI      ,1
201711   ,JAROSLAW KACZYNSKI     ,89
201710   ,BRESLAU                ,10
201801   ,CZESTOCHOWA            ,10
201805   ,POLAND                 ,9507
201605   ,LECH KACZYNSKI         ,10
201511   ,KATOWICE               ,63
201503   ,BROMBERG               ,3
201511   ,BROMBERG               ,12
201509   ,LECH KACZYNSKI         ,8
201807   ,DONALD TUSK            ,453
201903   ,JERZY BUZEK            ,4
201902   ,BYDGOSZCZ              ,27
201907   ,LODZ                   ,17
201604   ,MAREK BELKA            ,1
201908   ,WARSAW                 ,1296
201905   ,POLE                   ,2277
201905   ,CRACOW                 ,131
201909   ,DONALD TUSK            ,321
202002   ,POLEN                  ,5
201907   ,BRONISLAW KOMOROWSKI   ,1
201602   ,WARSAW                 ,1281
