MonthYear,EventBaseCode,Count
201611   ,022          ,34
201702   ,071          ,319
201702   ,091          ,6
202003   ,131          ,17
201608   ,050          ,339
201708   ,022          ,24
201708   ,062          ,78
201706   ,053          ,6
201610   ,193          ,264
201610   ,020          ,1912
201610   ,084          ,502
202003   ,031          ,46
201703   ,091          ,5
201708   ,091          ,2
201609   ,036          ,1385
201609   ,061          ,160
201609   ,025          ,28
201606   ,190          ,895
201612   ,021          ,83
201701   ,186          ,17
201701   ,164          ,32
201708   ,194          ,6
201512   ,051          ,1478
201502   ,057          ,198
201511   ,110          ,385
201507   ,017          ,142
201512   ,033          ,60
201703   ,139          ,12
201805   ,046          ,921
201805   ,012          ,364
201805   ,041          ,78
201905   ,050          ,184
201905   ,056          ,12
201905   ,073          ,52
201609   ,091          ,9
201803   ,018          ,32
201803   ,164          ,28
201807   ,057          ,823
201807   ,010          ,1854
201802   ,036          ,1181
201802   ,062          ,59
201802   ,021          ,112
201810   ,070          ,193
201911   ,194          ,5
201911   ,011          ,30
201610   ,153          ,1
201902   ,180          ,304
201808   ,203          ,9
201812   ,190          ,558
201901   ,100          ,149
201811   ,051          ,1721
201602   ,100          ,139
201505   ,021          ,47
201608   ,024          ,3
201607   ,183          ,5
201806   ,127          ,20
201908   ,017          ,383
201908   ,073          ,127
202001   ,040          ,1246
202001   ,182          ,59
202001   ,194          ,34
202002   ,161          ,17
202002   ,015          ,37
201506   ,021          ,15
201512   ,133          ,5
201606   ,130          ,476
201606   ,128          ,42
201807   ,018          ,23
201912   ,030          ,341
201912   ,110          ,253
201912   ,174          ,36
201912   ,016          ,26
201605   ,070          ,257
201903   ,143          ,16
201802   ,127          ,4
201802   ,201          ,1
201801   ,085          ,5
201911   ,052          ,4
201611   ,103          ,1
202003   ,027          ,5
201505   ,191          ,25
201904   ,202          ,1
201512   ,024          ,30
201605   ,186          ,35
201903   ,145          ,9
201509   ,131          ,6
201604   ,025          ,12
201509   ,161          ,36
201505   ,145          ,10
201605   ,166          ,8
201505   ,045          ,12
201605   ,053          ,4
201601   ,037          ,7
201707   ,027          ,3
201610   ,092          ,3
201907   ,166          ,1
201802   ,053          ,2
201501   ,111          ,2
201804   ,034          ,1
202003   ,042          ,1150
201611   ,081          ,27
201611   ,160          ,173
201702   ,173          ,436
201702   ,013          ,319
201707   ,033          ,88
201511   ,111          ,595
201708   ,057          ,402
201708   ,016          ,64
201611   ,131          ,11
201706   ,061          ,131
201510   ,080          ,344
202003   ,033          ,66
201703   ,060          ,279
201703   ,202          ,18
201510   ,190          ,685
201609   ,054          ,54
201609   ,050          ,251
201609   ,133          ,3
201706   ,153          ,1
201612   ,073          ,108
201701   ,092          ,4
201508   ,111          ,347
201511   ,087          ,200
201508   ,070          ,271
201509   ,057          ,786
201805   ,138          ,69
201701   ,170          ,4
201801   ,182          ,98
201905   ,084          ,442
201905   ,040          ,1523
201905   ,071          ,264
201807   ,050          ,286
201807   ,129          ,47
201804   ,075          ,12
201804   ,044          ,34
201802   ,193          ,350
201802   ,042          ,1636
201802   ,125          ,60
201705   ,016          ,39
201810   ,182          ,75
201911   ,042          ,1103
201911   ,192          ,68
201902   ,070          ,177
201910   ,062          ,46
201808   ,020          ,1188
201808   ,012          ,306
201808   ,021          ,19
201710   ,061          ,142
