MonthYear,EventRootCode,Count
201510   ,04           ,5605
201512   ,02           ,1716
201510   ,19           ,974
201602   ,03           ,2271
201503   ,17           ,938
201511   ,07           ,714
201508   ,14           ,252
201706   ,11           ,1348
201610   ,13           ,399
201612   ,14           ,851
201904   ,20           ,16
201512   ,10           ,151
201907   ,18           ,143
201910   ,14           ,173
201911   ,01           ,2350
201904   ,07           ,533
201601   ,10           ,257
201605   ,19           ,1183
202005   ,06           ,8
201805   ,14           ,282
201809   ,19           ,881
201501   ,17           ,16
201907   ,17           ,665
201901   ,11           ,1591
201902   ,12           ,772
201902   ,17           ,944
201911   ,08           ,792
201906   ,09           ,325
202004   ,01           ,1856
201608   ,05           ,2995
201509   ,03           ,2441
201706   ,19           ,957
201709   ,18           ,444
201802   ,13           ,416
201610   ,11           ,1862
201612   ,12           ,1083
201811   ,04           ,5938
201507   ,10           ,138
201812   ,03           ,1838
201505   ,14           ,166
201910   ,05           ,2116
201912   ,16           ,143
201906   ,19           ,784
201708   ,04           ,5078
201704   ,06           ,442
201602   ,02           ,2196
201603   ,12           ,767
201509   ,04           ,6842
201503   ,15           ,199
201702   ,17           ,969
201803   ,08           ,929
201709   ,20           ,13
201609   ,08           ,922
201603   ,06           ,348
201907   ,01           ,2235
201901   ,10           ,179
201902   ,01           ,3876
201902   ,06           ,712
202001   ,19           ,1397
201501   ,03           ,14
201911   ,19           ,820
202003   ,04           ,3641
202004   ,18           ,110
201707   ,11           ,2634
201704   ,12           ,676
201604   ,12           ,709
201510   ,11           ,1261
201512   ,03           ,1804
201509   ,07           ,1003
201506   ,07           ,599
201803   ,20           ,67
201711   ,07           ,741
201705   ,10           ,169
201804   ,19           ,1309
202005   ,10           ,4
201907   ,06           ,308
201903   ,14           ,259
201806   ,09           ,401
201909   ,15           ,102
201911   ,10           ,157
201607   ,06           ,563
201906   ,18           ,138
201703   ,12           ,1479
201601   ,16           ,265
201701   ,14           ,455
201609   ,04           ,7682
201705   ,01           ,3059
201805   ,05           ,2603
201801   ,16           ,293
201807   ,19           ,1501
201808   ,01           ,2330
201811   ,05           ,2983
201603   ,16           ,192
201502   ,06           ,170
201907   ,02           ,1323
201605   ,15           ,234
202002   ,17           ,496
201806   ,06           ,338
202004   ,14           ,190
201708   ,01           ,3242
201703   ,18           ,305
201604   ,19           ,1145
201703   ,20           ,29
201601   ,01           ,3456
201605   ,11           ,1710
201511   ,19           ,1207
201504   ,13           ,271
201702   ,09           ,571
201708   ,10           ,293
201803   ,13           ,499
202005   ,09           ,7
201609   ,17           ,995
201605   ,18           ,276
201503   ,09           ,447
201502   ,12           ,248
201602   ,20           ,12
201905   ,01           ,2684
201806   ,14           ,258
201909   ,11           ,1464
201912   ,15           ,62
202003   ,18           ,82
201708   ,07           ,551
201708   ,18           ,377
201703   ,05           ,3539
201512   ,01           ,3032
201505   ,03           ,1620
201702   ,03           ,1825
202005   ,08           ,13
201803   ,10           ,328
201711   ,13           ,418
201808   ,04           ,4688
201808   ,05           ,1954
201810   ,02           ,1862
201507   ,16           ,207
201707   ,03           ,3539
201704   ,07           ,849
201704   ,15           ,71
202004   ,20           ,20
201611   ,05           ,3076
