MonthYear,QuadClass,Count
201702   ,3        ,3470
201708   ,1        ,13254
202005   ,1        ,125
201903   ,4        ,2177
201812   ,4        ,2153
201511   ,4        ,2853
201805   ,4        ,2777
201710   ,1        ,17085
201804   ,4        ,2740
201612   ,3        ,4455
201607   ,4        ,4987
201706   ,4        ,2304
201606   ,1        ,24574
201711   ,4        ,3371
201505   ,1        ,14061
201908   ,3        ,2357
201610   ,2        ,3149
201709   ,2        ,2561
201805   ,3        ,3023
201609   ,3        ,3501
201912   ,4        ,1894
201705   ,3        ,3019
201711   ,2        ,3007
201712   ,4        ,2515
201505   ,3        ,2808
201712   ,3        ,3800
201708   ,3        ,3553
201904   ,4        ,1814
201509   ,3        ,3777
201806   ,2        ,2325
201902   ,3        ,3627
201707   ,4        ,3193
201510   ,3        ,3005
201802   ,4        ,4258
201911   ,3        ,2158
202003   ,4        ,2142
201607   ,3        ,4683
201612   ,4        ,3696
202005   ,4        ,49
201608   ,2        ,2962
201508   ,1        ,13858
201711   ,3        ,4418
201507   ,3        ,2012
201608   ,1        ,17846
201802   ,2        ,3382
201502   ,2        ,1072
201812   ,2        ,2128
201908   ,4        ,2455
201611   ,3        ,3197
201510   ,2        ,2611
201804   ,3        ,3155
201502   ,1        ,5104
201812   ,1        ,15223
201803   ,1        ,20182
201905   ,1        ,12967
202003   ,2        ,2131
201607   ,2        ,3552
201701   ,3        ,3315
201512   ,1        ,14745
201507   ,4        ,2274
202004   ,2        ,2173
202004   ,4        ,1556
201704   ,1        ,16607
201703   ,4        ,3536
201509   ,2        ,2865
201707   ,3        ,6349
201709   ,1        ,16403
202001   ,4        ,2927
202003   ,1        ,8866
201903   ,1        ,12343
201711   ,1        ,18803
201505   ,2        ,2378
201909   ,4        ,2760
201902   ,4        ,3589
201502   ,3        ,904
201906   ,4        ,1974
201803   ,4        ,3849
201811   ,2        ,2260
201904   ,3        ,2437
201701   ,1        ,17086
201708   ,4        ,2690
201603   ,2        ,2439
201609   ,2        ,2839
201709   ,3        ,3795
201812   ,3        ,2476
202002   ,3        ,2324
201701   ,4        ,4053
201803   ,2        ,2833
201805   ,1        ,15627
201503   ,4        ,2917
201512   ,3        ,3345
201504   ,3        ,3429
201810   ,3        ,2800
201912   ,1        ,11334
201912   ,3        ,2524
201702   ,4        ,2888
201703   ,3        ,6227
201809   ,3        ,3128
201903   ,3        ,2625
201808   ,4        ,2301
201611   ,1        ,17880
201511   ,1        ,15583
201605   ,2        ,3047
201807   ,2        ,2657
201905   ,4        ,2413
201707   ,2        ,3199
201804   ,1        ,13442
201811   ,4        ,2533
202001   ,1        ,14103
202001   ,2        ,2265
202002   ,1        ,10104
201611   ,4        ,2756
201609   ,4        ,3206
201808   ,3        ,2171
201811   ,1        ,15668
202002   ,4        ,1709
201905   ,3        ,2783
202004   ,1        ,7427
201503   ,2        ,2361
201801   ,2        ,3117
202005   ,2        ,48
201901   ,1        ,15872
201907   ,4        ,1927
201704   ,3        ,3152
201511   ,3        ,3297
201501   ,4        ,33
201901   ,3        ,3163
201602   ,1        ,16566
201810   ,1        ,13857
201912   ,2        ,1676
201907   ,1        ,11692
201512   ,4        ,2258
201909   ,1        ,15430
201708   ,2        ,2243
201606   ,2        ,3609
201606   ,4        ,3463
201808   ,2        ,2137
201901   ,2        ,3186
201904   ,1        ,12392
201611   ,2        ,2929
201706   ,1        ,15917
201701   ,2        ,3360
201807   ,3        ,3398
201906   ,1        ,13082
201601   ,3        ,3984
201810   ,4        ,2175
201601   ,2        ,2589
201802   ,1        ,20138
201706   ,2        ,2546
201506   ,2        ,2059
201807   ,1        ,14531
202003   ,3        ,1693
201605   ,3        ,4109
201710   ,3        ,3245
201906   ,2        ,1939
201702   ,2        ,2602
201604   ,2        ,2602
201510   ,4        ,2495
201803   ,3        ,4767
201908   ,2        ,2281
201705   ,4        ,2665
201604   ,4        ,2831
201603   ,4        ,2537
201508   ,4        ,2360
201709   ,4        ,3040
201910   ,4        ,1942
201604   ,3        ,3087
201703   ,1        ,22732
201508   ,2        ,2406
201804   ,2        ,2334
201503   ,3        ,2664
201510   ,1        ,15261
201810   ,2        ,2308
201509   ,1        ,17764
201801   ,1        ,16994
201911   ,4        ,2017
201608   ,3        ,2659
201612   ,2        ,3010
201508   ,3        ,2512
201710   ,2        ,2559
201910   ,2        ,2083
202004   ,3        ,1599
201712   ,1        ,16166
202005   ,3        ,33
201808   ,1        ,11472
201602   ,2        ,2641
201602   ,4        ,2450
201801   ,3        ,3865
201505   ,4        ,2373
201704   ,2        ,2703
201605   ,4        ,3354
201710   ,4        ,2658
201806   ,3        ,3244
201712   ,2        ,3129
201502   ,4        ,874
201807   ,4        ,3009
201811   ,3        ,3124
201501   ,3        ,27
201705   ,2        ,2779
201504   ,4        ,3313
201908   ,1        ,13675
201809   ,4        ,2363
201608   ,4        ,2806
201601   ,1        ,15819
201805   ,2        ,2861
201911   ,1        ,11202
201612   ,1        ,17598
201506   ,4        ,2076
201501   ,1        ,178
201910   ,1        ,12528
201903   ,2        ,2102
201610   ,3        ,4601
201702   ,1        ,17008
201705   ,1        ,16151
201603   ,1        ,15705
201506   ,3        ,1991
201909   ,2        ,2380
201809   ,1        ,15239
201806   ,1        ,15029
201911   ,2        ,2033
201601   ,4        ,2267
201703   ,2        ,3486
201707   ,1        ,26590
201706   ,3        ,3115
201504   ,1        ,15787
201902   ,1        ,20265
201607   ,1        ,35284
201606   ,3        ,3832
201605   ,1        ,18438
201801   ,4        ,3103
201905   ,2        ,2120
201909   ,3        ,2813
201806   ,4        ,2289
201609   ,1        ,18632
201512   ,2        ,2506
201802   ,3        ,5970
202002   ,2        ,1759
201902   ,2        ,2710
201704   ,4        ,2754
201604   ,1        ,16001
201507   ,2        ,2253
201503   ,1        ,13760
201901   ,4        ,4260
201910   ,3        ,2339
201809   ,2        ,2292
201610   ,1        ,18843
201507   ,1        ,12120
201511   ,2        ,2817
201603   ,3        ,3133
201904   ,2        ,1975
201509   ,4        ,2629
201506   ,1        ,12959
201501   ,2        ,21
201906   ,3        ,2202
202001   ,3        ,3678
201907   ,2        ,1984
201602   ,3        ,3221
201610   ,4        ,3698
201504   ,2        ,2679
201907   ,3        ,2281
