MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201610   ,03           ,103           ,3.8148148148148149
201704   ,01           ,250           ,5.6818181818181817
201708   ,06           ,89            ,3.7083333333333335
201609   ,08           ,96            ,3.9999999999999991
201509   ,11           ,229           ,5.3255813953488387
201504   ,02           ,244           ,3.5882352941176463
201510   ,03           ,56            ,4.3076923076923084
201603   ,09           ,25            ,5.0
201906   ,19           ,242           ,4.7450980392156863
201508   ,07           ,30            ,4.2857142857142856
201712   ,19           ,220           ,5.7894736842105257
201802   ,10           ,88            ,6.2857142857142856
201710   ,07           ,52            ,4.7272727272727275
201604   ,13           ,84            ,6.0000000000000009
202001   ,13           ,60            ,3.75
201606   ,16           ,25            ,5.0
201801   ,07           ,80            ,5.3333333333333339
201611   ,12           ,24            ,4.0
201706   ,04           ,1241          ,4.5793357933579335
201608   ,08           ,87            ,3.9545454545454546
201603   ,05           ,214           ,4.6521739130434758
201708   ,08           ,114           ,3.9310344827586206
201602   ,14           ,32            ,3.2
201802   ,05           ,616           ,4.248275862068966
201606   ,06           ,147           ,4.3235294117647065
201811   ,11           ,448           ,4.8172043010752681
201511   ,07           ,32            ,3.5555555555555554
201710   ,04           ,547           ,4.5966386554621845
202001   ,05           ,634           ,4.7313432835820892
202001   ,14           ,18            ,6.0
201711   ,08           ,123           ,3.8437499999999996
201506   ,14           ,8             ,8.0
201901   ,13           ,23            ,3.833333333333333
201507   ,09           ,13            ,2.6
201505   ,18           ,8             ,8.0
201708   ,09           ,164           ,7.4545454545454559
201609   ,12           ,23            ,3.2857142857142856
201708   ,13           ,34            ,3.7777777777777777
201803   ,02           ,939           ,6.4315068493150678
201907   ,03           ,93            ,3.0
201508   ,02           ,186           ,5.1666666666666661
201704   ,12           ,30            ,5.0
201807   ,03           ,210           ,5.833333333333333
201909   ,03           ,165           ,3.9285714285714284
201710   ,09           ,52            ,4.333333333333333
201806   ,10           ,73            ,3.8421052631578942
201906   ,09           ,16            ,8.0
201708   ,20           ,11            ,2.2
201903   ,07           ,15            ,5.0
201801   ,14           ,22            ,4.4
201711   ,15           ,20            ,3.333333333333333
201507   ,13           ,18            ,9.0
201812   ,09           ,8             ,4.0
201611   ,07           ,74            ,4.9333333333333336
201704   ,19           ,218           ,4.3599999999999994
201508   ,06           ,98            ,6.125
201512   ,01           ,201           ,4.3695652173913064
201709   ,08           ,139           ,5.5600000000000005
201709   ,10           ,480           ,6.8571428571428577
201603   ,17           ,66            ,4.1249999999999991
201510   ,17           ,106           ,3.6551724137931032
201512   ,18           ,28            ,3.5
202002   ,06           ,97            ,3.4642857142857144
201802   ,09           ,28            ,4.0
202001   ,15           ,17            ,4.25
201810   ,06           ,55            ,5.5
201809   ,19           ,259           ,3.7536231884057969
202004   ,07           ,15            ,1.875
201703   ,17           ,255           ,5.4255319148936172
201702   ,12           ,80            ,4.2105263157894735
201706   ,17           ,54            ,4.9090909090909092
201509   ,02           ,123           ,3.2368421052631589
201603   ,04           ,431           ,4.634408602150538
201803   ,07           ,98            ,5.7647058823529411
201911   ,05           ,187           ,3.8163265306122449
201511   ,14           ,10            ,5.0
201712   ,08           ,106           ,4.8181818181818183
201802   ,07           ,115           ,4.7916666666666679
201908   ,17           ,64            ,3.0476190476190474
201912   ,05           ,486           ,3.98360655737705
201801   ,15           ,100           ,50.0
201904   ,18           ,36            ,9.0
201508   ,10           ,24            ,8.0
201908   ,20           ,10            ,5.0
202005   ,17           ,43            ,2.8666666666666663
201601   ,11           ,736           ,4.5153374233128831
201711   ,14           ,20            ,6.6666666666666661
201604   ,01           ,161           ,4.2368421052631584
201803   ,03           ,579           ,5.1696428571428568
201808   ,12           ,158           ,7.1818181818181817
201607   ,10           ,75            ,5.0
201908   ,09           ,24            ,2.6666666666666665
201905   ,02           ,290           ,5.9183673469387754
201905   ,01           ,178           ,3.4901960784313726
201908   ,08           ,240           ,4.2105263157894743
201511   ,18           ,8             ,8.0
202005   ,13           ,21            ,3.5
201703   ,14           ,51            ,5.666666666666667
201609   ,01           ,257           ,4.0793650793650791
201504   ,19           ,429           ,3.7631578947368434
201505   ,11           ,198           ,4.6046511627906979
201711   ,05           ,345           ,4.2073170731707323
201711   ,01           ,283           ,4.9649122807017552
201606   ,19           ,429           ,4.7666666666666657
201503   ,07           ,42            ,7.0
201505   ,12           ,77            ,3.8499999999999996
201509   ,07           ,76            ,5.0666666666666673
201806   ,16           ,30            ,3.75
201712   ,12           ,22            ,3.666666666666667
201811   ,13           ,72            ,3.2727272727272725
201902   ,18           ,48            ,8.0
201603   ,14           ,20            ,10.0
201902   ,07           ,34            ,5.6666666666666661
202004   ,10           ,14            ,2.8
201708   ,12           ,142           ,6.7619047619047619
201509   ,03           ,157           ,3.9249999999999994
201712   ,03           ,88            ,3.8260869565217392
201506   ,01           ,72            ,3.4285714285714284
201903   ,04           ,866           ,5.24848484848485
201501   ,04           ,22            ,4.4
202001   ,17           ,205           ,3.8679245283018866
201903   ,05           ,188           ,4.0
201904   ,11           ,205           ,5.125
201904   ,09           ,40            ,5.7142857142857144
202005   ,19           ,135           ,3.2142857142857144
201611   ,16           ,52            ,6.5
201610   ,14           ,103           ,3.9615384615384617
201605   ,05           ,413           ,4.6931818181818175
201503   ,19           ,251           ,4.114754098360657
201709   ,13           ,202           ,6.5161290322580641
201503   ,01           ,201           ,4.2765957446808507
201907   ,05           ,397           ,4.7831325301204828
201512   ,12           ,21            ,3.5
201912   ,01           ,241           ,4.3818181818181818
201909   ,09           ,24            ,4.8
201809   ,18           ,18            ,4.5
201809   ,04           ,621           ,4.0324675324675319
201510   ,16           ,20            ,5.0
202005   ,11           ,57            ,3.166666666666667
201601   ,06           ,111           ,5.5499999999999989
201509   ,08           ,132           ,6.6
201807   ,01           ,277           ,4.8596491228070171
201510   ,09           ,44            ,4.3999999999999995
201902   ,11           ,221           ,3.8771929824561404
201908   ,07           ,66            ,3.3
201901   ,07           ,88            ,6.2857142857142856
201709   ,14           ,18            ,6.0
201707   ,04           ,4261          ,4.0542340627973363
201707   ,17           ,88            ,4.6315789473684212
201509   ,17           ,56            ,4.6666666666666661
201610   ,16           ,10            ,10.0
201705   ,02           ,283           ,9.7586206896551726
201803   ,05           ,527           ,4.5042735042735051
201709   ,18           ,30            ,10.0
201802   ,12           ,141           ,3.7105263157894739
201811   ,10           ,88            ,3.6666666666666665
201504   ,17           ,158           ,6.8695652173913055
201804   ,02           ,171           ,5.5161290322580641
201711   ,09           ,92            ,6.5714285714285712
201809   ,17           ,22            ,5.5
201606   ,18           ,51            ,3.6428571428571428
202003   ,12           ,43            ,4.7777777777777777
201804   ,09           ,8             ,8.0
201909   ,16           ,20            ,4.0
202003   ,17           ,128           ,7.5294117647058822
201611   ,06           ,54            ,3.8571428571428572
201701   ,02           ,261           ,5.6739130434782608
201602   ,12           ,36            ,5.1428571428571423
201705   ,05           ,230           ,4.5098039215686274
201701   ,14           ,26            ,6.5
201601   ,02           ,555           ,5.0000000000000018
201602   ,09           ,50            ,7.1428571428571432
201808   ,19           ,325           ,3.9156626506024095
201909   ,14           ,20            ,6.666666666666667
201804   ,18           ,42            ,4.1999999999999993
201810   ,04           ,1192          ,4.2419928825622781
201802   ,03           ,336           ,4.421052631578946
201806   ,09           ,35            ,5.0
201806   ,08           ,148           ,4.625
201904   ,13           ,56            ,3.7333333333333334
201612   ,13           ,60            ,10.0
201705   ,14           ,6             ,6.0
201607   ,14           ,10            ,3.333333333333333
202004   ,05           ,92            ,5.4117647058823533
201706   ,03           ,842           ,5.4322580645161285
201708   ,05           ,256           ,4.129032258064516
201504   ,04           ,2052          ,5.0294117647058849
201701   ,12           ,28            ,4.666666666666667
201701   ,13           ,40            ,4.4444444444444446
201610   ,08           ,44            ,2.9333333333333331
201608   ,12           ,68            ,5.2307692307692308
201711   ,19           ,261           ,5.67391304347826
201805   ,03           ,93            ,3.875
201507   ,06           ,55            ,3.9285714285714293
201710   ,12           ,53            ,6.625
201912   ,07           ,105           ,5.0
201809   ,10           ,33            ,6.6
201908   ,03           ,196           ,4.454545454545455
201907   ,14           ,8             ,4.0
201710   ,06           ,93            ,3.3214285714285716
201705   ,20           ,8             ,8.0
201604   ,14           ,10            ,10.0
201507   ,03           ,88            ,3.2592592592592591
201612   ,16           ,36            ,3.272727272727272
201608   ,01           ,229           ,4.3207547169811322
201606   ,02           ,348           ,6.0
202001   ,11           ,358           ,5.042253521126761
201903   ,08           ,77            ,2.9615384615384617
202003   ,02           ,137           ,4.7241379310344822
201910   ,09           ,7             ,1.1666666666666665
201906   ,13           ,14            ,3.5
201908   ,14           ,10            ,5.0
201605   ,09           ,86            ,9.5555555555555554
201602   ,03           ,420           ,4.0384615384615383
201612   ,08           ,189           ,4.1086956521739122
201510   ,13           ,38            ,3.8
201505   ,06           ,107           ,3.9629629629629628
201508   ,11           ,124           ,4.1333333333333329
201504   ,09           ,20            ,5.0
201507   ,10           ,26            ,4.3333333333333339
201909   ,13           ,75            ,3.75
201709   ,06           ,57            ,4.75
201901   ,17           ,54            ,4.5000000000000009
201901   ,09           ,14            ,4.666666666666667
202005   ,10           ,2             ,2.0
201702   ,19           ,304           ,5.0666666666666664
201601   ,04           ,2158          ,4.9953703703703711
201711   ,13           ,46            ,3.0666666666666664
201705   ,08           ,173           ,8.238095238095239
201607   ,11           ,246           ,4.4727272727272736
201912   ,02           ,146           ,4.8666666666666671
201806   ,03           ,237           ,4.7400000000000011
201709   ,16           ,10            ,3.333333333333333
201903   ,16           ,8             ,2.666666666666667
201803   ,14           ,28            ,4.6666666666666661
201809   ,03           ,106           ,3.9259259259259256
201612   ,09           ,58            ,5.2727272727272725
201904   ,14           ,20            ,5.0
201907   ,16           ,18            ,6.0
201503   ,10           ,36            ,12.0
202003   ,04           ,618           ,4.7538461538461547
202004   ,12           ,34            ,5.666666666666667
201704   ,15           ,5             ,2.5
201708   ,01           ,388           ,4.5116279069767442
201511   ,05           ,580           ,6.0416666666666661
201701   ,17           ,132           ,6.947368421052631
201610   ,06           ,46            ,11.5
