MonthYear,EventRootCode,Count,SumAvgTone          ,AvgAvgTone
202004   ,07           ,8    ,27.690860089155358  ,3.46135751114442
201803   ,07           ,17   ,1.3945511196695595  ,0.082032418804091733
201912   ,05           ,122  ,-461.96080505021348 ,-3.7865639758214207
201802   ,07           ,24   ,-3.285234692413507  ,-0.13688477885056305
201706   ,17           ,11   ,-30.464956038427271 ,-2.7695414580388431
201904   ,18           ,4    ,-9.13571391967124   ,-2.28392847991781
201603   ,04           ,93   ,-114.45156969721018 ,-1.2306620397549477
201908   ,17           ,21   ,-95.617009920391979 ,-4.5531909485900943
201509   ,02           ,38   ,-127.99066919770172 ,-3.3681755052026774
201702   ,12           ,19   ,-33.22005500687532  ,-1.7484239477302799
201508   ,10           ,3    ,-2.26244343891404   ,-0.75414781297134659
201703   ,17           ,47   ,-209.56531868410076 ,-4.4588365677468245
201911   ,05           ,49   ,-48.589561742002154 ,-0.991623709020452
201801   ,15           ,2    ,-1.582047606291149  ,-0.79102380314557452
201908   ,20           ,2    ,-20.7317073170732   ,-10.3658536585366
201712   ,08           ,22   ,-65.291686687239491 ,-2.967803940329067
201511   ,14           ,2    ,-1.355932203389818  ,-0.677966101694909
201803   ,05           ,117  ,-98.470075448351551 ,-0.84162457648163724
201802   ,12           ,38   ,-189.35983989372716 ,-4.9831536814138717
201809   ,17           ,4    ,-25.886425381288323 ,-6.47160634532208
201804   ,02           ,31   ,-82.147820879285533 ,-2.6499297057834039
201709   ,18           ,3    ,-30.794217842749731 ,-10.264739280916578
201610   ,16           ,1    ,-3.09278350515464   ,-3.09278350515464
201705   ,02           ,29   ,-23.273858547927471 ,-0.80254684648025743
201811   ,10           ,24   ,-75.063111451827254 ,-3.1276296438261357
201711   ,09           ,14   ,-37.368027199537131 ,-2.6691447999669382
202003   ,12           ,9    ,-23.42106241320726  ,-2.60234026813414
201509   ,17           ,12   ,-34.618696433983295 ,-2.8848913694986082
201504   ,17           ,23   ,-31.567987591017953 ,-1.3725211996094762
201707   ,04           ,1051 ,-398.00150237254803 ,-0.37868839426503231
201707   ,17           ,19   ,2.2681026615307527  ,0.11937382429109245
201909   ,16           ,5    ,-16.0515472118434   ,-3.21030944236868
201606   ,18           ,14   ,-81.641823664689241 ,-5.83155883319209
201804   ,09           ,1    ,-1.9559902200489    ,-1.9559902200489
201909   ,03           ,42   ,-77.654774457172081 ,-1.84892320136124
201803   ,02           ,146  ,-508.72077228594935 ,-3.484388851273625
201807   ,03           ,36   ,-62.316343066728088 ,-1.7310095296313357
201609   ,12           ,7    ,-14.15538735539725  ,-2.0221981936281788
201907   ,03           ,31   ,-13.420757796531634 ,-0.43292767085585915
201903   ,07           ,3    ,-15.310903907964612 ,-5.1036346359882039
201508   ,02           ,36   ,-33.554979606143917 ,-0.93208276683733093
201710   ,09           ,12   ,-28.00736375369177  ,-2.3339469794743142
201711   ,15           ,6    ,-24.332398085492642 ,-4.05539968091544
201906   ,09           ,2    ,-4.45685123364414   ,-2.22842561682207
201507   ,13           ,2    ,-4.97288102761535   ,-2.4864405138076751
201708   ,13           ,9    ,-32.72410569160337  ,-3.6360117435114856
201708   ,09           ,22   ,-121.84740455076781 ,-5.5385183886712648
201806   ,10           ,19   ,-123.88093205252449 ,-6.5200490553960258
201704   ,12           ,6    ,-20.873520717452941 ,-3.47892011957549
201801   ,14           ,5    ,-32.172023212691514 ,-6.4344046425383024
201812   ,09           ,2    ,-1.3888888888889    ,-0.69444444444445
201708   ,20           ,5    ,-48.631636562671012 ,-9.7263273125342025
202004   ,10           ,5    ,-17.441438964921829 ,-3.4882877929843659
201509   ,03           ,40   ,-64.63155287183838  ,-1.6157888217959597
202001   ,17           ,53   ,-378.70907956034489 ,-7.1454543313272616
201903   ,04           ,165  ,-186.00667297691592 ,-1.1273131695570662
201903   ,05           ,47   ,-32.869121383630173 ,-0.699343008162344
201506   ,01           ,21   ,-53.276153161490427 ,-2.5369596743566869
201501   ,04           ,5    ,-0.2079218473010398 ,-0.041584369460207826
201904   ,11           ,40   ,-138.99793854864492 ,-3.4749484637161232
201904   ,09           ,7    ,-51.460521738653469 ,-7.3515031055219247
201712   ,03           ,23   ,5.2426163382322279  ,0.22793984079270568
201708   ,12           ,21   ,-82.147278744741413 ,-3.9117751783210193
202003   ,17           ,17   ,-75.613053258791965 ,-4.44782666228188
201802   ,03           ,76   ,-157.18427072300977 ,-2.068214088460655
201808   ,19           ,83   ,-357.81571834469173 ,-4.3110327511408641
201804   ,18           ,10   ,-19.352427852758581 ,-1.9352427852758582
201602   ,12           ,7    ,-24.855022877326061 ,-3.550717553903723
201601   ,02           ,111  ,-117.72916326644484 ,-1.0606230924904936
201611   ,06           ,14   ,-0.02178807133884253,-0.0015562908099173295
201705   ,05           ,51   ,-86.084655670908134 ,-1.6879344249197672
201701   ,02           ,46   ,-89.752545317493286 ,-1.9511422895107238
201612   ,13           ,6    ,-28.024756916968492 ,-4.670792819494749
201806   ,08           ,32   ,-97.733204148619151 ,-3.0541626296443476
201602   ,09           ,7    ,-19.121762232689328 ,-2.7316803189556187
201810   ,04           ,281  ,-432.48882984254891 ,-1.5391061560233057
201904   ,13           ,15   ,-41.728198671901751 ,-2.7818799114601167
201806   ,09           ,7    ,-15.736214383127301 ,-2.248030626161043
201909   ,14           ,3    ,-11.5624436082937   ,-3.8541478694312334
201701   ,14           ,4    ,-5.18514851975233   ,-1.2962871299380823
201607   ,14           ,3    ,-6.8506184586108594 ,-2.28353948620362
201705   ,14           ,1    ,0.77519379844961    ,0.77519379844961
202004   ,02           ,9    ,-23.30880461299153  ,-2.5898671792212813
201807   ,08           ,19   ,-49.546128231236061 ,-2.6076909595387403
201907   ,08           ,16   ,-71.10262262280132  ,-4.4439139139250825
201903   ,10           ,2    ,-1.0270310729026302 ,-0.513515536451315
202002   ,05           ,40   ,-58.47903785865158  ,-1.4619759464662891
201812   ,01           ,70   ,-159.00090226753429 ,-2.2714414609647755
201504   ,07           ,18   ,-32.331955184840979 ,-1.7962197324911655
201710   ,02           ,27   ,-42.072449583965771 ,-1.5582388734802139
201903   ,13           ,3    ,-6.6695209552352175 ,-2.2231736517450731
201606   ,05           ,284  ,37.46730340173481   ,0.13192712465399581
201506   ,06           ,19   ,-7.2937912238231082 ,-0.38388374862226893
201702   ,14           ,1    ,-2.97397769516729   ,-2.97397769516729
201711   ,17           ,31   ,-135.42279666239094 ,-4.3684773116900288
201605   ,18           ,2    ,-5.3310371220819    ,-2.66551856104095
201605   ,08           ,21   ,-93.152324292613685 ,-4.4358249663149358
201706   ,09           ,13   ,-11.084602134829124 ,-0.85266170267916319
201910   ,19           ,65   ,-303.80406800305292 ,-4.673908738508505
201804   ,04           ,225  ,-479.769421352328   ,-2.13230853934368
202001   ,10           ,11   ,-45.832155112773719 ,-4.1665595557067014
201511   ,12           ,8    ,-20.45393385690447  ,-2.5567417321130588
201708   ,15           ,4    ,-25.79122939894269  ,-6.4478073497356725
201807   ,16           ,5    ,-7.1166326583229385 ,-1.423326531664588
201701   ,06           ,12   ,-2.85495207879733   ,-0.2379126732331108
201704   ,18           ,10   ,-34.11367652718495  ,-3.4113676527184955
201505   ,15           ,2    ,1.7079579579579698  ,0.85397897897898467
202002   ,16           ,10   ,-51.04612469279315  ,-5.1046124692793153
201905   ,16           ,4    ,-3.00900283982196   ,-0.75225070995548993
201802   ,01           ,183  ,-803.00589601979277 ,-4.3880103607638947
201812   ,02           ,22   ,-86.1012400951791   ,-3.9136927315990495
201812   ,04           ,144  ,-307.4110378029286  ,-2.1347988736314485
201602   ,13           ,21   ,-49.156170835442005 ,-2.3407700397829534
202002   ,19           ,28   ,-129.24918272225457 ,-4.61604224008052
201702   ,04           ,444  ,-293.86737757757078 ,-0.661863463012547
201810   ,05           ,61   ,-45.637966200623836 ,-0.7481633803380956
201702   ,06           ,10   ,-29.846967730945693 ,-2.9846967730945693
201505   ,01           ,54   ,-101.78783255698802 ,-1.8849598621664454
202003   ,20           ,2    ,-12.44239631336406  ,-6.22119815668203
201707   ,13           ,3    ,1.3818239131127399  ,0.46060797103757967
201606   ,13           ,9    ,-9.4610448640437212 ,-1.0512272071159687
201709   ,19           ,93   ,-356.804779707829   ,-3.8366105344927846
201803   ,13           ,4    ,-12.460176991150441 ,-3.11504424778761
201907   ,18           ,14   ,-33.418852372990919 ,-2.387060883785066
201907   ,06           ,40   ,-138.92953534242287 ,-3.4732383835605734
202001   ,08           ,29   ,-61.731718316224729 ,-2.1286799419387838
201808   ,08           ,22   ,-55.887018156590642 ,-2.5403190071177568
201908   ,02           ,90   ,-347.8827542567343  ,-3.8653639361859367
201812   ,07           ,7    ,-12.806463904085751 ,-1.8294948434408216
201508   ,19           ,47   ,-196.2245137319787  ,-4.1749896538718865
201505   ,13           ,21   ,-107.78222481926254 ,-5.132486896155358
201505   ,07           ,32   ,-103.10468156385841 ,-3.2220212988705752
201504   ,03           ,114  ,-203.02401945671076 ,-1.780912451374655
201612   ,06           ,31   ,-62.021330680286468 ,-2.0006880864608538
