MonthYear,EventRootCode,Count,SumAvgTone          ,AvgAvgTone
201704   ,01           ,9    ,-14.2438604137396   ,-1.582651157082178
201708   ,06           ,4    ,6.5496315190317596  ,1.6374078797579399
201610   ,03           ,22   ,-2.3317646633531108 ,-0.10598930287968689
201609   ,08           ,6    ,-5.68979793954312   ,-0.94829965659052
201710   ,07           ,10   ,-14.309983229794959 ,-1.4309983229794956
201712   ,19           ,12   ,-22.227290362100817 ,-1.8522741968417349
201801   ,07           ,8    ,-12.02908673522569  ,-1.5036358419032114
201509   ,11           ,18   ,-30.246750510918016 ,-1.6803750283843344
201510   ,03           ,29   ,-76.754566537641452 ,-2.6467091909531533
201508   ,07           ,6    ,10.192291794117182  ,1.6987152990195302
201604   ,13           ,4    ,-28.723262032085557 ,-7.1808155080213893
201504   ,02           ,3    ,4.52261306532663    ,1.50753768844221
201906   ,19           ,13   ,-35.363489852449845 ,-2.7202684501884504
201802   ,10           ,1    ,-4.68085106382979   ,-4.68085106382979
201912   ,14           ,3    ,1.1417697431018101  ,0.38058991436727
202001   ,13           ,3    ,-8.02518874160665   ,-2.6750629138688833
201704   ,12           ,5    ,-10.953307624556651 ,-2.19066152491133
201708   ,09           ,5    ,-8.28083722820565   ,-1.6561674456411302
201609   ,12           ,2    ,-4.10557184750734   ,-2.05278592375367
201708   ,13           ,5    ,-13.656738367379141 ,-2.731347673475828
201710   ,09           ,2    ,-1.75879396984924   ,-0.87939698492462
201803   ,02           ,15   ,-28.660714105533582 ,-1.9107142737022389
201508   ,02           ,1    ,-0.45871559633028   ,-0.45871559633028
201907   ,03           ,11   ,2.3390654166623248  ,0.21264231060566591
201909   ,03           ,18   ,-29.46347326817369  ,-1.6368596260096497
201906   ,09           ,1    ,-2.44444444444444   ,-2.44444444444444
201903   ,07           ,16   ,32.888145618931617  ,2.0555091011832265
201807   ,03           ,17   ,-45.475506931513749 ,-2.6750298195008084
201608   ,04           ,116  ,-35.044617079492362 ,-0.30210876792665825
201608   ,19           ,3    ,-8.98870613873634   ,-2.99623537957878
201705   ,09           ,6    ,-23.121414799282029 ,-3.8535691332136719
201709   ,09           ,1    ,-2.91970802919708   ,-2.91970802919708
201711   ,02           ,2    ,-8.92210330081846   ,-4.46105165040923
201803   ,12           ,25   ,-67.327281284122108 ,-2.6930912513648844
201802   ,08           ,4    ,-0.541034886932902  ,-0.13525872173322551
201503   ,04           ,32   ,9.3977803529407318  ,0.29368063602939781
201509   ,12           ,27   ,-95.575277579658419 ,-3.5398250955429034
201507   ,04           ,39   ,-2.9806205733615792 ,-0.076426168547732876
201903   ,03           ,44   ,16.313222842747386  ,0.370755064607895
201607   ,05           ,42   ,-24.183647506056928 ,-0.57580113109659359
201907   ,11           ,37   ,-22.740462133563543 ,-0.61460708469090664
201902   ,12           ,10   ,-29.624911816296752 ,-2.9624911816296748
201508   ,03           ,3    ,-16.55827338129496  ,-5.5194244604316536
201603   ,20           ,1    ,-7.55555555555556   ,-7.55555555555556
201806   ,17           ,5    ,15.14025091095839   ,3.0280501821916781
201607   ,07           ,4    ,7.1822365423849792  ,1.795559135596245
201703   ,08           ,4    ,10.12637446213291   ,2.5315936155332275
201804   ,03           ,35   ,6.63119570051539    ,0.18946273430043961
201506   ,02           ,5    ,-6.94498729724447   ,-1.3889974594488939
201603   ,08           ,3    ,-2.34210285894632   ,-0.78070095298210651
201910   ,04           ,50   ,-50.782692909922    ,-1.0156538581984402
201904   ,03           ,19   ,-34.297640635577288 ,-1.8051389808198575
201908   ,04           ,24   ,4.1277571663626524  ,0.17198988193177722
201810   ,07           ,3    ,-13.93188854489166  ,-4.64396284829722
201803   ,08           ,3    ,5.7443801319154693  ,1.9147933773051564
201902   ,13           ,5    ,-6.89211296669208   ,-1.378422593338416
201911   ,16           ,1    ,3.04878048780487    ,3.04878048780487
201608   ,01           ,19   ,-26.33868544436389  ,-1.3862466023349416
201612   ,16           ,2    ,-14.64646464646464  ,-7.32323232323232
201507   ,03           ,7    ,3.4879421803751605  ,0.49827745433930848
201606   ,02           ,35   ,-89.964965285471933 ,-2.5704275795849121
202001   ,11           ,16   ,-41.494892339714028 ,-2.5934307712321267
201903   ,08           ,12   ,-6.15738646502726   ,-0.51311553875227145
202003   ,04           ,21   ,13.19751981286274   ,0.62845332442203483
202004   ,12           ,15   ,-42.270741065410888 ,-2.818049404360726
201708   ,01           ,12   ,7.9637454205190732  ,0.6636454517099224
