MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201611   ,10           ,32            ,4.5714285714285712
201709   ,04           ,752           ,4.9801324503311264
201512   ,15           ,35            ,5.0
201802   ,12           ,60            ,3.7499999999999996
201708   ,06           ,64            ,3.7647058823529411
201812   ,16           ,76            ,3.3043478260869561
201806   ,12           ,106           ,4.24
202002   ,05           ,442           ,5.1395348837209305
202002   ,10           ,74            ,4.1111111111111116
201810   ,03           ,174           ,4.2439024390243905
201907   ,16           ,23            ,5.75
201810   ,08           ,100           ,5.5555555555555554
202002   ,15           ,10            ,3.3333333333333335
201707   ,04           ,2262          ,3.4220877458396384
201608   ,12           ,117           ,3.9000000000000004
201609   ,02           ,542           ,5.3137254901960782
201802   ,05           ,459           ,7.2857142857142847
201610   ,09           ,150           ,6.5217391304347823
201612   ,04           ,538           ,4.26984126984127
201612   ,05           ,439           ,4.6702127659574471
201712   ,13           ,68            ,5.2307692307692308
201710   ,05           ,349           ,4.9857142857142858
201710   ,09           ,126           ,6.2999999999999989
201805   ,12           ,48            ,4.8
201805   ,15           ,46            ,4.1818181818181817
201502   ,19           ,124           ,4.96
201509   ,20           ,8             ,2.6666666666666665
201807   ,05           ,449           ,4.7765957446808516
201907   ,04           ,340           ,3.6170212765957448
201904   ,11           ,316           ,4.5797101449275361
201812   ,19           ,122           ,4.6923076923076925
201810   ,12           ,114           ,3.8000000000000003
201811   ,13           ,159           ,5.129032258064516
201912   ,04           ,1074          ,4.75221238938053
202004   ,05           ,204           ,4.0
201708   ,19           ,202           ,3.2063492063492065
201801   ,12           ,192           ,7.1111111111111116
201706   ,14           ,18            ,4.5
201507   ,17           ,133           ,4.75
201508   ,11           ,182           ,3.6399999999999997
201605   ,05           ,478           ,4.92783505154639
201503   ,05           ,509           ,4.7570093457943923
201511   ,05           ,245           ,4.2982456140350864
201511   ,17           ,169           ,6.0357142857142856
201605   ,07           ,24            ,4.0
201911   ,07           ,30            ,3.333333333333333
201704   ,03           ,358           ,5.6825396825396828
201704   ,14           ,16            ,4.0
201803   ,03           ,352           ,4.63157894736842
201802   ,19           ,83            ,3.9523809523809526
201802   ,01           ,863           ,6.488721804511278
201612   ,15           ,60            ,4.2857142857142856
201508   ,09           ,73            ,3.6500000000000004
201512   ,04           ,632           ,4.3287671232876734
201604   ,11           ,757           ,5.184931506849316
201602   ,08           ,88            ,5.5
201606   ,06           ,176           ,6.518518518518519
201510   ,14           ,90            ,9.0
201901   ,09           ,34            ,3.0909090909090908
202001   ,05           ,860           ,3.9999999999999996
201903   ,10           ,75            ,5.7692307692307692
201905   ,15           ,25            ,1.3888888888888888
201808   ,15           ,8             ,8.0
202005   ,05           ,141           ,4.0285714285714285
201704   ,11           ,1846          ,6.1328903654485059
201708   ,11           ,376           ,4.177777777777778
201603   ,17           ,421           ,4.7303370786516874
201801   ,11           ,241           ,4.0166666666666666
201612   ,02           ,517           ,6.0116279069767442
201612   ,03           ,88            ,4.4
201608   ,18           ,12            ,2.4
201712   ,05           ,265           ,4.4915254237288131
201712   ,14           ,38            ,3.8
201701   ,20           ,30            ,4.2857142857142856
201702   ,20           ,16            ,4.0
201505   ,19           ,235           ,4.1228070175438578
201505   ,04           ,854           ,4.4020618556701008
201510   ,06           ,123           ,5.3478260869565206
201909   ,09           ,16            ,4.0
201904   ,16           ,57            ,3.3529411764705883
201811   ,19           ,180           ,3.75
201906   ,04           ,669           ,4.0792682926829258
201812   ,20           ,24            ,2.6666666666666665
202005   ,01           ,310           ,5.0
201704   ,02           ,359           ,4.4875
201707   ,07           ,69            ,6.2727272727272734
201707   ,09           ,37            ,2.4666666666666668
201703   ,17           ,200           ,3.7735849056603774
