MonthYear,EventRootCode,Count,SumAvgTone          ,AvgAvgTone
202004   ,13           ,2    ,-4.65334544353618   ,-2.32667272176809
201610   ,02           ,72   ,-170.26295217238231 ,-2.364763224616421
201706   ,06           ,35   ,-18.452756620388502 ,-0.52722161772538578
201605   ,01           ,281  ,-613.03244984403671 ,-2.1816101417937235
201512   ,17           ,70   ,-357.82683987921729 ,-5.1118119982745336
201903   ,17           ,12   ,-73.932615058661909 ,-6.1610512548884921
201811   ,01           ,112  ,-142.12797889420386 ,-1.2689998115553915
202001   ,12           ,105  ,-391.72069341402926 ,-3.7306732706098025
202002   ,02           ,87   ,-176.80963525276982 ,-2.0322946580778138
201812   ,06           ,29   ,-30.782507857296107 ,-1.0614657881826246
201707   ,18           ,12   ,-31.158080040823918 ,-2.59650667006866
201503   ,14           ,26   ,-176.7643621456584  ,-6.7986293132945557
201906   ,17           ,55   ,-207.71098967132917 ,-3.7765634485696218
201910   ,17           ,32   ,-164.91399403592271 ,-5.1535623136225848
201905   ,09           ,18   ,-80.697743788736432 ,-4.4832079882631355
201905   ,08           ,42   ,-120.88012407395136 ,-2.8780981922369366
201605   ,07           ,6    ,-7.0459171002709269 ,-1.1743195167118212
201607   ,16           ,9    ,-20.1621734800607   ,-2.2402414977845222
201602   ,10           ,3    ,-7.8066914498141395 ,-2.60223048327138
201608   ,14           ,1    ,-0.71174377224199   ,-0.71174377224199
202003   ,02           ,37   ,-101.62757354457084 ,-2.7466911768802929
201608   ,01           ,136  ,-394.24605655169989 ,-2.8988680628801462
201606   ,02           ,126  ,-225.65551494363595 ,-1.7909167852669521
201612   ,16           ,17   ,-51.860021249797128 ,-3.0505894852821838
201605   ,09           ,34   ,-175.91166450249457 ,-5.1738724853674878
201903   ,08           ,24   ,-45.8712732216393   ,-1.9113030509016384
202001   ,11           ,477  ,-2234.0600175204404 ,-4.6835639780302731
201507   ,03           ,26   ,-33.819148841926022 ,-1.3007364939202315
201910   ,09           ,31   ,-169.51110901657489 ,-5.4681002908572545
201906   ,13           ,9    ,5.51549777325598    ,0.61283308591733143
201908   ,14           ,3    ,-8.20071958480592   ,-2.7335731949353064
201611   ,07           ,17   ,-21.89336633243439  ,-1.2878450783784936
201704   ,19           ,78   ,-403.197153700157   ,-5.1691942782071418
201709   ,08           ,50   ,-212.36099354225337 ,-4.2472198708450675
201603   ,17           ,89   ,-377.53433421449813 ,-4.2419588113988533
201709   ,10           ,19   ,-90.045185471704116 ,-4.7392202879844261
201512   ,01           ,107  ,-267.06822605301829 ,-2.49596472946746
201810   ,06           ,41   ,-63.068522165596882 ,-1.5382566381852898
201802   ,09           ,13   ,-61.8145999658717   ,-4.7549692281439766
201508   ,06           ,22   ,-8.7349631726038979 ,-0.39704378057290468
201510   ,17           ,35   ,-93.566029182449242 ,-2.6733151194985503
201809   ,19           ,28   ,-121.71219633449851 ,-4.3468641548035194
201605   ,15           ,17   ,-21.888430825488882 ,-1.2875547544405226
202002   ,06           ,22   ,-78.125863458173725 ,-3.5511756117351694
202001   ,15           ,3    ,-9.45676703193934   ,-3.1522556773131134
201812   ,18           ,1    ,0.88888888888889    ,0.88888888888889
202004   ,17           ,30   ,-127.77750727588281 ,-4.2592502425294265
201610   ,11           ,117  ,-373.74829237792216 ,-3.1944298493839494
201610   ,17           ,22   ,-55.243632875169027 ,-2.5110742215985922
201610   ,12           ,25   ,-56.214366596777921 ,-2.2485746638711168
201707   ,12           ,43   ,-149.32723113173935 ,-3.4727263053892869
201805   ,05           ,64   ,-113.05016932157616 ,-1.7664088956496278
201706   ,18           ,3    ,-11.55127767288397  ,-3.8504258909613234
201706   ,07           ,11   ,-33.108969466932827 ,-3.0099063151757113
201804   ,01           ,96   ,-284.918107916967   ,-2.9678969574684064
201503   ,03           ,54   ,-33.293442394807663 ,-0.61654522953347524
201701   ,08           ,46   ,-132.20203610094171 ,-2.8739573065422106
201606   ,03           ,69   ,-138.82911008812289 ,-2.0120160882336648
201507   ,12           ,14   ,-31.467167373832062 ,-2.2476548124165761
201806   ,01           ,70   ,-50.338959112134475 ,-0.71912798731620686
202002   ,04           ,122  ,-211.19214797150528 ,-1.7310831800943056
201807   ,20           ,1    ,-4.19580419580419   ,-4.19580419580419
201909   ,10           ,16   ,-54.899667435723174 ,-3.4312292147326979
201909   ,06           ,11   ,-40.799670043947813 ,-3.7090609130861649
201904   ,15           ,9    ,-11.829797124578809 ,-1.3144219027309787
201906   ,10           ,5    ,-22.835719158470656 ,-4.567143831694132
202004   ,12           ,18   ,-60.09156033631001  ,-3.3384200186838897
201611   ,18           ,18   ,-43.813825108006732 ,-2.4341013948892631
201610   ,06           ,133  ,-251.82456598410636 ,-1.8934177893541841
202003   ,04           ,102  ,-161.31776580500025 ,-1.5815467235784335
201708   ,01           ,140  ,-338.59441778406932 ,-2.4185315556004956
201701   ,18           ,12   ,-15.834089726719398 ,-1.3195074772266169
201505   ,17           ,81   ,-235.93845872129495 ,-2.912820478040679
201511   ,05           ,57   ,-110.76843842507319 ,-1.9433059372819856
201503   ,08           ,54   ,-196.41058315797414 ,-3.6372330214439663
201701   ,17           ,36   ,-144.76579793049797 ,-4.0212721647360539
201712   ,17           ,38   ,-139.48019377583336 ,-3.6705314151535089
201810   ,19           ,33   ,-102.91586935315631 ,-3.1186627076714037
201604   ,16           ,14   ,-44.7673736451723   ,-3.1976695460837354
201812   ,10           ,14   ,-19.858072638412164 ,-1.4184337598865828
201906   ,07           ,28   ,7.9456524855213013  ,0.2837733030543319
201909   ,04           ,244  ,-585.27259950419784 ,-2.3986581946893342
201909   ,11           ,130  ,-449.31047198353178 ,-3.4562343998733214
201902   ,09           ,5    ,-9.28058510160061   ,-1.8561170203201218
201704   ,15           ,2    ,0.0                 ,0.0
202004   ,20           ,3    ,-27.937915742793841 ,-9.31263858093128
201702   ,03           ,23   ,-63.660358864361868 ,-2.7678416897548632
201702   ,18           ,25   ,-26.290490635624248 ,-1.05161962542497
201706   ,16           ,12   ,-66.813189180803136 ,-5.5677657650669277
201709   ,04           ,151  ,-454.29772615147124 ,-3.0085942129236507
201701   ,03           ,45   ,-44.3078156123394   ,-0.98461812471865351
201708   ,02           ,65   ,-179.64848216512044 ,-2.7638228025403144
201609   ,09           ,32   ,-135.01951191044765 ,-4.219359747201489
201805   ,10           ,6    ,-22.668640054189748 ,-3.7781066756982913
201801   ,01           ,79   ,-192.84649968252216 ,-2.4410949326901532
201709   ,12           ,16   ,-75.908459402425052 ,-4.7442787126515649
201502   ,19           ,25   ,-98.529578004017765 ,-3.9411831201607095
201809   ,01           ,131  ,-274.91487649690549 ,-2.0985868434878281
201912   ,04           ,226  ,-745.0454970093474  ,-3.2966614911918017
202002   ,17           ,29   ,-132.48166261539245 ,-4.5683331936342224
201712   ,09           ,10   ,-36.53752726937698  ,-3.6537527269376979
201508   ,18           ,14   ,-56.346018361823681 ,-4.0247155972731194
201611   ,11           ,114  ,-497.10454967141175 ,-4.3605662251878217
201704   ,20           ,4    ,-15.95749374037654  ,-3.989373435094135
201805   ,17           ,48   ,-313.0137885617483  ,-6.5211205950364217
201805   ,11           ,54   ,-222.77882365288559 ,-4.1255337713497342
201706   ,12           ,27   ,-25.894501575708    ,-0.95905561391511118
201505   ,04           ,194  ,-353.00831464490727 ,-1.8196304878603469
201504   ,08           ,85   ,-157.91221675798855 ,-1.8577907853880997
201612   ,17           ,44   ,-193.27334562990166 ,-4.3925760370432192
201607   ,09           ,22   ,-112.23254871917503 ,-5.1014794872352276
201801   ,05           ,41   ,-89.197477378451879 ,-2.1755482287427279
201709   ,17           ,27   ,-134.09760962796238 ,-4.9665781343689774
201511   ,15           ,8    ,-28.995805196154055 ,-3.624475649519256
202001   ,01           ,295  ,-1088.730456556598  ,-3.6906117171410098
201710   ,03           ,31   ,-17.792254821301164 ,-0.57394370391294069
201912   ,03           ,23   ,-58.3535915219601   ,-2.53711267486783
201912   ,08           ,20   ,-72.862681665677869 ,-3.6431340832838943
201907   ,12           ,18   ,-32.54038445038622  ,-1.807799136132568
201508   ,13           ,10   ,-16.489205984114772 ,-1.648920598411477
201902   ,03           ,48   ,-49.675920633003457 ,-1.0349150131875722
201908   ,18           ,2    ,-3.05282304465644   ,-1.5264115223282197
201611   ,12           ,51   ,-216.72479216009609 ,-4.2495057286293347
201708   ,08           ,35   ,-122.23816102781029 ,-3.4925188865088659
201608   ,08           ,51   ,-63.025738909433365 ,-1.235798802145752
201706   ,04           ,174  ,-367.6275806028126  ,-2.1128021873724858
201711   ,08           ,61   ,-69.7004753022186   ,-1.1426307426593214
201603   ,05           ,81   ,-186.90571330256478 ,-2.3074779420069724
201505   ,18           ,5    ,-10.56728848591454  ,-2.1134576971829082
201606   ,06           ,27   ,-47.422674537816548 ,-1.756395353252465
201802   ,05           ,63   ,-129.90955624139085 ,-2.0620564482760453
201602   ,14           ,19   ,-61.361788874194218 ,-3.2295678354839072
202001   ,05           ,215  ,-687.62832218665187 ,-3.1982712659844266
201710   ,04           ,124  ,-207.08729167385187 ,-1.6700588038213857
201901   ,13           ,12   ,4.8922592426797191  ,0.40768827022331
201511   ,07           ,12   ,-54.358672214047211 ,-4.5298893511706009
202001   ,14           ,22   ,-86.055540794496551 ,-3.9116154906589351
201507   ,09           ,9    ,-51.751512820294352 ,-5.7501680911438164
201811   ,11           ,190  ,-887.30276783478632 ,-4.6700145675515063
201506   ,14           ,2    ,0.0                 ,0.0
201703   ,01           ,81   ,-117.36271023205995 ,-1.44892234854395
201704   ,13           ,9    ,-45.265932715904469 ,-5.0295480795449414
201610   ,04           ,190  ,-296.9148168145316  ,-1.5627095621817453
201708   ,07           ,35   ,-90.258086264140786 ,-2.578802464689737
201707   ,03           ,178  ,-226.8740946822092  ,-1.2745735656303891
201701   ,04           ,186  ,-261.632681517646   ,-1.4066273199873442
201702   ,02           ,49   ,-162.82024978896425 ,-3.3228622405911064
201709   ,11           ,54   ,-204.54883231778277 ,-3.7879413392181998
201708   ,16           ,20   ,-90.195232928689322 ,-4.5097616464344661
201606   ,11           ,112  ,-433.95865584898553 ,-3.8746308557945142
201503   ,05           ,107  ,-222.79706780910189 ,-2.0822155870009511
201503   ,12           ,112  ,-530.31620013793054 ,-4.7349660726600931
201503   ,13           ,62   ,-204.6446948200217  ,-3.3007208841938995
201809   ,11           ,97   ,-352.65954776260816 ,-3.6356654408516307
201808   ,03           ,30   ,-109.43314562338426 ,-3.6477715207794752
201812   ,12           ,28   ,-66.442908560818182 ,-2.37296102002922
201801   ,13           ,5    ,-36.838984872821804 ,-7.367796974564361
201601   ,07           ,2    ,0.055502954716119879,0.02775147735806005
201704   ,12           ,37   ,-237.11665169786022 ,-6.4085581539962231
201609   ,12           ,59   ,-159.50640866343392 ,-2.7034984519226088
201803   ,02           ,90   ,-227.87606339831112 ,-2.531956259981234
201708   ,09           ,19   ,-45.628508766353768 ,-2.4015004613870405
201708   ,13           ,23   ,-52.986687675302385 ,-2.3037690293609732
201711   ,15           ,6    ,-11.51090969904857  ,-1.9184849498414289
201801   ,14           ,16   ,-23.782060841714689 ,-1.486378802607168
201907   ,03           ,23   ,-10.8553006109451   ,-0.47196959178022169
201507   ,13           ,19   ,-141.78016856163305 ,-7.4621141348227935
201903   ,07           ,10   ,-28.194296441220658 ,-2.8194296441220659
201806   ,10           ,4    ,-20.26765316238999  ,-5.0669132905974976
201812   ,09           ,6    ,-22.684788111121975 ,-3.7807980185203283
201508   ,02           ,43   ,-80.932565994918718 ,-1.8821526975562495
201807   ,03           ,41   ,-114.0558506685398  ,-2.7818500163058495
201906   ,09           ,23   ,-64.585356039297864 ,-2.8080589582303417
201710   ,09           ,20   ,-62.808234076808155 ,-3.1404117038404071
201909   ,03           ,109  ,-255.27011170180236 ,-2.3419276302917651
201712   ,15           ,4    ,-19.641255605381161 ,-4.91031390134529
201602   ,15           ,12   ,-47.938402595594326 ,-3.9948668829661944
201709   ,15           ,35   ,-31.950792173969358 ,-0.91287977639912443
201805   ,01           ,92   ,-274.49299345209556 ,-2.983619494044516
201712   ,07           ,9    ,-9.6631124028754414 ,-1.0736791558750489
201508   ,09           ,20   ,-68.896916307402492 ,-3.4448458153701242
202001   ,19           ,148  ,-599.6201781246433  ,-4.0514876900313723
201908   ,11           ,49   ,-150.27807695555612 ,-3.0668995297052275
201811   ,05           ,63   ,-140.35495117068979 ,-2.2278563677887266
201910   ,10           ,14   ,-49.104600410936648 ,-3.5074714579240465
201911   ,04           ,124  ,-262.62825342024831 ,-2.1179697856471638
201809   ,14           ,9    ,-24.061310138168452 ,-2.6734789042409384
201602   ,03           ,115  ,-200.92865509929419 ,-1.7472056965156015
201612   ,08           ,41   ,-131.02900898547662 ,-3.1958294874506494
201709   ,06           ,24   ,-58.197178696978796 ,-2.4248824457074503
201504   ,09           ,58   ,-130.49891171141169 ,-2.24998123640365
201508   ,11           ,50   ,-168.97164359810429 ,-3.3794328719620865
201510   ,13           ,11   ,-32.114056994605136 ,-2.9194597267822848
201505   ,06           ,8    ,-9.8060351687027225 ,-1.2257543960878403
201901   ,09           ,11   ,-57.052014600854747 ,-5.1865467818958857
201901   ,17           ,33   ,-88.307828993695267 ,-2.6759948179907651
201507   ,10           ,8    ,-14.573584670042539 ,-1.8216980837553176
201909   ,13           ,14   ,-40.054510358035088 ,-2.8610364541453635
201502   ,20           ,2    ,-7.04519119351102   ,-3.52259559675551
202003   ,01           ,63   ,-173.46962116623433 ,-2.7534860502576879
201708   ,18           ,3    ,-13.650793650793648 ,-4.55026455026455
201705   ,12           ,27   ,-79.266495953798426 ,-2.9357961464369784
201602   ,02           ,58   ,-101.8960634223567  ,-1.7568286796958057
201511   ,08           ,70   ,-66.100610962079344 ,-0.944294442315419
201802   ,17           ,13   ,-53.382133634103951 ,-4.1063179718541489
201802   ,06           ,22   ,-20.051328251780241 ,-0.91142401144455643
201605   ,17           ,150  ,-499.15756053771884 ,-3.3277170702514605
201512   ,09           ,39   ,-166.97490508496304 ,-4.28140782269136
202002   ,01           ,66   ,-200.20510429688997 ,-3.033410671165
201908   ,05           ,94   ,-212.13956350256936 ,-2.2568038670486108
201806   ,18           ,7    ,-2.9539685344984896 ,-0.42199550492835575
201905   ,13           ,6    ,-11.363636363636369 ,-1.8939393939393949
201502   ,08           ,8    ,-45.320066312752061 ,-5.6650082890940077
201901   ,06           ,16   ,-27.356701045159863 ,-1.7097938153224912
201702   ,13           ,45   ,-142.4731953958289  ,-3.1660710087961981
201612   ,02           ,86   ,-213.16689019179526 ,-2.478684769672038
201502   ,01           ,56   ,-115.66966195217319 ,-2.0655296777173788
201601   ,03           ,68   ,-18.613382667382435 ,-0.27372621569680056
201506   ,11           ,62   ,-152.04316717464377 ,-2.4523091479781245
201804   ,19           ,87   ,-382.28522604368783 ,-4.3940830579734236
201708   ,03           ,61   ,-120.44532541532976 ,-1.9745135313988487
201706   ,15           ,8    ,-12.17177943265281  ,-1.5214724290816013
201511   ,01           ,76   ,-256.11764464018228 ,-3.3699690084234515
201506   ,09           ,12   ,-19.046242728602319 ,-1.5871868940501932
201901   ,04           ,108  ,-165.85149525000026 ,-1.5356619930555582
201808   ,07           ,10   ,-0.32730581468377018,-0.032730581468377151
201808   ,14           ,5    ,-8.67469879518072   ,-1.7349397590361439
201903   ,06           ,8    ,-7.48897459015255   ,-0.93612182376906872
201509   ,15           ,8    ,-8.22735470182621   ,-1.0284193377282762
201905   ,04           ,186  ,-268.18848615492544 ,-1.4418735814780939
201910   ,03           ,11   ,-18.859131552219992 ,-1.714466504747272
201602   ,18           ,5    ,-4.2941763973234117 ,-0.8588352794646823
201902   ,15           ,12   ,-25.269843147353711 ,-2.1058202622794759
202002   ,18           ,3    ,-10.709223933195451 ,-3.56974131106515
201911   ,07           ,9    ,-16.127281151757948 ,-1.7919201279731056
201703   ,02           ,102  ,-212.95166207635486 ,-2.08776139290544
201609   ,11           ,143  ,-780.746434309936   ,-5.4597652748946564
201602   ,04           ,176  ,-353.70347824204947 ,-2.0096788536480075
201605   ,16           ,71   ,-119.95995380534674 ,-1.6895768141598126
201705   ,16           ,9    ,-23.903987641379867 ,-2.6559986268199856
201804   ,06           ,14   ,-24.897333382577436 ,-1.7783809558983883
201606   ,08           ,50   ,-154.92343575627598 ,-3.0984687151255192
201712   ,11           ,51   ,-209.48938140631566 ,-4.1076349295356014
202001   ,02           ,110  ,-358.69139330455437 ,-3.2608308482232222
201508   ,08           ,16   ,-5.6722729428441223 ,-0.35451705892775726
201506   ,18           ,11   ,-32.045643642046819 ,-2.9132403310951656
201811   ,09           ,5    ,-4.96086220898967   ,-0.99217244179793407
201905   ,15           ,18   ,36.526942388594186  ,2.0292745771441214
201704   ,01           ,228  ,-931.72933112446015 ,-4.0865321540546491
201610   ,03           ,58   ,-189.18382925459031 ,-3.2617901595619019
201609   ,08           ,43   ,-95.222859463685367 ,-2.2144851038066369
201604   ,13           ,22   ,-58.416360908047011 ,-2.6552891321839551
201504   ,02           ,110  ,-235.80655319545454 ,-2.1436959381404952
201603   ,09           ,23   ,-112.28193795664562 ,-4.8818233894193748
201708   ,06           ,17   ,-36.440753161831765 ,-2.1435737154018684
201606   ,16           ,17   ,-43.292001629132557 ,-2.5465883311254442
201712   ,19           ,30   ,-103.808258556812   ,-3.4602752852270666
201801   ,07           ,13   ,-2.7899069512599812 ,-0.21460822701999827
201509   ,11           ,168  ,-728.032821109121   ,-4.3335286970780995
201510   ,03           ,32   ,-6.9803817545433713 ,-0.2181369298294803
201804   ,15           ,1    ,0.806451612903224   ,0.806451612903224
201508   ,07           ,10   ,-5.2852365913835992 ,-0.52852365913836
202001   ,13           ,30   ,-161.49489399076879 ,-5.3831631330256284
201710   ,07           ,19   ,1.8616512643461602  ,0.097981645491903024
201912   ,14           ,11   ,-31.50443158425534  ,-2.8640392349323029
201906   ,19           ,34   ,-61.048853473548981 ,-1.795554513927911
202004   ,07           ,8    ,-44.190053408399571 ,-5.5237566760499455
201703   ,17           ,53   ,-166.263809919299   ,-3.1370530173452642
201702   ,12           ,24   ,-77.083751242258955 ,-3.2118229684274571
201706   ,17           ,60   ,-374.67088575361504 ,-6.2445147625602493
201509   ,02           ,85   ,-240.63478384930963 ,-2.8309974570507026
201603   ,04           ,94   ,-376.29288332250667 ,-4.0031157800266666
201803   ,07           ,9    ,-8.61044977217307   ,-0.95671664135256362
201802   ,07           ,9    ,2.60534753998782    ,0.28948305999864676
201712   ,08           ,9    ,-37.423697507859032 ,-4.158188611984337
201908   ,17           ,19   ,-72.760551321860845 ,-3.8295027011505702
201912   ,05           ,99   ,-347.87692927246889 ,-3.5139083764895847
201508   ,10           ,8    ,-22.19123212393184  ,-2.77390401549148
201511   ,14           ,8    ,-32.809635368427166 ,-4.1012044210533958
201801   ,15           ,1    ,-2.63424518743667   ,-2.63424518743667
201911   ,05           ,51   ,-27.964430278590608 ,-0.54832216232530628
201904   ,18           ,4    ,-19.225963277457812 ,-4.8064908193644529
201908   ,20           ,2    ,-6.54205607476636   ,-3.27102803738318
202004   ,05           ,51   ,-32.052817074163777 ,-0.62848660929732936
201610   ,08           ,58   ,-98.965454434252322 ,-1.7063009385215915
201611   ,15           ,24   ,-72.035144001716    ,-3.0014643334048339
201608   ,12           ,30   ,-92.59518197847936  ,-3.0865060659493118
201706   ,03           ,39   ,-62.985528762665204 ,-1.6150135580170568
201805   ,03           ,19   ,-25.084482452450061 ,-1.3202359185500032
201711   ,19           ,48   ,-125.9543208314154  ,-2.6240483506544874
201504   ,04           ,358  ,-812.095794729985   ,-2.2684240076256583
201701   ,12           ,19   ,-48.031662891381046 ,-2.5279822574411077
201701   ,13           ,25   ,-18.48411597744256  ,-0.73936463909770245
201708   ,05           ,81   ,-155.31058732784686 ,-1.9174146583684797
201604   ,14           ,27   ,-111.23826416046204 ,-4.1199357096467422
201507   ,06           ,12   ,-36.335064424956073 ,-3.0279220354130061
201710   ,06           ,22   ,-10.27794649768288  ,-0.46717938625831268
201710   ,12           ,23   ,-62.608504878028043 ,-2.7221089077403495
201809   ,10           ,5    ,-19.608681501713448 ,-3.92173630034269
201907   ,14           ,3    ,2.63442104451129    ,0.87814034817043
201908   ,03           ,75   ,-73.67627821943853  ,-0.98235037625918031
201912   ,07           ,11   ,-50.846261214184509 ,-4.6223873831076823
201711   ,01           ,135  ,-204.31003708157206 ,-1.5134076820857194
201711   ,05           ,111  ,-153.10158764389698 ,-1.37929358237745
201609   ,01           ,105  ,-372.70348534997419 ,-3.5495570033330881
201509   ,07           ,16   ,-61.067750207445933 ,-3.8167343879653712
201504   ,19           ,125  ,-309.91828357510474 ,-2.4793462686008367
201606   ,19           ,70   ,-344.8981992274089  ,-4.9271171318201272
201712   ,12           ,13   ,-56.970993138071357 ,-4.38238408754395
201505   ,12           ,52   ,-152.01343407970779 ,-2.9233352707636104
201505   ,11           ,84   ,-280.85615147597218 ,-3.3435256128091941
201603   ,14           ,17   ,-72.164018251578753 ,-4.2449422500928673
201503   ,07           ,13   ,-58.465174379452066 ,-4.4973211061116967
201703   ,14           ,3    ,-2.09678356477129   ,-0.69892785492376341
201811   ,13           ,31   ,-139.8720161976234  ,-4.51200052250398
201902   ,18           ,7    ,-40.116934338013991 ,-5.7309906197162839
201806   ,16           ,2    ,-12.12880650652545  ,-6.064403253262725
201701   ,05           ,151  ,-218.4728987065472  ,-1.4468403887850811
201706   ,19           ,54   ,-157.06085977266878 ,-2.9085344402346065
201702   ,07           ,7    ,-10.34354270268433  ,-1.477648957526333
201803   ,19           ,80   ,-226.51046423594093 ,-2.831380802949262
201705   ,10           ,7    ,-10.53712238831584  ,-1.5053031983308343
201605   ,11           ,113  ,-385.58314596852392 ,-3.4122402298099463
201603   ,02           ,59   ,-221.23744766604878 ,-3.7497872485770989
201802   ,16           ,9    ,-25.981524321038972 ,-2.886836035670997
201801   ,02           ,43   ,-16.518415506291444 ,-0.3841491978207312
201504   ,10           ,23   ,-62.6184924547886   ,-2.7225431502082005
201903   ,18           ,7    ,-35.236010351439987 ,-5.0337157644914274
201506   ,12           ,12   ,-14.099591397343888 ,-1.1749659497786573
201601   ,19           ,26   ,-85.953290086740282 ,-3.305895772566934
201903   ,09           ,11   ,-44.51713758101198  ,-4.0470125073647258
201709   ,03           ,27   ,-55.409024976536685 ,-2.0521861102420997
201509   ,04           ,289  ,-851.11394074369389 ,-2.9450309368293888
