Count ,Year
26776 ,1982
21112 ,1996
30864 ,2003
27982 ,2006
28702 ,1997
75120 ,2013
6612  ,1979
69762 ,2010
13911 ,1994
29197 ,2001
12715 ,1991
19329 ,1984
12805 ,1986
35942 ,2020
117357,2014
15097 ,1990
10730 ,1992
45053 ,2008
212395,2016
170205,2018
31193 ,2000
70231 ,2009
15802 ,1995
15388 ,1988
76032 ,2011
21194 ,1989
9367  ,1993
51751 ,2007
65338 ,2012
23122 ,2005
20697 ,1983
31208 ,1999
17402 ,1987
31669 ,1998
185246,2017
156318,2015
34685 ,1981
148884,2019
27310 ,2004
22668 ,2002
15653 ,1985
13580 ,1980
