MonthYear,Actor2CountryCode,Count
202004   ,USA              ,4924
202004   ,CZE              ,943
202004   ,IRQ              ,49
201904   ,TKM              ,180
202003   ,TKM              ,17
202003   ,EST              ,96
202003   ,KOR              ,183
202003   ,PHL              ,67
202004   ,CHL              ,6
202005   ,MAR              ,8
202005   ,QAT              ,11
202005   ,SWE              ,10
201704   ,CAN              ,381
201611   ,VAT              ,23
201707   ,OMN              ,71
201707   ,ZAF              ,47
201708   ,AUS              ,243
201610   ,ISR              ,827
201702   ,SYR              ,10088
201702   ,AFG              ,1893
201702   ,HND              ,3
201702   ,MNG              ,66
201703   ,LBY              ,1369
201603   ,CHN              ,2517
201703   ,BEL              ,393
201703   ,HND              ,33
201702   ,SOM              ,11
201701   ,PHL              ,1415
201610   ,LVA              ,205
201510   ,BLR              ,1878
201610   ,SEN              ,13
201709   ,FIN              ,547
201706   ,MNG              ,92
201706   ,KAZ              ,861
201706   ,BHR              ,65
201706   ,MDG              ,2
201606   ,EUR              ,3186
201606   ,UKR              ,8911
201708   ,MMR              ,26
201709   ,ARG              ,56
201801   ,ZAF              ,30
201712   ,URY              ,36
201703   ,UGA              ,3
201609   ,EUR              ,1657
201609   ,MAR              ,69
201703   ,PNG              ,1
201802   ,GBR              ,2457
201612   ,PGS              ,10
201805   ,IRN              ,6144
201805   ,DOM              ,11
201710   ,KWT              ,58
201804   ,IRL              ,111
201507   ,EGY              ,450
201504   ,NLD              ,145
201509   ,MAR              ,83
201510   ,BOL              ,120
201708   ,CAF              ,7
201605   ,EST              ,443
201705   ,BLZ              ,5
202002   ,EST              ,345
202002   ,MDA              ,143
202001   ,DEU              ,3614
201503   ,MEX              ,131
201512   ,IDN              ,118
201610   ,HTI              ,23
201511   ,DZA              ,137
201502   ,AGO              ,30
201603   ,TJK              ,220
201512   ,IND              ,305
201601   ,ARG              ,34
201803   ,JAM              ,7
201601   ,TWN              ,20
201710   ,BFA              ,4
201710   ,PRY              ,11
201610   ,MEA              ,15
201805   ,CRI              ,8
201511   ,ECU              ,19
201502   ,FIN              ,78
201506   ,OMN              ,51
201503   ,PHL              ,43
201509   ,ETH              ,39
201510   ,SSD              ,28
201502   ,ISL              ,8
201607   ,CAN              ,338
201601   ,SAS              ,25
201511   ,PLW              ,5
201806   ,NPL              ,18
201806   ,FIN              ,1206
201906   ,PAK              ,263
201609   ,BDI              ,1
201507   ,LUX              ,18
201807   ,PRK              ,1389
201911   ,EGY              ,605
201911   ,NIC              ,18
201807   ,MKD              ,421
201807   ,MYS              ,165
201806   ,BEL              ,307
201710   ,BRB              ,1
201603   ,NPL              ,9
202001   ,QAT              ,60
201911   ,PHL              ,55
201912   ,VEN              ,167
201901   ,NOR              ,231
201808   ,MNG              ,149
201808   ,PSE              ,139
201905   ,ARE              ,46
201904   ,ZAF              ,46
201504   ,TZA              ,4
201910   ,TZA              ,8
201903   ,NLD              ,156
201607   ,SWE              ,276
202001   ,SEN              ,4
202001   ,ERI              ,4
201908   ,SVK              ,86
201908   ,MDV              ,33
201908   ,HUN              ,80
201812   ,LVA              ,110
201906   ,CMR              ,6
201901   ,YEM              ,52
201812   ,TCD              ,34
201506   ,SEN              ,2
201909   ,LKA              ,5
201901   ,SEA              ,21
201606   ,MLT              ,9
202002   ,GRD              ,1
201912   ,GHA              ,10
201509   ,RWA              ,3
201908   ,MDG              ,4
201810   ,SAS              ,8
201810   ,SLE              ,5
201911   ,GUY              ,3
201501   ,IDN              ,2
201901   ,BDI              ,3
201806   ,BDI              ,8
201705   ,COD              ,3
201809   ,CIV              ,4
202002   ,NER              ,2
201806   ,GNB              ,7
201905   ,AGO              ,12
201902   ,CIV              ,1
201805   ,GEO              ,6
201804   ,NER              ,4
201904   ,TCD              ,1
201812   ,MRT              ,1
201803   ,GNQ              ,2
202004   ,MDV              ,31
202003   ,BLR              ,1383
202004   ,NLD              ,70
202003   ,MEX              ,70
202003   ,LBN              ,19
202004   ,LUX              ,7
202005   ,TJK              ,4
201704   ,KGZ              ,760
201704   ,KEN              ,21
201604   ,IND              ,114
201611   ,SVK              ,81
201707   ,SDN              ,111
201707   ,MDV              ,91
201610   ,VNM              ,616
201702   ,BHS              ,1
201703   ,POL              ,807
201603   ,PHL              ,15
201608   ,FIN              ,438
201708   ,CYP              ,30
201701   ,PAN              ,11
201701   ,PER              ,55
201510   ,RUS              ,25689
201610   ,FJI              ,24
201610   ,ETH              ,8
201709   ,MDA              ,1273
201706   ,SDN              ,39
201708   ,SLV              ,2
201709   ,TTO              ,3
201709   ,CAS              ,5
201711   ,MAR              ,93
201709   ,COL              ,76
201712   ,DEU              ,1072
201712   ,IND              ,205
201803   ,KOR              ,402
201609   ,TUN              ,54
201609   ,LBY              ,359
201609   ,PAN              ,25
201609   ,MCO              ,31
201802   ,LBY              ,178
201711   ,BGD              ,59
201612   ,OMN              ,186
201512   ,HUN              ,177
201805   ,FRA              ,3289
201805   ,IRQ              ,240
201512   ,KHM              ,29
201701   ,HTI              ,10
201701   ,GMB              ,18
201804   ,PRK              ,1246
201710   ,ARM              ,1139
201705   ,ALB              ,93
201705   ,HUN              ,188
201804   ,AUT              ,525
201706   ,ZMB              ,23
201606   ,AZE              ,1720
201505   ,FRA              ,1885
201507   ,IRN              ,4596
201506   ,USA              ,6152
201504   ,GBR              ,1610
201601   ,IND              ,110
201505   ,MNG              ,124
201509   ,AZE              ,746
201502   ,BRA              ,27
201509   ,ZWE              ,44
201507   ,KAZ              ,475
201711   ,TWN              ,19
201711   ,CMR              ,10
201801   ,TTO              ,17
202002   ,DEU              ,2140
202002   ,AGO              ,7
202002   ,IDN              ,139
201509   ,LBN              ,212
201512   ,NGA              ,58
201504   ,ALB              ,67
201509   ,JOR              ,151
201501   ,SYR              ,180
201603   ,BOL              ,200
201506   ,IDN              ,89
201803   ,DMA              ,2
201610   ,GMB              ,3
201710   ,SEN              ,12
201608   ,NIC              ,65
201802   ,MYS              ,54
201802   ,URY              ,5
201605   ,DZA              ,88
201712   ,STP              ,11
201509   ,IRL              ,38
201512   ,NMR              ,23
201506   ,BRA              ,115
201602   ,PLW              ,9
201804   ,MLI              ,4
201601   ,MOZ              ,4
201602   ,NZL              ,22
201906   ,PRT              ,48
201603   ,NAM              ,3
201810   ,AZE              ,684
201907   ,PRK              ,571
201911   ,BEL              ,102
201911   ,PAN              ,9
201603   ,CRI              ,1
201904   ,TUN              ,51
201509   ,BHR              ,23
201510   ,MLI              ,9
201811   ,MLT              ,18
201811   ,MDG              ,33
202001   ,ESP              ,105
201912   ,DEU              ,4089
201508   ,MOZ              ,2
201808   ,IRQ              ,129
201808   ,NGA              ,123
201905   ,EUR              ,1820
201905   ,LBN              ,55
201905   ,CYP              ,64
201905   ,CZE              ,166
201904   ,KHM              ,6
201904   ,DJI              ,19
201512   ,WAF              ,1
201707   ,VUT              ,1
201810   ,TWN              ,7
201809   ,CZE              ,151
201910   ,MLT              ,86
201903   ,DZA              ,233
201903   ,EGY              ,258
201911   ,HRV              ,34
201607   ,NZL              ,34
202001   ,PAN              ,6
201902   ,LVA              ,115
202003   ,SVK              ,40
201906   ,NAM              ,2
201807   ,TWN              ,10
201909   ,TJK              ,56
202002   ,PER              ,24
202001   ,SEA              ,21
201809   ,HUN              ,394
201809   ,CHL              ,22
201908   ,MKD              ,17
201907   ,BTN              ,2
201803   ,RWA              ,2
201909   ,VCT              ,2
201807   ,MDG              ,4
202003   ,CMR              ,6
201812   ,SLB              ,3
201806   ,KOR              ,1066
201903   ,NPL              ,5
201910   ,KNA              ,1
201906   ,DMA              ,2
201907   ,CPV              ,1
201908   ,TUN              ,6
201908   ,TCD              ,4
201911   ,TUN              ,5
201809   ,TKM              ,69
201806   ,MLI              ,10
201806   ,LBY              ,61
201806   ,CAF              ,28
201710   ,CAF              ,1
201910   ,GEO              ,4
201601   ,GUY              ,1
201910   ,CRI              ,4
202002   ,TCD              ,2
201606   ,SEN              ,3
201603   ,CAS              ,1
201706   ,BLZ              ,1
201806   ,KNA              ,40
201808   ,CMR              ,1
201807   ,BFA              ,2
201804   ,BRB              ,1
202004   ,SGP              ,23
202003   ,FIN              ,236
202005   ,UKR              ,644
202005   ,ESP              ,27
201611   ,DZA              ,156
201707   ,UKR              ,8025
201707   ,CHN              ,5320
201708   ,IRQ              ,453
201611   ,URY              ,20
201702   ,PRT              ,34
201702   ,KEN              ,27
201704   ,PAN              ,10
201704   ,NAM              ,4
201608   ,IND              ,116
201608   ,ZWE              ,18
201708   ,VNM              ,80
201708   ,MNG              ,49
201604   ,IRN              ,3683
201610   ,ARE              ,90
201510   ,FIN              ,322
201610   ,BMU              ,1
201706   ,BLR              ,1568
201706   ,TUR              ,2979
201705   ,PAK              ,282
201609   ,SWE              ,431
201705   ,CAN              ,383
201508   ,ARM              ,739
201703   ,LIE              ,2
201706   ,TCD              ,3
201803   ,LBY              ,71
201803   ,MDA              ,554
201802   ,                 ,75325
201609   ,IRN              ,2543
201609   ,LTU              ,278
201802   ,OMN              ,68
201711   ,MLT              ,43
201612   ,QAT              ,323
201805   ,ARG              ,233
201805   ,IDN              ,52
201805   ,ISL              ,31
201805   ,CAF              ,60
201803   ,PRY              ,3
201710   ,CIV              ,2
201705   ,MNG              ,61
201705   ,UZB              ,165
201705   ,GRC              ,181
201605   ,PER              ,54
201503   ,YEM              ,564
201502   ,UKR              ,9527
201603   ,TUN              ,196
201502   ,VAT              ,16
201503   ,NLD              ,148
201507   ,MDV              ,50
201803   ,GHA              ,11
201705   ,SAS              ,18
201612   ,SYC              ,4
201701   ,NZL              ,21
201602   ,LBY              ,123
201509   ,OMN              ,37
201505   ,DNK              ,78
201503   ,MKD              ,35
201506   ,SVK              ,227
201506   ,NLD              ,208
201611   ,MHL              ,2
201502   ,AFG              ,134
201502   ,CZE              ,81
201601   ,CMR              ,36
201507   ,HUN              ,95
201509   ,SSD              ,131
201601   ,DZA              ,94
201609   ,BLZ              ,1
201804   ,ESP              ,139
201509   ,ZAF              ,95
201604   ,ECU              ,61
201506   ,PRT              ,19
201504   ,KWT              ,26
201509   ,BRN              ,17
201701   ,GNB              ,1
201506   ,MDV              ,24
201805   ,FJI              ,4
201906   ,ARG              ,134
201810   ,DZA              ,83
201810   ,QAT              ,76
201907   ,SWE              ,138
201911   ,BRN              ,9
201501   ,HUN              ,17
201904   ,CUB              ,297
201904   ,NLD              ,153
201904   ,NMR              ,14
201807   ,ESP              ,330
201807   ,MCO              ,19
201503   ,GHA              ,13
201811   ,AUT              ,1421
201811   ,PSE              ,370
201811   ,COL              ,16
201811   ,CMR              ,7
202001   ,TTO              ,6
201901   ,CHN              ,2455
201912   ,TUR              ,3309
201812   ,UKR              ,20463
201910   ,DEU              ,1570
201901   ,ITA              ,225
201808   ,UKR              ,11262
201808   ,CHN              ,2978
201905   ,GBR              ,1689
201905   ,WST              ,359
201905   ,DZA              ,58
201905   ,URY              ,25
201905   ,NGA              ,142
201507   ,MUS              ,2
201911   ,SVK              ,47
201910   ,ARM              ,887
201910   ,CZE              ,149
201910   ,TKM              ,157
201903   ,MKD              ,66
201903   ,MNG              ,44
201804   ,WSM              ,1
201902   ,SWE              ,356
201902   ,VAT              ,4
201908   ,LBY              ,113
201812   ,ESP              ,160
201812   ,GTM              ,16
201906   ,GUY              ,3
201909   ,CUB              ,203
201901   ,NMR              ,17
201507   ,SGP              ,11
201809   ,CAN              ,163
201809   ,JAM              ,38
201809   ,PGS              ,9
201908   ,BEN              ,2
201506   ,LAO              ,6
201912   ,KEN              ,12
202003   ,MOZ              ,13
202004   ,MMR              ,8
201604   ,SLV              ,1
201810   ,MEA              ,2
201606   ,DOM              ,5
202004   ,CMR              ,6
201806   ,TJK              ,140
201901   ,CAS              ,2
201508   ,ASA              ,1
201807   ,LSO              ,1
201907   ,BDI              ,3
201907   ,JAM              ,10
202003   ,AND              ,5
201912   ,LUX              ,2
201904   ,PNG              ,2
201809   ,LIE              ,3
201904   ,BRB              ,1
202004   ,BTN              ,2
201904   ,USA              ,11228
202005   ,BGR              ,6
201704   ,FIN              ,260
201704   ,EST              ,417
201704   ,NZL              ,43
201611   ,ITA              ,835
201707   ,SWE              ,183
201702   ,FIN              ,303
201702   ,DEU              ,3479
201702   ,BGD              ,147
201602   ,BLR              ,1423
201701   ,TUR              ,7463
201703   ,TZA              ,13
201703   ,PHL              ,164
201608   ,DEU              ,2184
201608   ,EGY              ,1554
201708   ,AGO              ,21
201701   ,OMN              ,71
201701   ,HRV              ,33
201701   ,ISR              ,1520
201610   ,CHE              ,1494
201609   ,SYR              ,26737
201610   ,IND              ,356
201709   ,BGR              ,233
201706   ,OMN              ,69
201705   ,CHN              ,3493
201706   ,SEA              ,30
201801   ,SWE              ,212
201711   ,THA              ,66
201709   ,LUX              ,10
201712   ,POL              ,512
201712   ,SRB              ,683
201608   ,ZMB              ,7
201603   ,KOR              ,372
201709   ,CAF              ,4
201803   ,GRC              ,449
201803   ,OMN              ,62
201803   ,ZAF              ,19
201609   ,SVK              ,126
201609   ,KWT              ,16
201609   ,IND              ,284
201509   ,USA              ,14521
201802   ,ALB              ,103
201802   ,EST              ,301
201802   ,NIC              ,22
201802   ,KGZ              ,95
201711   ,SEA              ,133
201711   ,COD              ,4
201805   ,ZAF              ,50
201805   ,MDA              ,255
201701   ,NGA              ,164
201710   ,HUN              ,227
201605   ,BOL              ,24
201804   ,LBY              ,146
201711   ,SUR              ,9
201706   ,ERI              ,3
201505   ,UKR              ,12921
201507   ,UKR              ,11019
201508   ,BEL              ,71
201601   ,POL              ,777
201506   ,AUS              ,196
201502   ,SVK              ,44
201603   ,SAU              ,791
201509   ,BGR              ,712
201502   ,LTU              ,191
201603   ,IRL              ,73
201803   ,SGP              ,19
202002   ,VAT              ,30
202002   ,ZMB              ,23
201902   ,ZMB              ,40
201601   ,NLD              ,178
201603   ,MNG              ,202
201508   ,SEA              ,101
201601   ,ESP              ,161
201508   ,CYP              ,80
201805   ,ERI              ,2
201506   ,SRB              ,299
201503   ,SWE              ,387
