MonthYear,FightCountries
201602   ,94
201611   ,96
201609   ,89
201503   ,101
201504   ,91
201904   ,91
201802   ,85
201905   ,74
201607   ,90
202005   ,81
202003   ,74
201704   ,94
201703   ,97
201612   ,102
201508   ,83
201604   ,93
201511   ,100
201806   ,98
201603   ,88
201804   ,88
201901   ,99
201907   ,80
201710   ,101
201601   ,82
201906   ,91
201509   ,86
201902   ,88
201507   ,87
201608   ,97
201701   ,99
201605   ,91
201910   ,83
201911   ,86
201709   ,91
201506   ,79
201807   ,93
201808   ,92
201606   ,95
201702   ,98
201708   ,89
201707   ,101
201510   ,100
201803   ,98
201705   ,92
201706   ,100
201801   ,89
201909   ,86
201810   ,83
201610   ,108
201805   ,92
201512   ,100
201711   ,92
202001   ,81
201811   ,94
201505   ,89
201812   ,98
201502   ,68
201712   ,83
201903   ,91
202006   ,32
201908   ,88
202002   ,84
202004   ,70
201809   ,88
201912   ,90
201501   ,10
