MonthYear,Actor2Name                     ,Count
202004   ,VLADIMIR                       ,1433
202004   ,NIZHNY NOVGOROD                ,61
201904   ,RUSSIA                         ,74528
202004   ,SERGEY KISLYAK                 ,24
201904   ,SAMARA                         ,124
202004   ,TAMBOV                         ,12
202005   ,SARATOV                        ,14
201702   ,MOSCOW                         ,13649
201707   ,SMOLENSK                       ,100
201607   ,VLADIMIR                       ,2608
201704   ,ROSSIYSKAYA                    ,9
201704   ,BASHKORTOSTAN                  ,34
201704   ,IRKUTSK                        ,91
201611   ,KAMCHATKA                      ,39
201611   ,ULYANOVSK                      ,51
201611   ,NIZHNY NOVGOROD                ,67
201704   ,KOMI REPUBLIC                  ,8
201603   ,DAGESTAN                       ,249
201702   ,IGOR SHUVALOV                  ,44
201511   ,KARELIA                        ,31
201608   ,KALININGRAD                    ,147
201610   ,RUSSIAN FEDERATION             ,935
201610   ,VOLOGDA                        ,19
201610   ,KHABAROVSK                     ,101
201708   ,ROSTOV                         ,39
201706   ,URALS                          ,52
201703   ,BASHKORTOSTAN                  ,77
201703   ,IGOR SHUVALOV                  ,18
201705   ,BASHKORTOSTAN                  ,67
201709   ,YEVGENY PRIMAKOV               ,12
201803   ,MURMANSK                       ,73
201711   ,GROZNY                         ,31
201711   ,DAGESTAN                       ,362
201711   ,YAROSLAVL                      ,62
201710   ,KHABAROVSK                     ,120
201711   ,INGUSHETIA                     ,38
201711   ,VORONEZH                       ,74
201802   ,VLADIMIR PUTIN                 ,2995
201608   ,KEMEROVO                       ,32
201712   ,SERGEY LAVROV                  ,239
201801   ,CHUVASH                        ,7
201805   ,CHECHNYA                       ,321
201805   ,KURSK                          ,62
201504   ,VLADIMIR                       ,1759
201512   ,SAMARA                         ,271
202002   ,VLADIMIR                       ,2050
202002   ,BURYAT                         ,19
201802   ,DAGESTAN                       ,541
201901   ,SEVERSTAL                      ,2
201511   ,NOVGOROD                       ,141
201911   ,SAMARA                         ,178
201911   ,VLADIVOSTOK                    ,165
201911   ,ULYANOVSK                      ,31
201510   ,MECHEL                         ,8
201706   ,ABU AL WALID                   ,1
201907   ,VLADIMIR                       ,3371
201907   ,PSKOV                          ,244
201907   ,BELGOROD                       ,30
201505   ,KRASNOYARSK                    ,81
201506   ,BRYANSK                        ,37
201502   ,SAINT PETERSBURG               ,51
201502   ,SAMARA                         ,191
201903   ,TAMBOV                         ,25
201503   ,RYAZAN                         ,23
201504   ,SVERDLOVSK                     ,72
201506   ,MUHANNAD                       ,29
201506   ,TATARSTAN                      ,55
201510   ,SERGEY IVANOV                  ,30
201512   ,TATARSTAN                      ,87
201908   ,MURMANSK                       ,85
201908   ,VLADIVOSTOK                    ,356
201908   ,NIKOLAY PATRUSHEV              ,5
201811   ,KIROV                          ,69
201904   ,PENZA                          ,33
201904   ,EVRAZ                          ,14
201807   ,KARELIA                        ,29
201807   ,YEKATERINBURG                  ,259
201807   ,KAZAN                          ,142
201507   ,TATARSTAN                      ,60
201802   ,VLADIMIR ZORIN                 ,2
201905   ,SARATOV                        ,51
201809   ,SAMARA                         ,166
201605   ,ROSTOV ON DON                  ,46
201605   ,TVER OBLAST                    ,1
201508   ,PETROGRAD                      ,15
201504   ,LIPETSK                        ,47
201806   ,MOLOTOV                        ,177
201604   ,BELGOROD                       ,15
201809   ,ANATOLIY SERDYUKOV             ,1
201712   ,RUSSIE                         ,9
201804   ,YAKUTIA                        ,25
201502   ,MIKHAIL KASYANOV               ,18
201601   ,ROSTOV                         ,17
201607   ,LENINGRAD                      ,109
201607   ,PENZA                          ,32
201607   ,RUSSIE                         ,22
201510   ,BASHKORTOSTAN                  ,46
201912   ,CHELYABINSK                    ,156
201912   ,SMOLENSK                       ,38
201508   ,VALENTINA MATVIYENKO           ,11
201507   ,IBN AL KHATTAB                 ,14
201906   ,KRASNOYARSK                    ,138
201906   ,NIKOLAY PATRUSHEV              ,15
201508   ,RUSSIE                         ,5
201808   ,VOLGA                          ,59
202001   ,KALMYKIA                       ,14
202001   ,ST. PETERSBURG                 ,21
201908   ,CHECHEN REPUBLIC               ,15
202001   ,BELGOROD                       ,8
201506   ,BASHKORTOSTAN                  ,24
201506   ,PETERBURG                      ,1
201602   ,SEVERSTAL                      ,6
202001   ,SERGEY LEBEDEV                 ,3
201908   ,NORTH OSSETIA ALANIA           ,2
201510   ,KALMYKIA                       ,3
201601   ,TATYANA GOLIKOVA               ,3
201806   ,YEVGENY PRIMAKOV               ,12
202003   ,MORDOVIA                       ,2
201601   ,KOLA PENINSULA                 ,5
201904   ,SERGEY LEBEDEV                 ,3
201905   ,MECHEL                         ,2
202002   ,ROSSIJA                        ,1
201511   ,IBN AL KHATTAB                 ,6
201901   ,ADYGEA                         ,1
201810   ,VOLGA RIVER                    ,3
201801   ,LAKE LADOGA                    ,2
201611   ,YEVGENY PRIMAKOV               ,10
202004   ,GORKY                          ,11
202004   ,ST PETERSBURG                  ,490
202004   ,SAMARA                         ,121
202004   ,ELVIRA NABIULLINA              ,17
202003   ,KALMYKIA                       ,4
202005   ,LENINGRAD                      ,24
201702   ,BURYAT                         ,15
201702   ,VIMPELCOM                      ,9
201702   ,KARELIA                        ,101
201701   ,YEGOR GAIDAR                   ,3
201706   ,MOSCOW                         ,10459
201704   ,ST PETERSBURG                  ,3913
201704   ,PRIMORSKY                      ,8
201611   ,LIPETSK                        ,44
201611   ,CHECHEN REPUBLIC               ,29
201701   ,CHECHNYA                       ,278
