MonthYear,EventRootCode,Count
202003   ,03           ,8985
202005   ,16           ,166
201703   ,09           ,5734
201602   ,17           ,6331
201707   ,14           ,1181
201708   ,05           ,13568
201609   ,12           ,8934
201510   ,18           ,2710
201506   ,01           ,16338
201504   ,16           ,3159
201502   ,14           ,667
201805   ,16           ,2509
201910   ,07           ,4653
201901   ,07           ,4130
201809   ,08           ,7322
201908   ,03           ,9826
201911   ,03           ,9026
201911   ,06           ,2691
201912   ,09           ,3775
201904   ,06           ,3304
201707   ,02           ,14711
201608   ,17           ,7564
201612   ,16           ,6202
201609   ,05           ,20499
201705   ,06           ,3615
201504   ,09           ,2796
201804   ,07           ,4624
201906   ,13           ,2598
201906   ,06           ,2816
202003   ,07           ,3927
202003   ,20           ,20
201610   ,07           ,5995
201508   ,06           ,3667
201703   ,15           ,1684
201603   ,09           ,4522
201609   ,19           ,17425
201509   ,09           ,4094
201601   ,08           ,5030
201503   ,07           ,4356
201506   ,06           ,3329
201506   ,05           ,12552
201502   ,02           ,3628
201503   ,14           ,1790
201601   ,20           ,131
201901   ,16           ,2635
202002   ,20           ,66
201902   ,14           ,1046
201809   ,05           ,16479
201806   ,16           ,2105
201905   ,05           ,13894
201905   ,02           ,11290
201703   ,12           ,8846
201603   ,16           ,3092
201701   ,14           ,1181
201705   ,01           ,29771
201609   ,04           ,51652
201601   ,16           ,3170
201801   ,16           ,2468
201605   ,15           ,1537
201502   ,06           ,1215
201805   ,05           ,17484
202002   ,17           ,5966
201808   ,01           ,23174
201811   ,05           ,14309
201907   ,02           ,11025
201807   ,19           ,9790
201806   ,06           ,2401
201904   ,07           ,4452
202005   ,06           ,373
201601   ,10           ,1866
201605   ,19           ,13937
201805   ,14           ,1996
201501   ,17           ,91
201901   ,11           ,12261
201902   ,12           ,6634
201902   ,17           ,6725
201809   ,19           ,16074
201907   ,17           ,7245
201911   ,08           ,6386
201906   ,09           ,3496
201611   ,03           ,15162
201611   ,09           ,4293
201708   ,03           ,11144
201608   ,10           ,2264
201508   ,01           ,17461
201612   ,19           ,23278
201706   ,16           ,3881
201512   ,17           ,8033
201601   ,06           ,3091
201605   ,03           ,13429
201803   ,16           ,8941
201505   ,15           ,1495
201804   ,09           ,8260
201909   ,01           ,16766
201501   ,08           ,92
201908   ,17           ,5688
201906   ,05           ,14901
201906   ,20           ,44
202004   ,07           ,5112
201511   ,09           ,5556
201708   ,17           ,6682
201612   ,10           ,3339
201711   ,19           ,9854
201709   ,07           ,4440
201504   ,04           ,32350
201505   ,11           ,7715
201501   ,16           ,30
201712   ,02           ,11955
201712   ,18           ,1469
201710   ,14           ,1450
201805   ,06           ,3219
202001   ,12           ,3992
202001   ,16           ,1653
201902   ,10           ,1889
201903   ,15           ,1204
202001   ,02           ,9479
202004   ,20           ,11
201611   ,05           ,23303
201704   ,07           ,5192
201704   ,15           ,1737
201702   ,02           ,14844
201707   ,03           ,19672
201510   ,03           ,18983
201711   ,09           ,4674
201801   ,18           ,1771
201810   ,16           ,3342
201802   ,14           ,1233
201812   ,02           ,11928
201908   ,11           ,8776
201903   ,05           ,13930
201808   ,20           ,29
202005   ,15           ,72
201602   ,04           ,45407
201707   ,15           ,1802
201607   ,11           ,11168
201609   ,03           ,20944
201510   ,17           ,7008
201802   ,16           ,2266
201502   ,16           ,976
201504   ,14           ,1022
201804   ,01           ,30985
201805   ,07           ,3563
201501   ,11           ,72
201607   ,20           ,106
201811   ,09           ,4762
201811   ,20           ,28
202004   ,09           ,2166
201903   ,18           ,1485
201511   ,06           ,5193
201508   ,04           ,33851
201603   ,04           ,43411
201706   ,10           ,2252
201706   ,17           ,7329
201606   ,03           ,13494
201710   ,01           ,23301
201711   ,20           ,76
201804   ,02           ,15860
202002   ,01           ,17774
201902   ,19           ,7360
201809   ,18           ,2512
201909   ,19           ,7093
201908   ,06           ,2493
201808   ,13           ,4166
201611   ,06           ,3826
201611   ,13           ,4185
201707   ,06           ,4302
201607   ,01           ,23308
201603   ,01           ,24740
201609   ,01           ,29200
201710   ,04           ,45554
201803   ,01           ,32812
201506   ,09           ,2307
201908   ,04           ,29944
201807   ,15           ,1202
201905   ,07           ,3579
201905   ,17           ,5858
201611   ,12           ,7508
201703   ,14           ,3154
201703   ,02           ,16351
201701   ,10           ,2401
201606   ,05           ,18168
201507   ,13           ,2080
201810   ,15           ,1645
201810   ,18           ,1956
201901   ,17           ,8871
201901   ,06           ,2870
202002   ,16           ,3019
201810   ,10           ,2283
201912   ,18           ,1181
202003   ,01           ,13891
201611   ,04           ,43532
201604   ,02           ,14147
201701   ,03           ,16195
201602   ,16           ,3224
201603   ,15           ,2168
201606   ,18           ,1684
201606   ,12           ,6192
201709   ,13           ,3846
201607   ,18           ,1651
201601   ,17           ,5499
201710   ,13           ,3165
201803   ,17           ,14588
201503   ,12           ,5937
201901   ,08           ,7351
201902   ,02           ,11089
201812   ,18           ,1927
201808   ,09           ,4884
201506   ,20           ,24
201909   ,20           ,29
202005   ,14           ,134
202003   ,19           ,7429
201704   ,17           ,9123
201702   ,07           ,5150
201701   ,15           ,1563
201609   ,20           ,97
201710   ,02           ,11565
201710   ,07           ,5229
201512   ,20           ,378
201712   ,12           ,6108
201804   ,17           ,8461
201710   ,10           ,2280
201910   ,08           ,8408
201910   ,18           ,1277
202002   ,04           ,30054
202002   ,14           ,860
201812   ,14           ,1010
201811   ,02           ,12053
201807   ,14           ,1546
201807   ,08           ,8382
201906   ,17           ,6459
201912   ,06           ,3370
202005   ,19           ,1009
201511   ,10           ,3824
201708   ,13           ,2842
201610   ,06           ,4639
201605   ,10           ,2700
201711   ,10           ,2021
201509   ,17           ,6903
201506   ,12           ,4359
201503   ,10           ,1966
201502   ,10           ,799
201812   ,01           ,22970
201809   ,17           ,7112
201908   ,13           ,1952
201907   ,13           ,2446
201807   ,11           ,14459
201911   ,16           ,1361
201606   ,20           ,107
202004   ,10           ,1608
201903   ,11           ,11408
201903   ,19           ,7458
201904   ,10           ,3178
201611   ,08           ,7862
201706   ,04           ,42353
201511   ,08           ,7905
201703   ,08           ,7498
201702   ,13           ,3493
201608   ,06           ,4432
201604   ,18           ,1831
201609   ,13           ,4420
201605   ,02           ,11594
201809   ,12           ,8043
201811   ,16           ,5135
201906   ,14           ,1565
201911   ,17           ,5831
201806   ,02           ,9777
201912   ,20           ,17
201611   ,19           ,14403
201511   ,02           ,17464
201707   ,12           ,7718
201612   ,01           ,37276
201511   ,14           ,1598
201610   ,12           ,12714
201510   ,09           ,4973
201512   ,13           ,5658
201512   ,19           ,25897
201601   ,18           ,2031
201503   ,19           ,13367
201901   ,20           ,32
202001   ,01           ,14551
201906   ,07           ,3666
201908   ,16           ,2073
201808   ,07           ,4702
201807   ,16           ,3342
201911   ,02           ,9597
202001   ,15           ,557
201912   ,11           ,8818
201706   ,05           ,15459
201511   ,03           ,19673
201602   ,05           ,18125
201707   ,20           ,29
201608   ,03           ,16711
201610   ,10           ,3533
201701   ,07           ,5301
201601   ,09           ,3533
201503   ,01           ,21630
201503   ,13           ,2743
201502   ,11           ,4347
201605   ,20           ,116
201901   ,03           ,11368
201901   ,13           ,2867
201902   ,03           ,11537
201501   ,14           ,11
201903   ,07           ,4505
201706   ,03           ,13329
201603   ,19           ,17788
201705   ,16           ,3204
201804   ,12           ,9733
201804   ,20           ,41
201805   ,17           ,7201
201910   ,11           ,9707
201809   ,01           ,26289
201808   ,12           ,6415
202005   ,02           ,1199
202004   ,04           ,18207
202003   ,12           ,3974
201602   ,18           ,2660
201707   ,16           ,4555
201706   ,13           ,4218
201612   ,13           ,5698
201605   ,09           ,3786
201605   ,08           ,9337
201505   ,12           ,4839
201712   ,09           ,4400
201501   ,06           ,65
201810   ,09           ,4735
201808   ,02           ,13017
201907   ,12           ,5693
201906   ,02           ,10895
201806   ,11           ,8055
201904   ,18           ,1160
202001   ,17           ,4736
201902   ,09           ,4208
201604   ,08           ,7883
201602   ,06           ,3897
201701   ,01           ,30394
201707   ,18           ,1493
201706   ,09           ,5602
201508   ,08           ,6046
201603   ,11           ,12410
201605   ,04           ,42117
201711   ,04           ,53398
201710   ,06           ,3821
201605   ,13           ,3471
201502   ,04           ,11917
201712   ,16           ,2710
201901   ,02           ,10884
202002   ,03           ,9880
201812   ,15           ,1289
201912   ,12           ,5179
201904   ,12           ,5493
201511   ,04           ,56145
201607   ,02           ,11436
201608   ,09           ,4226
201508   ,13           ,2309
201511   ,15           ,3158
201609   ,18           ,2306
201609   ,06           ,5139
201711   ,12           ,7886
201804   ,18           ,3094
