MonthYear,EventRootCode,Count,SumAvgTone          ,AvgAvgTone
201611   ,12           ,29   ,-37.109230145355625 ,-1.2796286257019185
201703   ,14           ,13   ,-73.14727238163249  ,-5.6267132601255767
201703   ,02           ,156  ,-279.39849560845749 ,-1.7910159974901125
201507   ,13           ,28   ,-38.743674538448552 ,-1.383702662087448
201901   ,17           ,32   ,-101.55276897431014 ,-3.1735240304471914
201810   ,18           ,13   ,-44.922639293027316 ,-3.455587637925178
201810   ,15           ,8    ,-5.26645243797996   ,-0.658306554747495
201912   ,18           ,25   ,-159.09959672776941 ,-6.3639838691107782
201901   ,06           ,24   ,-45.440357644240436 ,-1.8933482351766848
201905   ,17           ,50   ,-140.59176684541052 ,-2.81183533690821
201606   ,05           ,230  ,-483.31389677276394 ,-2.1013647685772345
202002   ,16           ,12   ,-22.716925136582688 ,-1.8930770947152242
201810   ,10           ,8    ,-13.0775306113297   ,-1.6346913264162124
201701   ,10           ,6    ,-20.452697090222951 ,-3.4087828483704916
201602   ,03           ,413  ,-906.30666898345874 ,-2.1944471403957828
201706   ,11           ,85   ,-309.16230128258314 ,-3.6372035445009789
201610   ,13           ,35   ,-200.76902893118219 ,-5.7362579694623479
201510   ,19           ,155  ,-604.14871283577293 ,-3.8977336311985322
201510   ,04           ,815  ,-1866.196407573259  ,-2.2898115430346757
201503   ,17           ,31   ,-112.18711504193089 ,-3.6189391949009959
201512   ,02           ,73   ,-149.11078352160271 ,-2.0426134728986676
201911   ,01           ,178  ,-287.93595152850884 ,-1.6176177052163419
201512   ,10           ,9    ,-38.44125360648443  ,-4.2712504007204926
201511   ,07           ,56   ,-246.84734576501512 ,-4.4079883172324124
201508   ,14           ,4    ,-21.621868246025269 ,-5.4054670615063181
201907   ,18           ,4    ,-17.555916999348092 ,-4.388979249837023
201612   ,14           ,16   ,-57.065963098588256 ,-3.566622693661766
201910   ,14           ,13   ,-27.83636053393279  ,-2.1412585026102144
201707   ,02           ,213  ,-463.27165354255419 ,-2.1749842889321789
201608   ,17           ,53   ,-186.63012376526916 ,-3.5213230899107391
201609   ,05           ,218  ,-270.83191291636814 ,-1.24234822438701
201612   ,16           ,26   ,-72.4862371653635   ,-2.7879321986678267
201804   ,07           ,27   ,-58.192449996844623 ,-2.1552759258090597
201504   ,09           ,18   ,-35.892274322782534 ,-1.994015240154585
201904   ,06           ,42   ,-19.579623787274162 ,-0.46618151874462282
