MonthYear,FightCountries
201711   ,56
201505   ,65
201811   ,71
201502   ,30
201903   ,51
202001   ,42
201610   ,73
201512   ,66
201812   ,68
201712   ,53
201805   ,48
202006   ,10
201706   ,50
201801   ,61
201909   ,66
201705   ,57
201810   ,74
201609   ,54
201602   ,62
201503   ,67
201607   ,63
201905   ,47
201504   ,64
202005   ,35
201904   ,48
201802   ,53
201611   ,63
201605   ,60
201911   ,43
201910   ,47
201701   ,54
201702   ,58
201707   ,50
201506   ,54
201606   ,57
201510   ,69
201807   ,45
201708   ,50
201803   ,62
201808   ,56
201709   ,49
201608   ,70
201704   ,63
201612   ,60
201509   ,71
201603   ,60
201710   ,53
201508   ,57
201507   ,61
201806   ,54
201902   ,60
201906   ,61
202003   ,47
201511   ,52
201601   ,67
201604   ,53
201907   ,51
201901   ,49
201703   ,58
201804   ,52
202004   ,38
201501   ,11
201809   ,47
201908   ,45
202002   ,43
201912   ,54
