MonthYear,Actor2CountryCode,Count
202004   ,SDN              ,120
202004   ,SYR              ,600
201904   ,PAK              ,1354
202005   ,FRA              ,472
202003   ,HUN              ,139
202003   ,COD              ,42
201704   ,PSE              ,1398
201703   ,                 ,832043
201611   ,AUT              ,320
201702   ,NLD              ,1005
201702   ,ZWE              ,616
201602   ,VNM              ,1780
201707   ,USA              ,137763
201707   ,KWT              ,525
201707   ,CZE              ,226
201707   ,BLZ              ,121
201707   ,UZB              ,40
201708   ,CYP              ,83
201607   ,DEU              ,4857
201703   ,BLR              ,342
201703   ,LTU              ,173
201703   ,PER              ,802
201703   ,TKM              ,5
201603   ,AUS              ,3417
201612   ,RUS              ,26622
201705   ,GBR              ,10726
201708   ,GIN              ,41
201708   ,MDA              ,132
201708   ,LUX              ,27
201708   ,GMB              ,55
201706   ,JOR              ,1153
201706   ,GHA              ,428
201706   ,LAO              ,53
201706   ,BRA              ,1350
201706   ,ESP              ,3147
201701   ,DMA              ,34
201610   ,ISL              ,168
201610   ,MLI              ,125
201603   ,COL              ,957
201608   ,BGD              ,1283
201608   ,HKG              ,90
201709   ,PRK              ,14732
201610   ,TON              ,49
201609   ,AUT              ,419
201509   ,MMR              ,268
201612   ,IDN              ,490
201512   ,CZE              ,186
201512   ,EUR              ,3188
201601   ,VEN              ,711
201701   ,GAB              ,15
201510   ,BLR              ,344
201608   ,TJK              ,165
201508   ,VNM              ,2012
201508   ,ITA              ,2246
201605   ,                 ,803795
201705   ,NAM              ,17
201707   ,CAS              ,2
201509   ,MOZ              ,42
201601   ,MYS              ,444
201709   ,ISL              ,118
201709   ,ABW              ,15
201805   ,                 ,732038
201805   ,JOR              ,1415
201805   ,QAT              ,721
201803   ,OMN              ,124
201802   ,SYR              ,6296
201803   ,CMR              ,52
201805   ,LIE              ,4
201712   ,PRK              ,7955
201712   ,GRC              ,1088
201504   ,NGA              ,1369
201502   ,GRC              ,605
201503   ,GTM              ,487
201502   ,CHE              ,637
201507   ,PRK              ,896
201502   ,SVK              ,35
201505   ,LBY              ,1160
201502   ,CUB              ,2413
201507   ,BRA              ,1453
201604   ,LTU              ,170
201601   ,URY              ,130
201508   ,DOM              ,339
201503   ,NGA              ,1381
201510   ,EST              ,85
201504   ,PSE              ,1023
201505   ,SSD              ,162
201504   ,PGS              ,271
201505   ,BHS              ,448
201507   ,CRB              ,7
201802   ,BMU              ,81
201802   ,SOM              ,209
201511   ,AGO              ,232
201506   ,ZAF              ,325
201508   ,DJI              ,29
201501   ,PHL              ,36
201702   ,PLW              ,6
201505   ,GRD              ,81
201804   ,NLD              ,945
201504   ,GAB              ,6
201502   ,BFA              ,13
201710   ,HND              ,425
201710   ,BRB              ,51
201511   ,CYM              ,69
201501   ,SOM              ,8
201602   ,HRV              ,108
201802   ,HRV              ,90
202001   ,POL              ,864
202001   ,EUR              ,2637
202001   ,BOL              ,285
202001   ,EGY              ,1293
202001   ,FJI              ,35
201901   ,BHR              ,113
201912   ,ESP              ,1638
201509   ,PLW              ,18
201601   ,MOZ              ,32
202002   ,COL              ,473
202002   ,NOR              ,381
201902   ,UKR              ,1694
202002   ,BHR              ,53
201507   ,BTN              ,13
201505   ,NRU              ,4
201907   ,EUR              ,2962
201907   ,BHS              ,727
201906   ,TWN              ,699
201907   ,WSM              ,96
201511   ,EAF              ,2
201908   ,TZA              ,109
201505   ,MEA              ,7
201502   ,CAF              ,3
201805   ,COM              ,4
201903   ,GMB              ,59
201903   ,MUS              ,70
201902   ,CUB              ,1125
201512   ,COM              ,1
201505   ,TON              ,9
202002   ,MRT              ,30
201909   ,AFR              ,2195
201808   ,EST              ,58
201808   ,SLB              ,20
201910   ,TCD              ,201
201910   ,NOR              ,462
201907   ,GAB              ,5
201812   ,QAT              ,358
201812   ,SLB              ,24
201901   ,MDV              ,1126
201901   ,CRB              ,18
201901   ,DMA              ,27
201911   ,ITA              ,1729
201911   ,MEX              ,6421
201506   ,CAF              ,15
201806   ,TMP              ,1
201811   ,MDV              ,972
201811   ,LBN              ,565
201906   ,KWT              ,136
201905   ,DJI              ,53
201905   ,VAT              ,229
201905   ,UGA              ,128
201810   ,NPL              ,121
201810   ,ZMB              ,47
202002   ,BTN              ,9
201911   ,GNQ              ,4
201810   ,SMR              ,11
201607   ,STP              ,10
201912   ,WAF              ,3
201809   ,UGA              ,306
201808   ,PLW              ,13
201906   ,SAM              ,3
201807   ,KAZ              ,107
201606   ,GAB              ,30
202001   ,UZB              ,34
202002   ,COK              ,5
201902   ,ERI              ,8
201606   ,NAM              ,35
201808   ,PNG              ,33
201903   ,STP              ,1
201904   ,NER              ,30
201912   ,BDI              ,11
201812   ,TUV              ,3
201904   ,TON              ,10
201911   ,AND              ,16
201904   ,COM              ,1
202004   ,THA              ,212
202004   ,QAT              ,258
201904   ,CHN              ,10301
202003   ,BRN              ,37
202003   ,JAM              ,290
202003   ,JOR              ,550
202003   ,MOZ              ,12
202003   ,KNA              ,20
202004   ,BLR              ,106
201905   ,UKR              ,2609
202005   ,SVK              ,1
202005   ,NOR              ,54
202005   ,BGR              ,13
201611   ,HUN              ,457
201611   ,FIN              ,399
201702   ,NOR              ,726
201702   ,ISR              ,11305
201702   ,SEN              ,59
201602   ,MMR              ,402
201701   ,CAN              ,9508
