MonthYear,FightCountries
201702   ,158
201707   ,152
201708   ,148
201510   ,168
201803   ,153
201709   ,158
201807   ,158
201506   ,162
201808   ,158
201606   ,171
201706   ,158
201705   ,157
201801   ,153
201810   ,154
201909   ,145
201610   ,164
201711   ,157
201805   ,155
202006   ,85
201512   ,160
201505   ,159
201811   ,146
202001   ,151
201812   ,146
201903   ,147
201502   ,134
201712   ,151
202005   ,137
201611   ,161
201609   ,163
201802   ,152
201602   ,160
201504   ,158
201503   ,163
201904   ,151
201905   ,149
201607   ,162
202004   ,137
201908   ,147
201809   ,156
201912   ,150
202002   ,153
201501   ,36
201701   ,163
201605   ,157
201910   ,153
201911   ,144
201608   ,167
201612   ,160
201604   ,161
201507   ,166
201508   ,166
201601   ,153
201603   ,163
201804   ,153
201902   ,144
201710   ,163
201901   ,142
201511   ,158
201907   ,147
201906   ,154
201509   ,157
202003   ,140
201703   ,151
201806   ,151
201704   ,163
