MonthYear,Actor2Name                                                    ,Count
201501   ,MINNESOTA                                                     ,20
201501   ,CALIFORNIA                                                    ,73
201501   ,MISSOURI                                                      ,24
201501   ,APPLE INC                                                     ,12
201501   ,GUAM                                                          ,10
201501   ,COSTCO                                                        ,6
201501   ,LOUISIANA                                                     ,7
201501   ,NVIDIA                                                        ,2
201501   ,AMERICAN TOWER CORPORATION                                    ,1
201501   ,GOOGLE                                                        ,90
201501   ,WASHINGTON                                                    ,276
201501   ,MONTANA                                                       ,12
201501   ,SEATTLE                                                       ,26
201501   ,ARIZONA                                                       ,26
201501   ,PHOENIX                                                       ,26
201501   ,BUFFALO                                                       ,8
201501   ,INDIANA                                                       ,31
201501   ,LEAGUE OF WOMEN VOTERS                                        ,3
201501   ,OBAMA                                                         ,390
201501   ,SAN DIEGO                                                     ,19
201501   ,WYOMING                                                       ,16
201501   ,GRANITE STATE                                                 ,2
201501   ,MISSISSIPPI                                                   ,9
201501   ,PENNSYLVANIA                                                  ,21
201501   ,BAXTER INTERNATIONAL INC                                      ,3
201501   ,TEXAS INSTRUMENTS                                             ,2
201501   ,NEVADA                                                        ,20
201501   ,IDAHO                                                         ,17
201501   ,SINCLAIR BROADCAST GROUP                                      ,1
201501   ,HAWAIIAN AIRLINES                                             ,2
201501   ,DETROIT                                                       ,12
201501   ,OKLAHOMA CITY                                                 ,6
201501   ,GENERAL ELECTRIC                                              ,7
201501   ,COLUMBUS                                                      ,14
201501   ,ALABAMA                                                       ,59
201501   ,SALT LAKE CITY                                                ,4
201501   ,CLEAN HARBORS INC                                             ,3
201501   ,NASA                                                          ,16
201501   ,NORTH CAROLINA                                                ,30
201501   ,BOEING                                                        ,23
201501   ,AUSTIN                                                        ,12
201501   ,GENERAL MILLS                                                 ,1
201501   ,HOOSIER STATE                                                 ,1
201501   ,MIAMI                                                         ,23
201501   ,FREEDOM HOUSE                                                 ,2
201501   ,LAWRENCE                                                      ,14
201501   ,WELLS FARGO                                                   ,2
201501   ,VIACOM                                                        ,5
201501   ,ENERGY TRANSFER PARTNERS                                      ,1
201501   ,NEW JERSEY                                                    ,55
201501   ,INVESCO                                                       ,2
201501   ,BARACK OBAMA                                                  ,221
201501   ,NASHVILLE                                                     ,11
201501   ,NEW ORLEANS                                                   ,9
201501   ,AMERICAN SAMOA                                                ,2
201501   ,HUMANE SOCIETY OF THE UNITED STATES                           ,3
201501   ,ARKANSAS                                                      ,14
201501   ,PUERTO RICO                                                   ,15
201501   ,JOHN BOEHNER                                                  ,46
201501   ,JERSEY                                                        ,14
201501   ,PHILADELPHIA                                                  ,25
201501   ,WALGREEN                                                      ,4
201501   ,NEW MEXICO                                                    ,21
201501   ,CHUCK HAGEL                                                   ,9
201501   ,LAS VEGAS                                                     ,31
201501   ,NETFLIX                                                       ,15
201501   ,NEWS CORPORATION                                              ,2
201501   ,UTAH                                                          ,25
201501   ,THE WHITE HOUSE                                               ,78
201501   ,DISTRICT OF COLUMBIA                                          ,7
201501   ,PORTLAND                                                      ,18
201501   ,WENDY SHERMAN                                                 ,19
201501   ,QUALCOMM                                                      ,8
201501   ,JACKSONVILLE                                                  ,3
201501   ,STATES OF AMERICA                                             ,3
201501   ,ALTRIA GROUP                                                  ,1
201501   ,PUERTO RICAN                                                  ,2
201501   ,TAMPA                                                         ,10
201501   ,DALLAS                                                        ,22
201501   ,PLANNED PARENTHOOD FEDERATION                                 ,5
201501   ,KANSAS CITY                                                   ,5
201501   ,RADIOSHACK                                                    ,2
201501   ,JANUS CAPITAL GROUP                                           ,1
201501   ,RAYTHEON                                                      ,8
201501   ,WISCONSIN                                                     ,26
201501   ,MARYLAND                                                      ,17
201501   ,LAND OF LINCOLN                                               ,1
201501   ,ILLINOIS                                                      ,33
201501   ,OREGON                                                        ,20
201501   ,FRESNO                                                        ,4
201501   ,DAVID PETRAEUS                                                ,1
201501   ,VIRGINIA BEACH                                                ,2
201501   ,SOUTH DAKOTA                                                  ,7
201501   ,THE US                                                        ,335
201501   ,HOUSTON                                                       ,68
201501   ,US OFFICIAL                                                   ,4
201501   ,RICHMOND                                                      ,3
201501   ,BOSTON                                                        ,45
201501   ,OPERATION SMILE                                               ,1
201501   ,GATES FOUNDATION                                              ,2
201501   ,EDUCATION MANAGEMENT CORPORATION                              ,1
201501   ,ISHARES                                                       ,1
201501   ,COCA COLA                                                     ,1
201501   ,MASSACHUSETTS                                                 ,24
201501   ,HAWAII                                                        ,14
201501   ,MICHIGAN                                                      ,47
201501   ,NEWELL RUBBERMAID                                             ,1
201501   ,SAN ANTONIO                                                   ,5
201501   ,WALTER ENERGY                                                 ,1
201501   ,US GOVERNMENT                                                 ,2
201501   ,GOLDMAN SACHS                                                 ,8
201501   ,DIRECTV                                                       ,4
201501   ,PANERA BREAD                                                  ,4
201501   ,EMPIRE STATE                                                  ,1
201501   ,ASSOCIATED PRESS                                              ,24
201501   ,DENVER                                                        ,13
201501   ,A US                                                          ,18
201501   ,CALIF                                                         ,8
201501   ,SAN FRANCISCO                                                 ,41
201501   ,JIMMY CARTER                                                  ,13
201501   ,COMCAST                                                       ,2
201501   ,LOS ANGELES                                                   ,58
201501   ,MAINE                                                         ,24
201501   ,CLEVELAND                                                     ,22
201501   ,XEROX                                                         ,3
201501   ,NORTH DAKOTA                                                  ,1
201501   ,SOUTH CAROLINA                                                ,40
201501   ,PITTSBURGH                                                    ,5
201501   ,REUTERS                                                       ,132
201501   ,WEST VIRGINIA                                                 ,18
201501   ,GRAND CANYON                                                  ,2
201501   ,ATLANTA                                                       ,33
201501   ,USAID                                                         ,2
201501   ,MORGAN STANLEY                                                ,3
201501   ,THE ASSOCIATED PRESS                                          ,70
201501   ,IOWA                                                          ,52
201501   ,LOCKHEED MARTIN                                               ,2
201501   ,HARTFORD                                                      ,6
201501   ,COLORADO                                                      ,43
201501   ,DISH NETWORK CORP                                             ,2
201501   ,VERIZON                                                       ,6
201501   ,OVAL OFFICE                                                   ,8
201501   ,NEW YORK CITY                                                 ,8
201501   ,ICF INTERNATIONAL INC                                         ,3
201501   ,BRISTOL MYERS SQUIBB                                          ,1
201501   ,ROCHESTER                                                     ,3
201501   ,CONNECTICUT                                                   ,28
201501   ,MICROSOFT                                                     ,33
201501   ,SACRAMENTO                                                    ,9
201501   ,OHIO                                                          ,49
201501   ,UNITED STATES OF AMERICA                                      ,2
201501   ,HERITAGE FOUNDATION                                           ,2
201501   ,MEMPHIS                                                       ,2
201501   ,YOSEMITE                                                      ,12
201501   ,LEON PANETTA                                                  ,15
201501   ,TOGIOLA TULAFONO                                              ,2
201501   ,ALASKA                                                        ,23
201501   ,TENNESSEE                                                     ,15
201501   ,MONSANTO                                                      ,8
201501   ,CHARLOTTE                                                     ,10
201501   ,KANSAS                                                        ,35
201501   ,VERMONT                                                       ,18
201501   ,CITIGROUP                                                     ,3
201501   ,INTERNAL REVENUE SERVICE                                      ,5
201501   ,STAPLES INC                                                   ,1
201501   ,DELTA AIR LINES                                               ,1
201501   ,STARBUCKS                                                     ,2
201501   ,NEW YORK STATE                                                ,4
201501   ,FIRST STATE                                                   ,7
201501   ,CINCINNATI                                                    ,7
201501   ,NEW YORK                                                      ,173
201501   ,OKLAHOMA                                                      ,22
201501   ,WALL STREET JOURNAL                                           ,26
201501   ,AMERICAN TROOPS                                               ,1
201501   ,HILLARY CLINTON                                               ,26
201501   ,TIME WARNER CABLE                                             ,3
201501   ,AMERICAN                                                      ,337
201501   ,THE CARTER CENTER                                             ,2
201501   ,FLORIDA                                                       ,74
201501   ,CHICAGO                                                       ,72
201501   ,LOUISVILLE                                                    ,5
201501   ,DISNEY                                                        ,11
201501   ,VOICE OF AMERICA                                              ,7
201501   ,GREENVILLE                                                    ,4
201501   ,SAMOAN                                                        ,1
201501   ,NEBRASKA                                                      ,31
201501   ,CORINTHIAN COLLEGES                                           ,7
201501   ,BANK OF AMERICA                                               ,11
201501   ,HALLIBURTON                                                   ,4
201501   ,AMIT                                                          ,11
201501   ,ORACLE CORP                                                   ,1
201501   ,PEN AMERICA                                                   ,1
201501   ,NEW HAMPSHIRE                                                 ,12
201501   ,ORLANDO                                                       ,4
201501   ,ITT EDUCATIONAL SERVICES                                      ,1
201501   ,GRAND RAPIDS                                                  ,2
201501   ,JOE BIDEN                                                     ,29
201501   ,GEORGE W. BUSH                                                ,4
201501   ,NEWS CORP                                                     ,3
201501   ,NORTHROP GRUMMAN                                              ,1
201501   ,UNITED STATES                                                 ,4913
201501   ,BILL CLINTON                                                  ,4
201501   ,VIRGINIA                                                      ,35
201501   ,LUMBER LIQUIDATORS                                            ,2
201501   ,KENTUCKY                                                      ,27
201501   ,PROVIDENCE                                                    ,3
201501   ,RHODE ISLAND                                                  ,8
201501   ,RALEIGH                                                       ,3
201501   ,CATERPILLAR INC                                               ,1
201501   ,PEACE ACTION                                                  ,1
201501   ,TEXAS                                                         ,115
201501   ,MILWAUKEE                                                     ,6
201501   ,DELAWARE                                                      ,20
201501   ,COMSCORE                                                      ,1
201501   ,MINNEAPOLIS                                                   ,4
201501   ,MOTOROLA                                                      ,3
201501   ,INDIANAPOLIS                                                  ,7
201501   ,PFIZER                                                        ,3
201501   ,LENNOX INTERNATIONAL                                          ,1
201501   ,DOMINION RESOURCES INC                                        ,1
202001   ,OBAMA                                                         ,2992
202001   ,INDIANAPOLIS                                                  ,411
202001   ,DELTA SIGMA THETA                                             ,22
202001   ,YOSEMITE                                                      ,32
202001   ,ALLEGHENY TECHNOLOGIES                                        ,2
202001   ,REPUBLIC AIRWAYS                                              ,2
202001   ,CONSTITUTION STATE                                            ,13
202001   ,US LEADER                                                     ,68
202001   ,NICHOLAS BURNS                                                ,8
202001   ,BOSTON SCIENTIFIC CORPORATION                                 ,2
202001   ,LAND OF ENCHANTMENT                                           ,2
202001   ,EVERGREEN STATE                                               ,4
202001   ,VILLAGE SUPER MARKET INC                                      ,1
202001   ,TEXAS                                                         ,4223
202001   ,MORGAN STANLEY                                                ,78
202001   ,DIRECTV                                                       ,17
202001   ,AGILENT TECHNOLOGIES                                          ,11
202001   ,PULTEGROUP                                                    ,2
202001   ,LUTHERAN IMMIGRATION AND REFUGEE SERVICE                      ,12
202001   ,MICHAEL S. GREVE                                              ,2
202001   ,KIMBERLY CLARK CORP                                           ,2
202001   ,U.S.                                                          ,8
202001   ,GOODYEAR TIRE                                                 ,3
202001   ,PPL CORPORATION                                               ,1
202001   ,HARMAN INTERNATIONAL INDUSTRIES                               ,1
202001   ,DAVID SATTER                                                  ,2
202001   ,COSTCO                                                        ,60
202001   ,TENNESSEE                                                     ,1010
202001   ,CASELLA WASTE SYSTEMS                                         ,4
202001   ,CINCINNATI                                                    ,530
202001   ,JIMMY CARTER                                                  ,146
202001   ,FLIR SYSTEMS                                                  ,6
202001   ,FREEDOM HOUSE                                                 ,35
202001   ,AMERICAN ENTERPRISE INSTITUTE                                 ,17
202001   ,FORD FOUNDATION                                               ,30
202001   ,BERKSHIRE HATHAWAY INC                                        ,3
202001   ,NEW YORK                                                      ,9820
202001   ,DELTA AIR LINES                                               ,124
202001   ,NEW HAMPSHIRE                                                 ,1178
202001   ,VOLUNTEERS OF AMERICA                                         ,3
202001   ,DAVID PETRAEUS                                                ,26
202001   ,ALOHA STATE                                                   ,7
202001   ,EXPERIMENT IN INTERNATIONAL LIVING                            ,1
202001   ,TANGER FACTORY OUTLET                                         ,1
202001   ,SUNFLOWER STATE                                               ,1
202001   ,KANSAS CITY                                                   ,373
202001   ,ORLANDO                                                       ,729
202001   ,USVI                                                          ,11
202001   ,TARGET CORP                                                   ,3
202001   ,LENNOX INTERNATIONAL                                          ,1
202001   ,CALLON PETROLEUM COMPANY                                      ,1
202001   ,WOLVERINE WORLD WIDE                                          ,2
202001   ,HENRIETTA FORE                                                ,7
202001   ,PINE TREE STATE                                               ,2
202001   ,DOW CHEMICAL COMPANY                                          ,1
202001   ,THE SOUTHERN COMPANY                                          ,6
202001   ,PORTLAND                                                      ,845
202001   ,CENTER FOR SECURITY POLICY                                    ,14
202001   ,ANTI DEFAMATION LEAGUE                                        ,58
202001   ,INTERNAL REVENUE SERVICE                                      ,82
202001   ,VALERO ENERGY                                                 ,3
202001   ,ABM INDUSTRIES                                                ,1
202001   ,URBAN OUTFITTERS                                              ,3
202001   ,INTERNATIONAL CENTRE FOR MISSING AND EXPLOITED CHILDREN       ,1
202001   ,GORDON JOHNDROE                                               ,15
202001   ,BORGWARNER                                                    ,12
202001   ,AEROVIRONMENT                                                 ,9
202001   ,NATIONAL LAWYERS GUILD                                        ,1
202001   ,ASSURANT INC                                                  ,2
202001   ,ATHENAHEALTH                                                  ,1
202001   ,MULTI COLOR CORPORATION                                       ,1
202001   ,KRAFT FOODS INC                                               ,1
202001   ,MICHIGAN                                                      ,2154
202001   ,AMERICAN ELECTRIC POWER COMPANY                               ,2
202001   ,OLD DOMINION                                                  ,26
202001   ,BANCORPSOUTH                                                  ,3
202001   ,CHURCH WORLD SERVICE                                          ,13
202001   ,CSX CORPORATION                                               ,2
202001   ,CLOROX COMPANY                                                ,1
202001   ,LADENBURG THALMANN                                            ,2
202001   ,CME GROUP INC                                                 ,1
202001   ,ILLINOIS                                                      ,1905
202001   ,DISTRICT OF COLUMBIA                                          ,104
202001   ,CORINTHIAN COLLEGES                                           ,12
202001   ,NIAGARA FALLS                                                 ,94
202001   ,MCDERMOTT INTERNATIONAL                                       ,5
202001   ,TWIN FALLS                                                    ,42
202001   ,VIRGINIA BEACH                                                ,79
202001   ,SUNBELT                                                       ,4
202001   ,DONALDSON COMPANY                                             ,2
202001   ,BEEHIVE STATE                                                 ,2
202001   ,FAWCO                                                         ,3
202001   ,PERKINELMER                                                   ,4
202001   ,LAWRENCE                                                      ,1175
202001   ,BARACK OBAMA                                                  ,1238
202001   ,OKLAHOMA CITY                                                 ,232
202001   ,US AMBASSADOR                                                 ,495
202001   ,NEW RIVER                                                     ,23
202001   ,ALBERT SCHWEITZER FELLOWSHIP                                  ,1
202001   ,CISCO SYSTEMS                                                 ,23
202001   ,ROBERT GATES                                                  ,5
202001   ,BECKMAN COULTER                                               ,3
202001   ,SEALED AIR CORPORATION                                        ,2
202001   ,AVON PRODUCTS                                                 ,2
202001   ,DISNEY                                                        ,1446
202001   ,COCA COLA                                                     ,157
202001   ,OREGON                                                        ,1029
202001   ,PEPSICO                                                       ,35
202001   ,UNITED STATE OF AMERICA                                       ,3
202001   ,BGC PARTNERS                                                  ,2
202001   ,MORGANS HOTEL GROUP                                           ,2
202001   ,ARCH COAL INC                                                 ,1
202001   ,SUNG KIM                                                      ,7
202001   ,SCOTT GOTTLIEB                                                ,3
202001   ,GRAPHIC PACKAGING HOLDING COMPANY                             ,1
202001   ,SUNOCO LOGISTICS                                              ,1
202001   ,BLACK LIBERATION ARMY                                         ,3
202001   ,IOWA                                                          ,4498
202001   ,LOCKHEED MARTIN                                               ,213
202001   ,BOSTON PROPERTIES INC                                         ,1
202001   ,PALMETTO STATE                                                ,9
202001   ,EQUALITY STATE                                                ,2
202001   ,VIRGIN MEDIA                                                  ,88
202001   ,ZIX CORPORATION                                               ,4
202001   ,VOLUNTEER STATE                                               ,1
202001   ,CHEESECAKE FACTORY                                            ,3
202001   ,JACOBS ENGINEERING GROUP                                      ,2
202001   ,LEAGUE OF WOMEN VOTERS                                        ,237
202001   ,CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES                ,69
202001   ,ETATS UNIS                                                    ,5
202001   ,STATES OF AMERICA                                             ,14
202001   ,ISHARES                                                       ,19
202001   ,CENTENNIAL STATE                                              ,4
202001   ,COMPUTER SCIENCES CORPORATION                                 ,1
202001   ,DAKOTA                                                        ,129
202001   ,MATTEL                                                        ,31
202001   ,AMERICAN PSYCHOLOGICAL ASSOCIATION                            ,14
202001   ,NATIONAL ORGANIZATION FOR WOMEN                               ,31
202001   ,PROFESSIONALS FROM CALIFORNIA                                 ,2
202001   ,GRAND CANYON STATE                                            ,2
202001   ,REGAL BELOIT                                                  ,2
202001   ,NIOBRARA RIVER                                                ,2
202001   ,PHOENIX                                                       ,975
202001   ,LAS VEGAS SANDS                                               ,17
202001   ,XCEL ENERGY                                                   ,27
202001   ,VIETNAMESE AMERICAN                                           ,1
202001   ,AMERICAN POLITICAL SCIENCE ASSOCIATION                        ,5
202001   ,CRANE COMPANY                                                 ,2
202001   ,NEWMONT MINING                                                ,1
202001   ,COLORADO                                                      ,1617
202001   ,EXXON MOBIL                                                   ,69
202001   ,PUTNAM INVESTMENTS                                            ,2
202001   ,NEWFIELD EXPLORATION CO                                       ,3
202001   ,TELEDYNE TECHNOLOGIES                                         ,2
202001   ,AGREE REALTY CORPORATION                                      ,3
202001   ,HILLARY CLINTON                                               ,991
202001   ,BILL CLINTON                                                  ,750
202001   ,HERITAGE FOUNDATION                                           ,81
202001   ,CONOCOPHILLIPS                                                ,28
202001   ,FREEDOM TO MARRY                                              ,8
202001   ,GIRLS LEARN INTERNATIONAL                                     ,2
202001   ,VORNADO REALTY TRUST                                          ,2
202001   ,SAN FRANCISCO                                                 ,1542
202001   ,VERIZON                                                       ,140
202001   ,LITTLE RHODY                                                  ,1
202001   ,METLIFE                                                       ,43
202001   ,DISH NETWORK CORP                                             ,3
202001   ,NUVEEN                                                        ,1
202001   ,FRANKLIN COVEY                                                ,2
202001   ,SANDERSON FARMS                                               ,2
202001   ,PUERTO RICAN                                                  ,230
202001   ,KENTUCKY                                                      ,1334
202001   ,WEST VIRGINIA                                                 ,647
202001   ,CITIGROUP                                                     ,66
202001   ,THE CARTER CENTER                                             ,17
202001   ,CALIFORNIA PIZZA KITCHEN                                      ,5
202001   ,OSIRIS THERAPEUTICS                                           ,1
202001   ,FMC CORPORATION                                               ,2
202001   ,ALABAMA                                                       ,1223
202001   ,CATO INSTITUTE                                                ,27
202001   ,ALTRIA GROUP                                                  ,2
202001   ,LIBERTY PROPERTY TRUST                                        ,1
202001   ,MGIC INVESTMENT CORPORATION                                   ,1
202001   ,BILL AND MELINDA GATES FOUNDATION                             ,21
202001   ,ROCKEFELLER FOUNDATION                                        ,8
202001   ,D.C.                                                          ,4
202001   ,ARQULE                                                        ,1
202001   ,NIOBRARA                                                      ,3
202001   ,REUTERS                                                       ,8601
202001   ,BUFFALO                                                       ,521
202001   ,DALLAS                                                        ,1081
202001   ,PRESIDENT NIXON                                               ,23
202001   ,XEROX                                                         ,89
202001   ,CARNIVAL CORPORATION                                          ,22
202001   ,NORTHROP GRUMMAN                                              ,79
202001   ,MAKE A WISH FOUNDATION                                        ,15
202001   ,ACTIVISION BLIZZARD                                           ,21
202001   ,OPERATION SMILE                                               ,4
202001   ,KEVIN HASSETT                                                 ,5
202001   ,SUSAN E. RICE                                                 ,1
202001   ,NOVAVAX INC                                                   ,2
202001   ,PLANNED PARENTHOOD FEDERATION                                 ,6
202001   ,HARTFORD                                                      ,412
202001   ,PUBLIC HEALTH INSTITUTE                                       ,5
202001   ,LAND OF LINCOLN                                               ,2
202001   ,GANNETT CO                                                    ,5
202001   ,ARIZONA                                                       ,1466
202001   ,TEXAS INSTRUMENTS                                             ,5
202001   ,MISSISSIPPI RIVER                                             ,42
202001   ,SAINT LAWRENCE                                                ,32
202001   ,T. ROWE PRICE                                                 ,18
202001   ,DEREK MITCHELL                                                ,1
202001   ,DIODES INCORPORATED                                           ,6
202001   ,SCOTTS MIRACLE GRO                                            ,1
202001   ,CHURCHILL DOWNS INC                                           ,1
202001   ,IRONWOOD PHARMACEUTICAL                                       ,1
202001   ,BLACKROCK                                                     ,304
202001   ,SIRIUS XM                                                     ,30
202001   ,ANHEUSER BUSCH                                                ,32
202001   ,HALLIBURTON                                                   ,17
202001   ,BROOKINGS INSTITUT                                            ,62
202001   ,CHOICE HOTELS INTERNATIONAL                                   ,2
202001   ,AVANIR PHARMACEUTICAL                                         ,1
202001   ,LENNAR CORP                                                   ,2
202001   ,PIPER JAFFRAY                                                 ,2
202001   ,NEW ORLEANS                                                   ,436
202001   ,HOUSTON                                                       ,1469
202001   ,OKLAHOMA                                                      ,878
202001   ,EAGLE BULK SHIPPING INC                                       ,3
202001   ,SIERRA CLUB                                                   ,72
202001   ,CHEVRON CORP                                                  ,11
202001   ,TIME WARNER INC                                               ,5
202001   ,NATIONAL COUNCIL OF NEGRO WOMEN                               ,2
202001   ,ILLINOIS TOOL WORKS                                           ,3
202001   ,LEGACY INTERNATIONAL                                          ,15
202001   ,JERSEY                                                        ,1308
202001   ,MIAMI                                                         ,1810
202001   ,CALIF                                                         ,690
