MonthYear,EventRootCode,Count
202002   ,06           ,16889
202005   ,15           ,226
201704   ,19           ,82468
201611   ,07           ,50575
201709   ,08           ,39299
201709   ,10           ,10326
201608   ,20           ,264
201508   ,06           ,22646
201802   ,09           ,22897
201603   ,17           ,57152
201510   ,17           ,49947
201605   ,15           ,2960
201512   ,01           ,160648
201512   ,18           ,17224
201812   ,18           ,13676
201810   ,06           ,21982
201809   ,19           ,54235
202001   ,15           ,2022
202004   ,13           ,11405
202002   ,02           ,69582
201903   ,17           ,56601
201905   ,08           ,41933
201905   ,09           ,25735
201602   ,10           ,11384
201610   ,02           ,93847
201707   ,18           ,15802
201607   ,16           ,10265
201608   ,14           ,7955
201706   ,06           ,21384
201605   ,01           ,186253
201605   ,07           ,54291
201503   ,14           ,9232
201512   ,17           ,53807
201510   ,20           ,415
201812   ,06           ,18579
201811   ,01           ,154146
201810   ,20           ,267
201906   ,17           ,51237
202001   ,12           ,22786
201910   ,17           ,50482
201910   ,--           ,1
202003   ,12           ,21319
201610   ,16           ,12983
201707   ,17           ,51732
201707   ,04           ,212946
201709   ,18           ,14930
201803   ,05           ,89156
201802   ,12           ,27312
201705   ,02           ,89136
201804   ,02           ,82444
201711   ,09           ,25291
201606   ,18           ,24672
201509   ,17           ,51575
201804   ,09           ,27435
201505   ,14           ,6064
201504   ,17           ,53993
201502   ,07           ,17513
201503   ,20           ,169
201811   ,10           ,8865
201809   ,17           ,48408
201901   ,15           ,1720
201909   ,16           ,11847
202003   ,13           ,12550
201905   ,11           ,61614
201704   ,17           ,54203
201707   ,05           ,73431
201805   ,15           ,2168
201711   ,18           ,21844
201801   ,11           ,66915
201805   ,--           ,4
201808   ,10           ,10497
201807   ,14           ,7086
201908   ,16           ,10292
202001   ,06           ,17148
202002   ,08           ,37883
202002   ,07           ,36604
201602   ,07           ,51282
201611   ,02           ,95650
201707   ,09           ,24382
201705   ,11           ,69313
201804   ,13           ,17959
201710   ,17           ,54021
201606   ,14           ,7191
201601   ,01           ,171155
201512   ,11           ,64659
201504   ,14           ,7156
201501   ,09           ,210
201502   ,16           ,3415
201806   ,11           ,68887
201811   ,17           ,51272
201706   ,--           ,1
201809   ,16           ,12633
201902   ,10           ,9224
201908   ,01           ,143471
201912   ,12           ,21921
201807   ,--           ,1
201903   ,03           ,67222
201702   ,17           ,71701
201607   ,05           ,102639
201608   ,04           ,247381
201608   ,19           ,81916
201709   ,09           ,25199
201508   ,03           ,75015
201508   ,15           ,2133
201803   ,12           ,33198
201802   ,08           ,37441
201705   ,09           ,28786
201711   ,02           ,76955
201509   ,12           ,33310
201507   ,04           ,258462
201503   ,04           ,226202
201603   ,20           ,277
201806   ,17           ,57095
201902   ,12           ,27591
201907   ,11           ,63840
202002   ,--           ,1
202004   ,10           ,13941
201904   ,09           ,25428
201904   ,11           ,61600
201903   ,04           ,224634
201903   ,05           ,81092
201708   ,12           ,28515
201509   ,03           ,92517
201712   ,03           ,57181
201506   ,01           ,143031
201501   ,04           ,2885
202001   ,17           ,41563
202004   ,17           ,31392
202002   ,04           ,193969
201701   ,08           ,55804
201610   ,11           ,94021
201610   ,17           ,57464
201610   ,12           ,36473
201706   ,07           ,45844
201707   ,12           ,29237
201706   ,18           ,19016
201805   ,05           ,99145
201804   ,01           ,167830
201606   ,03           ,82542
201503   ,03           ,77587
201507   ,12           ,35489
201806   ,01           ,156950
201906   ,10           ,9081
201807   ,20           ,249
201904   ,15           ,1549
201909   ,06           ,18669
201909   ,10           ,8729
202004   ,20           ,44
202002   ,17           ,47414
201702   ,18           ,17314
201702   ,03           ,80855
201701   ,03           ,87915
201708   ,02           ,78318
201709   ,04           ,244525
201709   ,12           ,29423
201609   ,09           ,30177
201508   ,18           ,17956
201805   ,10           ,10322
201706   ,16           ,11430
201801   ,01           ,166120
201610   ,--           ,8
201712   ,09           ,23352
201502   ,19           ,21456
201809   ,01           ,153550
201912   ,04           ,165352
201703   ,02           ,102735
201602   ,04           ,254814
201609   ,11           ,82421
201508   ,08           ,42580
201804   ,06           ,22556
201606   ,08           ,46736
201705   ,16           ,9891
201712   ,11           ,64647
201605   ,16           ,9738
201506   ,18           ,14341
201811   ,09           ,24185
201905   ,15           ,2777
202001   ,02           ,64400
202003   ,01           ,149957
202002   ,01           ,137097
201905   ,13           ,15971
201602   ,02           ,97075
201511   ,08           ,41075
201708   ,18           ,15398
201802   ,17           ,49759
201705   ,12           ,33188
201802   ,06           ,18732
201605   ,17           ,58801
201512   ,09           ,26115
201502   ,08           ,14094
201806   ,18           ,16807
201901   ,06           ,18638
201908   ,05           ,68584
202004   ,11           ,40952
201904   ,08           ,38929
201704   ,09           ,27550
201703   ,07           ,57309
201702   ,05           ,97795
201511   ,04           ,228617
201511   ,03           ,73054
201804   ,11           ,69178
201606   ,12           ,33553
201502   ,06           ,7226
201505   ,09           ,24621
201501   ,01           ,1641
201812   ,14           ,4296
201812   ,13           ,12029
201811   ,07           ,43981
201807   ,06           ,22239
201807   ,18           ,15937
201908   ,10           ,8643
201911   ,20           ,216
202005   ,19           ,7929
201611   ,16           ,11048
201610   ,14           ,9018
201709   ,13           ,17627
201510   ,16           ,7482
201605   ,05           ,104974
201503   ,19           ,61971
201503   ,01           ,169555
201512   ,12           ,31174
201501   ,08           ,755
201809   ,04           ,221344
201809   ,18           ,25245
201907   ,05           ,72264
201909   ,09           ,23891
201912   ,01           ,117453
202004   ,05           ,57896
201604   ,14           ,9877
201701   ,12           ,37969
201701   ,13           ,20846
201611   ,15           ,2242
201610   ,08           ,53695
201706   ,03           ,74794
201708   ,05           ,74879
201608   ,12           ,33947
201805   ,03           ,80253
201711   ,19           ,65519
201710   ,06           ,22346
201710   ,12           ,30427
201705   ,20           ,130
201507   ,06           ,23590
201504   ,04           ,222672
201806   ,--           ,1
201809   ,10           ,9724
201907   ,14           ,6733
201908   ,03           ,60178
201912   ,07           ,34247
201905   ,20           ,122
201903   ,07           ,45121
201704   ,12           ,32000
201708   ,09           ,25064
201708   ,13           ,18716
201708   ,20           ,191
201609   ,12           ,37521
201508   ,02           ,81690
201803   ,02           ,88788
201711   ,15           ,2101
201710   ,09           ,26885
201801   ,14           ,6990
201712   ,15           ,2267
201703   ,--           ,4
201507   ,13           ,14980
201512   ,20           ,655
201806   ,10           ,10667
201812   ,09           ,22188
201906   ,09           ,24174
201907   ,03           ,60255
201807   ,03           ,64476
201909   ,03           ,61576
201904   ,14           ,6210
201903   ,16           ,13050
202005   ,10           ,2380
201702   ,19           ,64874
201607   ,11           ,82110
201709   ,16           ,15488
201803   ,14           ,12253
201705   ,08           ,45647
201711   ,13           ,13094
201612   ,09           ,26194
201601   ,04           ,237614
201503   ,10           ,10610
201806   ,03           ,71395
201802   ,--           ,2
201809   ,03           ,69164
201907   ,16           ,11178
201912   ,02           ,58585
202004   ,14           ,5448
201709   ,19           ,56153
201508   ,19           ,74635
201803   ,13           ,18382
201606   ,15           ,2492
201612   ,06           ,21723
201505   ,07           ,46138
201504   ,03           ,74674
201505   ,13           ,12003
201812   ,07           ,38592
201808   ,08           ,43600
201907   ,18           ,15202
201907   ,06           ,19815
201908   ,02           ,72050
202001   ,08           ,33003
202005   ,16           ,1474
201704   ,07           ,49327
201701   ,15           ,2848
201707   ,01           ,150740
201608   ,03           ,78899
201609   ,02           ,94174
201805   ,18           ,19802
201705   ,01           ,178344
201509   ,09           ,26319
201507   ,02           ,88683
201507   ,16           ,9719
201501   ,18           ,170
