MonthYear,EventRootCode,Count,SumAvgTone           ,AvgAvgTone
202004   ,07           ,100  ,-143.69982437469062  ,-1.4369982437469062
201702   ,12           ,102  ,-269.93118946673053  ,-2.6463842104581423
201703   ,17           ,194  ,-804.16682578358837  ,-4.1451898236267448
201603   ,04           ,1238 ,-1327.7852584541204  ,-1.0725244414007435
201706   ,17           ,151  ,-884.00786207805515  ,-5.8543567025036767
201509   ,02           ,217  ,-428.85449160294093  ,-1.9762879797370545
201803   ,07           ,170  ,-214.85961017124669  ,-1.2638800598308626
201802   ,07           ,96   ,-6.82014299293475    ,-0.0710431561764035
201712   ,08           ,90   ,-143.36545244602436  ,-1.5929494716224932
201501   ,06           ,1    ,0.707547169811326    ,0.707547169811326
201511   ,14           ,28   ,-84.815471279147019  ,-3.0291239742552509
201904   ,18           ,29   ,-163.47257593323215  ,-5.6369853770080054
201508   ,10           ,21   ,-90.237117573819575  ,-4.2970055987533131
201908   ,17           ,159  ,-766.467482264612    ,-4.8205502029220888
201911   ,05           ,243  ,54.755855956770304   ,0.22533274056284081
201912   ,05           ,179  ,17.188815727967359   ,0.096026903508197523
201801   ,15           ,1    ,-1.743264659271      ,-1.743264659271
201910   ,20           ,1    ,-2.36559139784947    ,-2.36559139784947
201904   ,19           ,166  ,-497.98356693474403  ,-2.9999010056309885
202005   ,08           ,28   ,-78.492311793744335  ,-2.8032968497765833
201602   ,05           ,195  ,-13.11375400129452   ,-0.067250020519459122
201704   ,10           ,36   ,-102.9187104532633   ,-2.8588530681462023
201701   ,10           ,37   ,-73.791789413097575  ,-1.994372686840475
201708   ,19           ,181  ,-604.59278088612791  ,-3.3402916071056792
201706   ,14           ,15   ,-30.0128561636621    ,-2.0008570775774732
201608   ,18           ,29   ,-203.85623082537836  ,-7.029525200875117
201609   ,14           ,36   ,-14.812759915114951  ,-0.41146555319763745
201709   ,01           ,359  ,-308.24372470687075  ,-0.858617617567885
201802   ,13           ,17   ,-58.144922620727044  ,-3.42028956592512
201710   ,19           ,184  ,-703.96873526016793  ,-3.8259170394574329
