MonthYear,EventRootCode,Count,SumAvgTone          ,AvgAvgTone
201704   ,12           ,684  ,-2482.1068913377717 ,-3.6288112446458642
201708   ,09           ,349  ,-850.23163714137024 ,-2.436193802697336
201708   ,13           ,345  ,-1203.1829863758733 ,-3.4874869170315175
201609   ,12           ,847  ,-2953.6027664219773 ,-3.4871343169090641
201708   ,20           ,2    ,0.1743679163034     ,0.0871839581517
201711   ,15           ,34   ,-62.568643525476105 ,-1.8402542213375324
201803   ,02           ,1580 ,-4482.6838065126258 ,-2.8371416496915338
201801   ,14           ,49   ,-117.89430165970091 ,-2.4060061563204265
201508   ,02           ,467  ,-1194.852708718184  ,-2.5585711107455769
201507   ,13           ,150  ,-467.42207714699367 ,-3.1161471809799575
201909   ,03           ,464  ,-851.33589921265025 ,-1.8347756448548489
201710   ,09           ,774  ,-2020.7235815117465 ,-2.6107539812813263
201907   ,03           ,563  ,-978.48048628738547 ,-1.7379759969580559
201807   ,03           ,2495 ,-3839.2673652903245 ,-1.5387845151464228
201906   ,09           ,426  ,-1274.4774045218389 ,-2.9917309965301384
201903   ,07           ,286  ,-644.73712748584239 ,-2.2543256205798685
201812   ,09           ,462  ,-1655.2798792526369 ,-3.5828568814992141
201712   ,15           ,40   ,-82.691549270392628 ,-2.0672887317598154
201806   ,10           ,138  ,-287.59561199772315 ,-2.0840261738965444
202004   ,15           ,13   ,-51.644316865574844 ,-3.9726397588903728
201707   ,15           ,66   ,-185.54005223065221 ,-2.8112129125856398
201607   ,17           ,460  ,-1890.8886863894622 ,-4.1106275791075264
201510   ,18           ,80   ,-249.78364208190277 ,-3.1222955260237839
201510   ,11           ,1962 ,-7876.5951768447867 ,-4.0145745039983654
201801   ,09           ,619  ,-1500.0845735185737 ,-2.4233999572190208
201502   ,03           ,215  ,-295.66018735337116 ,-1.3751636621087038
201908   ,19           ,422  ,-1264.6184783016697 ,-2.9967262518996911
201512   ,13           ,192  ,-746.33407991835816 ,-3.8871566662414487
201904   ,05           ,902  ,-1445.9706826245581 ,-1.6030717102267826
201807   ,05           ,2802 ,-5883.173598786675  ,-2.0996336897882482
201808   ,16           ,1288 ,-6057.6525463151693 ,-4.7031463868906584
201808   ,04           ,4227 ,-10185.892253264516 ,-2.4097213752695805
201808   ,17           ,985  ,-5104.5994098960236 ,-5.1823344262903781
201809   ,02           ,828  ,-2628.6247334030563 ,-3.1746675524191508
201810   ,14           ,30   ,-53.730518135237361 ,-1.7910172711745789
201912   ,06           ,152  ,-393.90345922575659 ,-2.5914701264852411
201901   ,14           ,24   ,-64.271000929674486 ,-2.6779583720697704
201703   ,02           ,2205 ,-4154.2742712198842 ,-1.8840246127981342
201602   ,04           ,3459 ,-9042.6442237487827 ,-2.6142365492190764
201609   ,11           ,3151 ,-14132.187915744562 ,-4.4849850573610173
201606   ,08           ,284  ,-806.24848293089394 ,-2.8389031089115973
201712   ,11           ,1443 ,-5255.0289582190808 ,-3.6417387097845326
201705   ,16           ,478  ,-1324.9210420224458 ,-2.7718013431431916
201508   ,08           ,171  ,-453.30817999931514 ,-2.6509250292357596
201605   ,16           ,180  ,-506.78437323063559 ,-2.8154687401701977
201804   ,06           ,283  ,-707.43558594817569 ,-2.4997723885094549
201506   ,18           ,23   ,-47.106732832811389 ,-2.048118818817886
202001   ,02           ,413  ,-1220.9579653303877 ,-2.956314686029994
201811   ,09           ,520  ,-1611.9526936168004 ,-3.0999090261861553
201905   ,15           ,24   ,-74.787835295134087 ,-3.1161598039639209
202003   ,02           ,293  ,-823.80358591385971 ,-2.8116163341769957
201608   ,01           ,2103 ,-6659.4142777358593 ,-3.1666259047721641
201606   ,02           ,630  ,-1499.3021284374931 ,-2.37984464831348
201612   ,16           ,1363 ,-4492.44035729053   ,-3.2959943927296647
201605   ,09           ,261  ,-633.90385953921839 ,-2.4287504196904912
201507   ,03           ,928  ,-1079.9268605622667 ,-1.1637142893989947
201903   ,08           ,653  ,-1658.429367191248  ,-2.5397080661427993
201906   ,13           ,242  ,-796.173084078681   ,-3.2899714218127305
201910   ,09           ,313  ,-1129.6754348154623 ,-3.6091866927011584
202001   ,11           ,414  ,-1684.0830458981309 ,-4.0678334441983841
201908   ,14           ,44   ,-148.29960131679758 ,-3.370445484472671
202003   ,04           ,1032 ,-2157.1892185359784 ,-2.0902996303643198
202004   ,12           ,121  ,-413.75251478104883 ,-3.419442270917759
201704   ,15           ,89   ,-223.9305701668905  ,-2.5160738220998931
201611   ,18           ,82   ,-315.117659559936   ,-3.8428982873162925
201708   ,01           ,1964 ,-5268.1773762568273 ,-2.6823713728395266
201701   ,17           ,1157 ,-3771.2475824534567 ,-3.2595052570902814
201701   ,18           ,133  ,-437.77643982202045 ,-3.2915521791129363
201511   ,05           ,1306 ,-3278.4991161307876 ,-2.510336229809178
201610   ,06           ,291  ,-802.49422668899786 ,-2.7577121192061775
201503   ,08           ,194  ,-556.78418780667187 ,-2.8700215866323271
201909   ,04           ,2311 ,-3390.1827863920207 ,-1.4669765410610218
201909   ,11           ,617  ,-2023.7422642779666 ,-3.2799712549075637
201505   ,17           ,157  ,-851.22861594395908 ,-5.4218383181143892
201604   ,16           ,220  ,-777.61097028729353 ,-3.5345953194876985
201906   ,07           ,257  ,-746.01163776759267 ,-2.9027690185509449
201810   ,19           ,452  ,-1558.9875486553522 ,-3.4490874970251157
201902   ,09           ,450  ,-1436.483715757063  ,-3.1921860350156961
201501   ,12           ,2    ,-5.57103064066852   ,-2.78551532033426
201812   ,10           ,155  ,-505.5351099608867  ,-3.2615168384573336
201712   ,17           ,538  ,-2245.8128462085124 ,-4.1743733200901714
201502   ,18           ,15   ,-68.8088349983805   ,-4.5872556665587014
201702   ,17           ,474  ,-1661.5470408252224 ,-3.505373503850679
201608   ,04           ,2647 ,-6191.3483154612077 ,-2.3390057859694786
201608   ,19           ,645  ,-2138.1376912919982 ,-3.3149421570418576
201705   ,09           ,1277 ,-2824.6658034894713 ,-2.2119544271648173
201607   ,05           ,1275 ,-2367.9225490537228 ,-1.8571941561205665
