Count ,Year
22170 ,2003
10015 ,1990
10731 ,1987
19550 ,1998
7738  ,1980
14840 ,2002
11178 ,1983
8525  ,1991
10345 ,1984
49290 ,2009
55110 ,2013
84230 ,2014
117371,2015
9320  ,1985
4014  ,1979
9603  ,1994
36478 ,2007
20473 ,2000
12860 ,1989
55586 ,2011
6366  ,1993
18605 ,1999
14371 ,1982
20005 ,2004
13650 ,1996
19097 ,2001
135977,2017
18213 ,1981
112246,2019
7962  ,1986
24972 ,2020
8963  ,1988
51309 ,2010
49218 ,2012
16001 ,2005
17907 ,1997
19587 ,2006
10123 ,1995
6921  ,1992
149706,2016
123950,2018
34328 ,2008
