MonthYear,FightCountries
201702   ,208
201707   ,207
201708   ,210
201606   ,210
201510   ,210
201803   ,206
201709   ,204
201506   ,205
201807   ,208
201808   ,204
201706   ,206
201705   ,205
201810   ,207
201909   ,208
201801   ,206
202005   ,204
201602   ,209
201905   ,207
201611   ,211
201609   ,209
201802   ,210
201607   ,211
201503   ,208
201504   ,209
201904   ,203
202004   ,205
201501   ,131
201809   ,209
201908   ,207
201912   ,204
202002   ,204
201701   ,205
201911   ,206
201910   ,207
201605   ,210
202003   ,207
201604   ,209
201704   ,209
201608   ,207
201511   ,209
201703   ,208
201603   ,207
201509   ,211
201710   ,206
201612   ,208
201507   ,208
201601   ,206
201508   ,211
201806   ,203
201901   ,208
201902   ,205
201907   ,207
201804   ,207
201906   ,206
201610   ,210
201711   ,205
201805   ,206
201712   ,209
201502   ,198
201505   ,207
201811   ,205
201903   ,208
202006   ,180
202001   ,207
201512   ,206
201812   ,209
