MonthYear,Actor1CountryCode,Events
202004   ,PAK              ,29701
202004   ,BWA              ,1395
202004   ,COG              ,939
201904   ,RUS              ,161089
202004   ,SAM              ,17
201904   ,LBY              ,23108
202003   ,ZMB              ,2392
201903   ,KHM              ,4593
201903   ,SEA              ,3164
201903   ,ZAF              ,12900
201904   ,MUS              ,2660
202005   ,COD              ,1642
202005   ,CUB              ,8562
202005   ,PAN              ,2098
201905   ,NLD              ,17017
202005   ,NRU              ,36
201905   ,VEN              ,45714
201905   ,ARM              ,10743
201611   ,IND              ,66647
201611   ,TUN              ,9717
201511   ,ETH              ,7588
201611   ,AIA              ,120
201511   ,MRT              ,2126
201612   ,YEM              ,24579
201707   ,ZMB              ,4437
201707   ,GUY              ,2427
201706   ,AGO              ,3634
201607   ,MEX              ,50059
201706   ,KEN              ,15749
201708   ,BHS              ,2415
201708   ,HND              ,3547
201608   ,IDN              ,44333
201708   ,KOR              ,39626
201607   ,ZMB              ,4808
201607   ,OMN              ,4329
201508   ,IRL              ,23229
201508   ,MDG              ,1258
201508   ,NER              ,2480
201905   ,NIC              ,4245
201704   ,TZA              ,5511
201704   ,CPV              ,519
201704   ,YEM              ,27087
201704   ,NGA              ,60486
201704   ,MLI              ,5282
201604   ,PRK              ,23775
201604   ,BHS              ,3801
201704   ,ATG              ,397
201702   ,COD              ,3670
201702   ,GNB              ,469
201602   ,MMR              ,6370
201701   ,SDN              ,17157
201703   ,GRD              ,1141
201601   ,FRA              ,114135
201604   ,GNQ              ,541
201705   ,BLR              ,11601
201606   ,JOR              ,23110
201606   ,LBY              ,19776
201606   ,CMR              ,4174
201708   ,FSM              ,189
201510   ,MCO              ,4499
201510   ,KOR              ,28971
201609   ,TWN              ,8556
201610   ,COM              ,218
201609   ,DNK              ,14453
201509   ,YEM              ,29713
201509   ,UGA              ,10343
201509   ,AFG              ,39561
201609   ,HKG              ,594
201509   ,MLI              ,4712
201509   ,ISL              ,3310
201512   ,RUS              ,226041
201512   ,PAK              ,77179
201709   ,TJK              ,2380
201709   ,GNQ              ,310
201805   ,THA              ,10954
201805   ,CZE              ,9877
201805   ,DJI              ,1353
201805   ,LTU              ,6000
201804   ,NIC              ,7591
201711   ,AUS              ,82751
201711   ,LVA              ,4433
201711   ,GRC              ,32784
201711   ,SYR              ,73064
201711   ,PGS              ,477
201710   ,COL              ,18141
201801   ,MEX              ,44812
201801   ,MYS              ,18657
201801   ,CHE              ,40080
201801   ,WAF              ,390
201712   ,UZB              ,3019
201712   ,CIV              ,2098
201712   ,ECU              ,5767
201712   ,NAM              ,1487
201712   ,BHS              ,2272
201711   ,COM              ,241
201803   ,NGA              ,71664
201803   ,MRT              ,2050
201802   ,MLT              ,3422
201802   ,VAT              ,6295
201508   ,DOM              ,3835
201509   ,AGO              ,3641
201710   ,LBY              ,12132
201710   ,TKM              ,2526
201710   ,CMR              ,4101
201601   ,VAT              ,6291
201504   ,OMN              ,7095
201506   ,SAU              ,46594
201503   ,CAN              ,75579
201506   ,KOR              ,26898
201502   ,MUS              ,806
201605   ,JOR              ,23724
201503   ,LAM              ,81
201503   ,ARM              ,16079
201503   ,ALB              ,4990
201504   ,NAM              ,3250
201603   ,TMP              ,668
201605   ,BHR              ,5935
201506   ,CHE              ,25724
201506   ,GUY              ,3238
201506   ,SLB              ,668
201503   ,PRK              ,12294
201603   ,LAO              ,2140
201502   ,TWN              ,1805
201507   ,CYM              ,928
201504   ,COM              ,127
201507   ,CRI              ,1812
201512   ,DJI              ,2259
201506   ,EST              ,5306
201512   ,HND              ,3456
201507   ,PNG              ,1777
201605   ,JAM              ,6214
201512   ,MHL              ,852
201505   ,LIE              ,281
201603   ,PGS              ,1205
201603   ,ASA              ,312
201604   ,STP              ,157
201503   ,GEO              ,162
201502   ,MDA              ,1635
201507   ,KIR              ,448
201504   ,LCA              ,704
201501   ,VNM              ,287
201506   ,ABW              ,232
201509   ,CRB              ,179
201605   ,TUV              ,201
201804   ,LVA              ,5774
201605   ,STP              ,182
201501   ,SLE              ,24
201502   ,CAS              ,17
201705   ,CPV              ,584
201703   ,ROM              ,1
201607   ,GEO              ,65
201806   ,USA              ,1039067
201807   ,ITA              ,56754
201807   ,ARG              ,15883
201807   ,SVK              ,3600
202006   ,ARG              ,1405
202006   ,BOL              ,403
201809   ,ESP              ,43547
201809   ,EUR              ,68268
201809   ,BHS              ,2593
201809   ,SYR              ,78873
201808   ,SAM              ,85
201808   ,ISL              ,1339
201907   ,LAO              ,1048
201812   ,BRA              ,28633
201812   ,ARM              ,10670
201811   ,NZL              ,18864
201811   ,CRI              ,1241
201810   ,KNA              ,737
201810   ,COG              ,2384
201906   ,JAM              ,4773
201811   ,LCA              ,725
201901   ,POL              ,26481
201901   ,NPL              ,6468
201901   ,SWE              ,13104
201901   ,TTO              ,1895
201901   ,MHL              ,270
201904   ,TTO              ,1757
201904   ,URY              ,2798
201904   ,ASA              ,258
201902   ,BGD              ,16630
201902   ,IRN              ,56021
201902   ,SMR              ,41
201911   ,EUR              ,52800
201911   ,GRC              ,25726
201911   ,WSM              ,951
201903   ,MMR              ,4127
201903   ,PRY              ,3235
201912   ,UZB              ,2527
201912   ,TON              ,298
201909   ,PLW              ,372
201909   ,CRB              ,158
201908   ,CAN              ,73191
201908   ,TUR              ,49449
201908   ,SRB              ,4800
201908   ,NOR              ,11317
201908   ,CZE              ,4860
201908   ,ABW              ,100
201906   ,SAM              ,10
202002   ,COD              ,1663
202002   ,ARM              ,10160
202002   ,SDN              ,11544
202002   ,MWI              ,2403
201910   ,SEN              ,1995
201910   ,KWT              ,4140
201910   ,CAF              ,785
202001   ,LBN              ,16309
202001   ,ALB              ,3092
202001   ,NAF              ,2
202002   ,SMR              ,38
202003   ,IRQ              ,20891
202003   ,MUS              ,2011
202004   ,AFR              ,33221
202004   ,RUS              ,90933
202004   ,MLI              ,3078
202004   ,YEM              ,5690
202003   ,BDI              ,825
201904   ,HRV              ,6719
202003   ,YEM              ,5533
202004   ,NRU              ,97
202003   ,BLZ              ,996
202003   ,JAM              ,4345
201904   ,LSO              ,657
202005   ,MWI              ,2299
202005   ,DZA              ,4443
202005   ,LVA              ,2874
201611   ,LKA              ,9494
201511   ,MDG              ,996
201606   ,CHN              ,147745
201707   ,GTM              ,4294
201607   ,IRQ              ,61605
201607   ,SYR              ,87245
201707   ,LVA              ,4217
201608   ,MYS              ,22690
201608   ,TCD              ,3944
201508   ,NLD              ,20240
201508   ,LVA              ,4341
201612   ,MOZ              ,2323
201704   ,KAZ              ,7538
201704   ,CHN              ,159039
201703   ,USA              ,1258683
201703   ,AFG              ,35619
201703   ,GMB              ,3631
201604   ,BLR              ,14417
201703   ,IRN              ,59974
201704   ,SMR              ,86
201703   ,HRV              ,8758
201703   ,LVA              ,5315
201703   ,ESP              ,59324
201702   ,KHM              ,6518
201702   ,PAN              ,6054
201603   ,MMR              ,9612
201603   ,GIN              ,2975
201603   ,SWZ              ,567
201603   ,NIC              ,3231
201705   ,KEN              ,15775
201706   ,SAS              ,1102
201606   ,ITA              ,69058
201706   ,KIR              ,231
201606   ,BRA              ,33519
201606   ,KHM              ,7576
201705   ,AUT              ,12534
201610   ,DMA              ,733
201609   ,PSE              ,39951
201510   ,MEX              ,48439
201609   ,CZE              ,11280
201509   ,MOZ              ,3566
201509   ,BHS              ,3395
201709   ,UKR              ,68143
201512   ,CHN              ,117126
201512   ,ALB              ,5534
201709   ,LBR              ,3309
201805   ,KOR              ,55490
201805   ,AUS              ,82490
201805   ,TWN              ,9410
201805   ,IRL              ,32793
