MonthYear,Actor1CountryCode,EventsMentions45up
202005   ,ARM              ,2
202004   ,COL              ,4
202005   ,SDN              ,2
201702   ,URY              ,27
201508   ,                 ,8513
201608   ,ITA              ,100
201608   ,IND              ,80
201608   ,CYP              ,10
201611   ,ARM              ,32
201611   ,PRK              ,20
201704   ,KGZ              ,26
201704   ,TUN              ,36
201703   ,DNK              ,43
201701   ,NZL              ,8
201708   ,NOR              ,21
201706   ,CHN              ,180
201704   ,MHL              ,1
201708   ,HUN              ,17
201703   ,KWT              ,18
201703   ,BLR              ,32
201609   ,ZWE              ,13
201609   ,MNG              ,9
201707   ,MNG              ,3
201612   ,VNM              ,14
201610   ,LSO              ,1
201612   ,COD              ,6
201706   ,SYC              ,3
201511   ,IRN              ,50
201701   ,VNM              ,20
201603   ,CHL              ,30
201705   ,GUY              ,4
201705   ,SEA              ,4
201611   ,GIN              ,2
201609   ,ERI              ,1
201512   ,PRK              ,11
201709   ,BGD              ,68
201709   ,KAZ              ,20
201709   ,SGP              ,6
201709   ,CZE              ,8
201803   ,IRQ              ,32
201711   ,MEX              ,57
201802   ,COD              ,9
201801   ,MEX              ,81
201711   ,KAZ              ,12
201711   ,OMN              ,25
201711   ,PSE              ,33
201709   ,MOZ              ,1
201802   ,HTI              ,13
201804   ,TGO              ,8
201503   ,                 ,8041
201508   ,PRT              ,5
201604   ,AUT              ,42
201603   ,CUB              ,124
201504   ,LBY              ,30
201601   ,CYP              ,14
201506   ,GRC              ,236
201511   ,MLI              ,43
201503   ,SAU              ,60
201602   ,ISR              ,78
201604   ,GHA              ,4
201510   ,NOR              ,12
201805   ,NPL              ,7
201507   ,ARG              ,36
201512   ,LUX              ,9
201602   ,CRI              ,4
201505   ,VAT              ,34
201905   ,AUT              ,17
201905   ,SVK              ,1
201905   ,VNM              ,10
201510   ,NRU              ,16
201605   ,EST              ,8
201601   ,IDN              ,40
201601   ,MUS              ,3
201509   ,DOM              ,1
202001   ,BOL              ,7
201503   ,MDA              ,4
201503   ,MAR              ,20
201506   ,CHL              ,8
201509   ,LUX              ,11
201807   ,MKD              ,88
201509   ,CAF              ,13
201908   ,GBR              ,470
201506   ,PNG              ,4
201912   ,RWA              ,5
201510   ,CYP              ,7
201503   ,AUT              ,13
201508   ,BGD              ,17
201507   ,LKA              ,4
201605   ,WST              ,55
201605   ,ZWE              ,8
201911   ,BRA              ,25
201511   ,IND              ,29
201811   ,ISL              ,10
201906   ,IRL              ,45
201604   ,CZE              ,34
201908   ,KAZ              ,4
201909   ,KAZ              ,5
201502   ,CMR              ,1
201910   ,COL              ,2
201910   ,NPL              ,5
201505   ,MDA              ,11
201606   ,BEL              ,82
201510   ,NGA              ,21
201909   ,BOL              ,3
201512   ,FJI              ,3
