MonthYear,Actor1CountryCode,InnerEvents
202003   ,NPL              ,444
201904   ,CAN              ,7956
202003   ,SAF              ,22
202002   ,MYS              ,2287
202004   ,GNB              ,32
201904   ,IRQ              ,1934
202005   ,THA              ,568
202004   ,DJI              ,8
201905   ,ARG              ,1138
201704   ,LTU              ,421
201704   ,TUN              ,656
201703   ,SYR              ,11721
201702   ,BFA              ,100
201702   ,ZWE              ,1550
201602   ,TZA              ,696
201602   ,CUB              ,3104
201702   ,ATG              ,32
201602   ,MYS              ,2013
201701   ,GRC              ,3436
201611   ,ZAF              ,1305
201611   ,LTU              ,405
201611   ,MDA              ,700
201612   ,ISR              ,13640
201511   ,VEN              ,2213
201511   ,KEN              ,2213
201708   ,BHR              ,395
201707   ,LBN              ,2548
201608   ,MDV              ,222
201604   ,IDN              ,4276
201705   ,ITA              ,5925
201705   ,UKR              ,8700
201706   ,NAM              ,315
201604   ,VEN              ,1826
201610   ,UZB              ,338
201510   ,SRB              ,319
201603   ,BLR              ,816
201603   ,EGY              ,8724
201706   ,JPN              ,4093
201706   ,TZA              ,515
201706   ,IRL              ,2957
201705   ,YEM              ,2120
201606   ,ESP              ,4232
201608   ,ETH              ,740
201508   ,NGA              ,9168
201701   ,TTO              ,232
201701   ,BOL              ,378
201701   ,BHS              ,181
201602   ,BWA              ,229
201606   ,ALB              ,1122
201705   ,JPN              ,4350
201705   ,QAT              ,1156
201708   ,STP              ,7
201707   ,ZWE              ,1089
201509   ,IND              ,5044
201707   ,TJK              ,215
201707   ,BOL              ,602
201707   ,MCO              ,79
201612   ,COG              ,143
201612   ,MWI              ,476
201608   ,TMP              ,19
201607   ,ETH              ,706
201705   ,SLE              ,132
201805   ,UGA              ,977
201805   ,POL              ,2212
201805   ,NLD              ,1613
201805   ,HTI              ,196
201805   ,PRT              ,877
201709   ,AFG              ,5647
201709   ,DMA              ,206
201709   ,GAB              ,93
201803   ,PSE              ,4730
201803   ,ARM              ,1324
201803   ,TWN              ,887
201803   ,DNK              ,953
201802   ,DNK              ,778
201801   ,BHR              ,399
201801   ,SDN              ,1483
201801   ,SSD              ,214
201712   ,PRK              ,2497
201507   ,GBR              ,18130
201602   ,MWI              ,515
201504   ,TUR              ,8612
201505   ,ARM              ,1512
201604   ,BHR              ,869
201605   ,BGD              ,3606
201504   ,MUS              ,110
201505   ,CIV              ,317
201506   ,PRK              ,445
201602   ,BFA              ,201
201506   ,MEX              ,2448
201507   ,VEN              ,2044
201508   ,VNM              ,1143
201507   ,ZWE              ,1416
201503   ,DMA              ,19
201508   ,SYC              ,141
201602   ,CAF              ,147
201605   ,BHS              ,185
201605   ,BTN              ,91
201604   ,MDG              ,93
201605   ,NIC              ,119
201507   ,TMP              ,11
201602   ,ISL              ,46
201508   ,DJI              ,21
201507   ,WST              ,95
201604   ,LIE              ,10
201501   ,RWA              ,9
201503   ,TMP              ,23
201506   ,LCA              ,9
201502   ,LAO              ,18
201501   ,FIN              ,15
201802   ,GRD              ,55
201712   ,MHL              ,13
201712   ,SAF              ,14
201804   ,PRT              ,902
201710   ,BEL              ,1626
201710   ,DMA              ,39
201710   ,GHA              ,1360
201710   ,SAS              ,57
201710   ,KGZ              ,459
201710   ,NAM              ,309
201512   ,MAC              ,1
202006   ,EGY              ,269
201701   ,HKG              ,6
202006   ,AZE              ,52
201906   ,CAN              ,7946
202006   ,SGP              ,50
201501   ,BWA              ,1
201712   ,AIA              ,10
201704   ,KIR              ,7
201510   ,HKG              ,1
201807   ,DOM              ,70
201807   ,EST              ,244
201807   ,PRY              ,117
201807   ,WSM              ,66
201907   ,BGD              ,1794
201907   ,SYR              ,2909
201907   ,MNG              ,138
201811   ,DJI              ,31
201811   ,GMB              ,227
201810   ,IND              ,3817
201902   ,GRC              ,2222
201909   ,NLD              ,1329
201909   ,ALB              ,321
201809   ,JPN              ,4005
201909   ,NAM              ,390
201908   ,YEM              ,1314
201903   ,COD              ,112
201903   ,SRB              ,465
201607   ,GRD              ,40
201607   ,GTM              ,248
201812   ,CIV              ,148
201812   ,PNG              ,107
201812   ,SWE              ,693
201901   ,FJI              ,271
201901   ,TZA              ,258
201901   ,MRT              ,68
201905   ,MCO              ,72
201905   ,CRI              ,60
201905   ,GNB              ,10
201806   ,COG              ,57
201806   ,CMR              ,201
201806   ,SLB              ,50
201806   ,LSO              ,132
201911   ,IND              ,4816
201911   ,BGR              ,811
201910   ,UZB              ,228
202001   ,SYR              ,2987
202001   ,FJI              ,97
202002   ,LVA              ,221
202002   ,BGR              ,772
201908   ,EGY              ,2063
201908   ,PRY              ,276
201808   ,MKD              ,572
201808   ,BRB              ,67
201910   ,WST              ,113
202006   ,KNA              ,1
201606   ,SUR              ,26
201912   ,SSD              ,185
201912   ,SLE              ,172
201910   ,COK              ,22
201912   ,ISL              ,26
201906   ,LIE              ,2
201904   ,RUS              ,18359
202003   ,ZMB              ,271
201903   ,KHM              ,631
202004   ,PAK              ,3605
202004   ,BWA              ,91
202004   ,COG              ,32
202005   ,COD              ,89
202005   ,CUB              ,1072
202005   ,PAN              ,122
201905   ,ARM              ,1456
201905   ,VEN              ,5395
201704   ,YEM              ,1938
201704   ,MLI              ,351
201704   ,NGA              ,9764
201704   ,TZA              ,353
201604   ,BHS              ,155
201704   ,CPV              ,29
201704   ,ATG              ,19
201604   ,PRK              ,1114
201702   ,COD              ,286
201702   ,GNB              ,32
201611   ,IND              ,5183
201611   ,TUN              ,752
201611   ,AIA              ,6
201511   ,ETH              ,429
201708   ,BHS              ,120
201708   ,HND              ,254
201708   ,KOR              ,3211
201608   ,IDN              ,5459
201510   ,KOR              ,1964
201703   ,GRD              ,49
201706   ,AGO              ,332
201706   ,KEN              ,1873
201606   ,JOR              ,1400
201508   ,IRL              ,1935
201607   ,OMN              ,242
201607   ,MEX              ,3638
201607   ,ZMB              ,665
201701   ,SDN              ,1785
201602   ,MMR              ,685
201708   ,FSM              ,12
201609   ,DNK              ,1402
201609   ,TWN              ,544
201509   ,UGA              ,1344
201509   ,YEM              ,3062
201509   ,AFG              ,7877
201707   ,GUY              ,179
201707   ,ZMB              ,499
201612   ,YEM              ,2245
201512   ,RUS              ,23854
201512   ,PAK              ,8975
201509   ,ISL              ,128
201601   ,FRA              ,11536
201705   ,BLR              ,890
201705   ,CPV              ,24
201605   ,JOR              ,1059
201805   ,LTU              ,477
201805   ,CZE              ,915
201805   ,THA              ,978
201709   ,TJK              ,223
201805   ,DJI              ,16
201711   ,AUS              ,8571
201711   ,SYR              ,8053
201711   ,GRC              ,2895
201711   ,LVA              ,406
201710   ,COL              ,2155
201803   ,MRT              ,148
201803   ,NGA              ,11848
201801   ,CHE              ,2588
201801   ,MEX              ,2973
201801   ,MYS              ,1955
201709   ,GNQ              ,18
201512   ,HND              ,188
201712   ,ECU              ,704
201712   ,CIV              ,230
201712   ,BHS              ,89
201712   ,UZB              ,344
201712   ,NAM              ,124
201503   ,CAN              ,8972
201503   ,ARM              ,1457
201506   ,SAU              ,3688
201512   ,DJI              ,72
201506   ,EST              ,270
201507   ,KIR              ,35
201506   ,KOR              ,2410
201503   ,ALB              ,551
201506   ,CHE              ,1630
201507   ,PNG              ,122
201509   ,AGO              ,285
201605   ,BHR              ,592
201506   ,SLB              ,54
201605   ,JAM              ,608
201503   ,PRK              ,572
201603   ,LAO              ,97
201502   ,MDA              ,131
201511   ,MRT              ,231
201506   ,GUY              ,254
201504   ,OMN              ,314
201508   ,NER              ,82
201502   ,TWN              ,163
201504   ,NAM              ,410
201711   ,COM              ,8
201508   ,DOM              ,181
201502   ,MUS              ,33
201509   ,MLI              ,382
201507   ,CRI              ,99
201601   ,VAT              ,59
201603   ,TMP              ,41
201604   ,STP              ,14
201508   ,MDG              ,44
201801   ,WAF              ,11
201804   ,NIC              ,996
201504   ,LCA              ,19
201604   ,GNQ              ,35
201505   ,LIE              ,9
201605   ,TUV              ,14
201510   ,MCO              ,70
201507   ,CYM              ,17
201605   ,STP              ,14
201501   ,VNM              ,4
201506   ,ABW              ,8
201802   ,MLT              ,357
201802   ,VAT              ,97
201512   ,MHL              ,12
201603   ,PGS              ,4
201804   ,LVA              ,437
201710   ,CMR              ,428
201710   ,LBY              ,1050
201710   ,TKM              ,251
201501   ,SLE              ,4
201504   ,COM              ,3
201610   ,COM              ,3
201503   ,GEO              ,4
202006   ,ARG              ,117
202006   ,BOL              ,25
201711   ,PGS              ,3
201807   ,ITA              ,5031
201806   ,USA              ,153252
201807   ,ARG              ,945
201807   ,SVK              ,300
201905   ,NLD              ,1227
201907   ,LAO              ,65
201811   ,NZL              ,1430
201811   ,CRI              ,57
201811   ,LCA              ,64
201902   ,BGD              ,1918
201902   ,IRN              ,5092
201901   ,POL              ,2800
201908   ,CAN              ,7554
201903   ,ZAF              ,633
201903   ,MMR              ,381
201903   ,PRY              ,266
201903   ,SEA              ,82
201809   ,SYR              ,9318
201908   ,TUR              ,4031
201606   ,LBY              ,2049
201812   ,BRA              ,2902
201812   ,ARM              ,1244
201810   ,COG              ,76
201809   ,ESP              ,3586
201809   ,EUR              ,2171
201810   ,KNA              ,16
201906   ,JAM              ,442
201901   ,NPL              ,591
201901   ,SWE              ,626
201901   ,TTO              ,162
201905   ,NIC              ,421
201904   ,MUS              ,123
201904   ,LBY              ,2681
201904   ,TTO              ,165
201904   ,URY              ,168
201911   ,EUR              ,1593
201911   ,GRC              ,2223
201910   ,KWT              ,250
201910   ,SEN              ,162
202001   ,ALB              ,281
202001   ,LBN              ,1596
202002   ,ARM              ,1125
202002   ,COD              ,90
202002   ,MWI              ,409
202002   ,SDN              ,1247
201908   ,NOR              ,901
201908   ,CZE              ,390
201908   ,SRB              ,233
201911   ,WSM              ,63
201808   ,ISL              ,59
201909   ,PLW              ,14
201809   ,BHS              ,95
201910   ,CAF              ,56
201606   ,CMR              ,240
201901   ,MHL              ,10
201912   ,UZB              ,232
201912   ,TON              ,18
201607   ,GEO              ,1
201902   ,SMR              ,1
202002   ,SMR              ,5
201908   ,ABW              ,1
201904   ,ASA              ,2
202003   ,USA              ,140298
202003   ,GAB              ,30
202002   ,SAU              ,1701
202004   ,AFG              ,4792
202004   ,BRB              ,115
202004   ,BMU              ,44
202004   ,STP              ,15
202004   ,POL              ,1145
202004   ,ERI              ,82
