Year,Actor1CountryCode,Count
2020,CAN              ,301720
2020,SWZ              ,914
2020,CMR              ,9486
2019,DEU              ,786267
2019,SUR              ,5297
2019,LUX              ,42640
2016,GRC              ,541847
2017,NRU              ,3563
2017,SRB              ,125498
2016,BGD              ,300328
2018,GBR              ,2126354
2018,GHA              ,159618
2018,ARE              ,172280
2016,STP              ,3021
2015,GIN              ,30415
2015,BHS              ,39076
2019,SAF              ,5105
2019,CAU              ,6
2020,IRL              ,95913
2020,MMR              ,14356
2019,TKM              ,20212
2019,GHA              ,146407
2017,KAZ              ,111437
2016,MYS              ,283178
2016,WAF              ,8387
2018,ARG              ,232951
2018,MNG              ,19119
2015,ESP              ,510566
2015,ETH              ,90572
2015,HND              ,44823
2015,MOZ              ,28026
2019,SHN              ,449
2018,ROM              ,4
2020,UKR              ,207682
2020,COL              ,43812
2020,WST              ,16286
2020,VUT              ,1279
2019,LAO              ,14175
2017,DEU              ,1169697
2017,LVA              ,53704
2017,SGP              ,113530
2017,GIN              ,29071
2016,IND              ,839779
2016,SOM              ,149725
2018,ITA              ,663470
2018,PHL              ,330989
2018,EAF              ,905
2015,TJK              ,42220
2015,BFA              ,27802
2015,SHN              ,374
2019,FSM              ,2541
2020,LUX              ,7473
2020,TJK              ,4080
2019,PER              ,125795
2019,ARG              ,172586
2017,AFG              ,440042
2017,STP              ,2202
2016,JAM              ,72348
2016,NAM              ,31494
2018,SWE              ,180916
2018,WST              ,100311
2016,COG              ,31964
2016,PGS              ,11034
2015,TUR              ,1035854
2015,MMR              ,107334
2019,PGS              ,9122
2019,COD              ,33759
2020,SLE              ,4035
2017,RWA              ,48349
2016,LBY              ,230136
2018,FRA              ,1109325
2018,SAS              ,16065
2018,LBY              ,111940
2016,TMP              ,6800
2016,SAM              ,288
2019,MEA              ,11942
2019,PRI              ,1
2020,NER              ,7904
2019,ISR              ,856675
2019,ETH              ,92220
2019,CRI              ,18465
2017,SDN              ,158425
2017,ASA              ,4344
2017,ZMB              ,49120
2017,TON              ,5259
2016,AUS              ,1031577
