Year,EventBaseCode,Count
2020,013          ,418711
2020,019          ,3627
2017,172          ,1228926
2017,025          ,171169
2016,013          ,1736820
2016,185          ,12412
2015,150          ,113889
2016,---          ,97
2019,134          ,11061
2018,162          ,43552
2018,072          ,233231
2019,105          ,50247
2020,174          ,42373
2020,075          ,16486
2019,112          ,1846445
2016,173          ,3384101
2017,092          ,4769
2016,196          ,13391
2015,056          ,36886
2015,085          ,33223
2018,115          ,74048
2018,201          ,885
2018,---          ,18
2020,175          ,13893
2019,139          ,31347
2019,183          ,43065
2016,110          ,1987216
2016,017          ,545799
2015,080          ,1015397
2018,027          ,42036
2019,137          ,2032
2020,191          ,28932
2020,025          ,54031
2020,081          ,61521
2020,124          ,29559
2019,061          ,507022
2017,114          ,586411
2017,125          ,246714
2016,080          ,1339874
2017,131          ,67916
2017,053          ,32776
2016,130          ,1155636
2016,132          ,1152
2015,107          ,1944
2018,134          ,13072
2018,181          ,163571
2018,196          ,6626
2019,040          ,5441978
2020,196          ,2457
2019,181          ,137560
2016,085          ,41534
2015,033          ,340558
2018,082          ,17534
2018,074          ,17713
2018,121          ,4814
2016,126          ,51
2019,152          ,17683
2020,083          ,78949
2020,014          ,199751
2020,129          ,17269
2017,040          ,7054898
2017,020          ,6368662
2017,052          ,110315
2016,042          ,8605435
2016,043          ,7815335
2016,141          ,872274
2016,023          ,392448
2015,050          ,1017543
2015,026          ,360174
2015,019          ,12955
2018,064          ,42620
2015,135          ,5
2020,134          ,2912
2019,143          ,57428
2017,171          ,277192
2017,202          ,21671
2017,101          ,102639
2015,172          ,861026
2015,010          ,6714509
2015,086          ,31881
2015,024          ,41220
2018,128          ,163157
2018,092          ,3699
2020,073          ,148737
2020,032          ,21876
2019,013          ,1258913
2020,136          ,291
2019,075          ,70822
2016,087          ,530814
2016,091          ,36108
2015,120          ,1881629
2018,131          ,68713
2018,087          ,472864
2018,195          ,143178
2016,135          ,24
2020,153          ,7812
2019,025          ,144956
2019,103          ,3594
2016,186          ,207484
2016,054          ,70183
2018,143          ,61664
2019,107          ,1050
2020,171          ,49182
2017,042          ,7889574
2016,125          ,243723
2017,185          ,12706
2015,030          ,1617454
2018,090          ,2078072
2018,075          ,82521
2018,129          ,85210
2018,123          ,11027
2020,012          ,445163
2020,028          ,4633
2020,061          ,132390
2020,123          ,2213
2020,201          ,311
2017,017          ,501817
2017,192          ,456958
2016,161          ,172364
2016,027          ,53413
2016,133          ,30211
2015,111          ,1511526
2015,115          ,62826
2015,028          ,18993
2018,120          ,2005212
2018,194          ,139588
2019,135          ,7
2020,166          ,6198
2019,151          ,10899
2019,017          ,411294
2019,129          ,85404
2017,043          ,7177978
2016,051          ,6612713
2017,045          ,158332
2017,150          ,149312
2017,183          ,79940
2017,091          ,34545
2016,114          ,634932
2017,137          ,2916
2015,013          ,1377304
2015,190          ,4044665
2015,023          ,319432
2018,104          ,67438
2019,172          ,856904
2019,011          ,167797
2017,145          ,85033
2016,041          ,393326
2015,192          ,433965
2015,128          ,140288
2019,037          ,49929
2015,203          ,17296
2019,093          ,3531
2020,100          ,299413
2019,164          ,93761
2019,113          ,27986
2017,030          ,1756648
2017,195          ,190355
2016,032          ,99201
2015,145          ,71738
2015,122          ,29741
2018,202          ,19985
2020,036          ,972384
2020,023          ,89532
2020,140          ,14891
2020,062          ,35624
2020,054          ,11447
2019,193          ,1083849
2020,082          ,3562
2019,110          ,1399209
2019,202          ,14894
2020,137          ,333
2019,140          ,71645
2017,100          ,1168781
2017,057          ,1454611
2017,103          ,4191
2015,173          ,2571131
2015,036          ,3832603
2015,114          ,485779
2015,018          ,151138
2018,125          ,216508
2018,093          ,5271
2019,121          ,3777
2020,080          ,276541
2020,071          ,356995
2019,020          ,5107585
2019,133          ,23272
2017,140          ,66845
2017,093          ,6360
2017,201          ,1389
2017,034          ,8792
2017,085          ,36917
2015,070          ,1011669
2015,129          ,105296
2015,185          ,8004
2018,046          ,3246937
2018,051          ,5387233
2018,056          ,37150
2018,150          ,111354
2018,039          ,11578
2018,174          ,187623
2020,161          ,36711
2019,046          ,2833889
2019,138          ,263844
2017,142          ,31302
2016,172          ,1120365
2016,113          ,39081
2016,086          ,34505
2018,061          ,590774
2018,144          ,16520
2015,103          ,3932
2020,018          ,42121
2020,152          ,6226
2020,015          ,82673
2019,173          ,2546317
2019,087          ,431179
2017,011          ,199984
2017,086          ,32155
2016,056          ,51786
2015,014          ,660544
2015,202          ,27582
2018,183          ,47977
2015,093          ,6000
2020,138          ,71260
2020,173          ,585725
2019,033          ,278322
2020,094          ,997
2016,183          ,123310
2016,142          ,33716
2018,023          ,304927
2018,152          ,20756
2017,---          ,41
2019,094          ,3342
2020,101          ,20420
2020,133          ,5272
2019,190          ,3033590
2015,141          ,611656
2016,093          ,5791
2015,022          ,119139
2018,175          ,63428
2019,166          ,18839
2019,132          ,700
2019,154          ,121530
2019,201          ,841
2016,037          ,74230
2015,125          ,183131
2015,194          ,137575
2015,074          ,16805
2020,---          ,4
2020,127          ,9047
2020,144          ,3911
2020,132          ,239
2019,192          ,350667
2017,023          ,334671
2017,170          ,52121
2017,019          ,15938
2016,021          ,191878
2016,127          ,50526
2016,121          ,5393
2015,061          ,507767
2015,110          ,1475917
2015,153          ,27265
2015,113          ,30432
2018,135          ,3
2020,143          ,18056
2019,064          ,37335
2019,115          ,66912
2019,056          ,32596
2017,124          ,118117
2017,033          ,355006
2017,203          ,29495
2016,015          ,435147
2016,116          ,1802
2016,044          ,125844
2016,105          ,59289
2015,139          ,27706
2019,039          ,13082
2015,140          ,49694
2018,094          ,3553
2019,142          ,16208
2020,125          ,50067
2017,120          ,2250171
2017,116          ,1997
2015,021          ,140157
2015,052          ,90134
2018,163          ,198295
2018,151          ,12035
2020,090          ,513707
2020,193          ,260120
2019,057          ,1161966
2019,050          ,895526
2019,163          ,167002
2017,012          ,1680735
2017,080          ,1203725
2017,105          ,49703
2016,035          ,261154
2016,104          ,76135
2016,082          ,20621
2015,195          ,253681
2018,030          ,1648414
2018,172          ,927685
2018,081          ,222319
2019,106          ,4301
2020,172          ,394563
2020,011          ,45495
2019,122          ,24308
2017,110          ,1753025
2017,018          ,180616
2016,193          ,1699071
2017,063          ,29408
2016,182          ,593102
